metric,train,test,value
f1,ukr_rus_suspended,covid19_twitter,0.259558
f1,ukr_rus_suspended,covid_political,0.106700
f1,ukr_rus_suspended,cp_hk_twitter,0.103815
f1,ukr_rus_suspended,election2020,0.097907
f1,ukr_rus_suspended,midterm,0.157540
f1,ukr_rus_suspended,twibot20,0.177396
f1,ukr_rus_suspended,ukr_rus_suspended,0.583720
f1,ukr_rus_suspended,ukr_rus_twitter,0.209169
f1,ukr_rus_twitter,covid19_twitter,0.605394
f1,ukr_rus_twitter,covid_political,0.158440
f1,ukr_rus_twitter,cp_hk_twitter,0.153564
f1,ukr_rus_twitter,election2020,0.143480
f1,ukr_rus_twitter,midterm,0.298906
f1,ukr_rus_twitter,twibot20,0.391045
f1,ukr_rus_twitter,ukr_rus_suspended,0.223559
f1,ukr_rus_twitter,ukr_rus_twitter,0.505379
