architecture,baseline,baseline_mean_roc_auc,update100_mean_roc_auc,mean_delta,update100_cells_above_baseline_fraction
prodigy,supervised_mlp,0.7904767283686884,0.5840374708460508,-0.20643925752263761,0.016129032258064516
prodigy,supervised_graphsage,0.8341618643866645,0.5840374708460508,-0.25012439354061367,0.0
vision,supervised_mlp,0.7904767283686884,0.7390682512144319,-0.05140847715425655,0.41935483870967744
vision,supervised_graphsage,0.8341618643866645,0.7390682512144319,-0.09509361317223261,0.07258064516129033
gilt,supervised_mlp,0.7904767283686884,0.6831340151733253,-0.10734271319536319,0.1693548387096774
gilt,supervised_graphsage,0.8341618643866645,0.6831340151733253,-0.15102784921333928,0.0
