mixture_size,metric,targets,mean_step_100,mean_step_300,mean_step_900,mean_step_2500,mean_log_step_aulc
1,roc_auc_ovr_macro,7,0.737077863456793,0.7525601564357393,0.7655472043627685,0.7739511914981623,0.757590034296589
2,roc_auc_ovr_macro,7,0.756542051152743,0.7454416266287031,0.7592400895440777,0.777837839891096,0.7570216123624662
3,roc_auc_ovr_macro,7,0.7430072209309865,0.743049337982006,0.738763967340737,0.7566195895337314,0.7437843273486335
4,roc_auc_ovr_macro,7,0.7573490957358615,0.7506657331806653,0.7480413029630205,0.7598708975488648,0.7524027383973787
5,roc_auc_ovr_macro,7,0.7637057203263703,0.7536113846146986,0.7734887860243711,0.7702104689401031,0.7645148132789492
6,roc_auc_ovr_macro,7,0.7666093233412002,0.7491522455588553,0.7722515271074497,0.7758458502568074,0.763975227911789
1,f1_macro,7,0.5686828638731339,0.5675314436966448,0.5935109660036185,0.6114323650037382,0.5832511910118466
2,f1_macro,7,0.588050420754492,0.5649845532098466,0.5742966079273163,0.6087865896455297,0.5789389375437818
3,f1_macro,7,0.5726265912926273,0.5534661864189102,0.552377779709556,0.5797872623505398,0.5605545473462108
4,f1_macro,7,0.5877261799434452,0.5647538402556548,0.5604427354170621,0.5827193665368317,0.5701053232737368
5,f1_macro,7,0.5954683109840113,0.567804769260508,0.5927663951888238,0.5956948364117318,0.5851727356139438
6,f1_macro,7,0.5999470248220412,0.5615682242921484,0.5936621863058228,0.6025086183290597,0.5851848364559235
1,accuracy,7,0.5891155553399716,0.5864178030831754,0.6092711723559294,0.625419431164533,0.6005943380413497
2,accuracy,7,0.6060440501430682,0.5857085294922576,0.5894328834803034,0.6206774783357064,0.5959548916758146
3,accuracy,7,0.5969428070151854,0.5737051009182793,0.5679066432768819,0.5954070978273627,0.5792049780986631
4,accuracy,7,0.6129969557919013,0.5868324390714214,0.5787328840359992,0.598163162858902,0.5904280292320013
5,accuracy,7,0.6190478743938795,0.5899221690429661,0.6108105372223864,0.6106333901624174,0.6050588741214815
6,accuracy,7,0.6209392566308306,0.5843769470947587,0.6119052173964834,0.6193680369842968,0.6052357326208316
