run_id,family,target,sources,seed,checkpoint_step,roc_auc_ovr_macro,f1_macro,accuracy,classes,support_nodes,test_nodes,checkpoint
loo_cora_s0,leave_one_out,cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,100,0.9084589095822697,0.6555680845906394,0.6830932524639879,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_100.pt
loo_cora_s0,leave_one_out,cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,2500,0.9282704529609633,0.675483154776192,0.7047005307050797,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_2500.pt
loo_cora_s0,leave_one_out,cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,300,0.8746036663578602,0.5434527772608347,0.5693707354056103,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_300.pt
loo_cora_s0,leave_one_out,cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,900,0.9070439085743713,0.6196033203294039,0.650871872630781,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_900.pt
loo_covid_political_s0,leave_one_out,covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,100,0.8896146672299312,0.8005104118029978,0.8400930681991557,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_100.pt
loo_covid_political_s0,leave_one_out,covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,2500,0.8300063049234835,0.6802292088963025,0.7171209886589025,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_2500.pt
loo_covid_political_s0,leave_one_out,covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,300,0.8903811399322409,0.8123969335610162,0.8543457254742409,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_300.pt
loo_covid_political_s0,leave_one_out,covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,900,0.899132744106486,0.7992358726842286,0.8386563596602756,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_900.pt
loo_election2020_s0,leave_one_out,election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed",0,100,0.8894781951217237,0.805116847569633,0.8062905515004055,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_election2020_s0/checkpoints/step_100.pt
loo_election2020_s0,leave_one_out,election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed",0,2500,0.9830053386470874,0.9691571226954507,0.9693202554744526,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_election2020_s0/checkpoints/step_2500.pt
loo_election2020_s0,leave_one_out,election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed",0,300,0.9326864250112236,0.8551186977288305,0.8560675182481752,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_election2020_s0/checkpoints/step_300.pt
