train_graph,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter
ukr_rus_twitter,0.9470,0.9730,0.8811,0.8394,0.8262,0.7894,0.9218,0.7140
covid19_twitter,0.9264,0.9805,0.8842,0.8498,0.8345,0.7861,0.9258,0.7196
midterm,0.7970,0.8790,0.9252,0.8353,0.8047,0.6440,0.8613,0.6256
covid_political,0.6301,0.6985,0.6878,0.9145,0.7833,0.5510,0.7374,0.5444
election2020,0.6018,0.6551,0.6804,0.7872,0.9519,0.5627,0.7096,0.5475
ukr_rus_suspended,0.7695,0.8307,0.7247,0.7325,0.7275,0.9640,0.7647,0.6225
twibot20,0.8688,0.9473,0.8600,0.8431,0.8025,0.7115,0.9487,0.6895
cp_hk_twitter,0.6808,0.7579,0.7629,0.6827,0.6412,0.6025,0.7378,0.9055
