name,feature_dim,n_labeled,n_classes,majority_acc,test_accuracy,test_f1_macro,test_roc_auc
election2020,768,78932,2,0.5382,0.8772,0.8768,0.9497
covid_political,768,78672,2,0.7535,0.8553,0.8171,0.9102
twibot20,768,11826,2,0.5572,0.6573,0.6531,0.7067
ukr_rus_suspended,768,56438,2,0.5770,0.5879,0.5706,0.6049
