run_id,display_name,state,dataset,task_name,prefix,pretrained_model_run,n_shots,n_way,n_query,zero_shot,test_accuracy,train_accuracy,test_f1,test_roc_auc,created_at,steps,tags,train1_dataset,train1_task,eval1_task,shot_label,eval1_dataset,trained_on_display_name,month/day,trained_on_n_way,trained_on_n_query,trained_on_n_shots,trained_on_steps,auc
c5ullev7,train3_exp3_covid_nm_to_ukr_rus_nm_to_election2020_nm_28_04_2026_07_06_26,crashed,election2020,neighbor_matching,train3_exp3_covid_nm_to_ukr_rus_nm_to_election2020_nm,/scratch1/singhama/data/experiments/exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26/checkpoint/state_dict_30000.ckpt,3,3,12,False,0.6730333333333334,,0.6729856497010073,0.884956940185185,2026-04-28 14:06:29+00:00,3685.0,['train3_v1'],,,nm,3,election2020,scratch1,4/28,,,,,0.884956940185185
qk6uf2kq,train3_exp15_ukr_rus_nm_to_covid_nm_to_covid_political_nm_28_04_2026_07_06_26,failed,covid_political,neighbor_matching,train3_exp15_ukr_rus_nm_to_covid_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp15_train2_ukr_rus_nm_to_covid_nm_23_04_2026_13_33_55/state_dict,3,3,12,False,,,,,2026-04-28 14:06:27+00:00,,[],,,nm,3,covid_political,scratch1,4/28,,,,,
kj7k8und,train3_exp1_midterm_nm_to_covid_nm_to_ukr_rus_nm_28_04_2026_07_05_55,crashed,ukr_rus_twitter,neighbor_matching,train3_exp1_midterm_nm_to_covid_nm_to_ukr_rus_nm,/scratch1/singhama/data/experiments/train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00/state_dict,3,2,8,False,0.95385,,0.9538938008891552,0.99230570625,2026-04-28 14:06:11+00:00,22637.0,[],,,nm,3,ukr_rus_twitter,scratch1,4/28,,,,,0.99230570625
204u9rd4,train3_exp13_covid_nm_to_midterm_nm_to_ukr_rus_nm_28_04_2026_07_05_56,failed,ukr_rus_twitter,neighbor_matching,train3_exp13_covid_nm_to_midterm_nm_to_ukr_rus_nm,/scratch1/singhama/data/experiments/exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00/checkpoint/state_dict_15000.ckpt,3,2,8,False,,,,,2026-04-28 14:06:11+00:00,,[],,,nm,3,ukr_rus_twitter,scratch1,4/28,,,,,
cpx3elhm,train3_exp3_covid_nm_to_ukr_rus_nm_to_covid_political_nm_28_04_2026_07_06_05,crashed,covid_political,neighbor_matching,train3_exp3_covid_nm_to_ukr_rus_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26/checkpoint/state_dict_30000.ckpt,3,3,12,False,0.7332,,0.733229109540097,0.9165226269444444,2026-04-28 14:06:06+00:00,9000.0,[],,,nm,3,covid_political,scratch1,4/28,,,,,0.9165226269444444
dzvf64xv,train3_exp13_covid_nm_to_midterm_nm_to_covid_political_nm_28_04_2026_07_06_00,failed,covid_political,neighbor_matching,train3_exp13_covid_nm_to_midterm_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00/checkpoint/state_dict_15000.ckpt,3,3,12,False,,,,,2026-04-28 14:06:02+00:00,,[],,,nm,3,covid_political,scratch1,4/28,,,,,
r8p5czz5,train3_exp2_midterm_nm_to_ukr_rus_nm_to_covid_nm_28_04_2026_07_05_55,crashed,covid19_twitter,neighbor_matching,train3_exp2_midterm_nm_to_ukr_rus_nm_to_covid_nm,/scratch1/singhama/data/experiments/exp2_train2_midterm_nm_to_ukr_rus_nm_16_04_2026_10_32_38/checkpoint/state_dict_27000.ckpt,3,3,8,False,0.9691666666666666,,0.9691660566010408,0.9978122875,2026-04-28 14:06:01+00:00,40964.0,[],,,nm,3,covid19_twitter,scratch1,4/28,,,,,0.9978122875
8ae2aex2,train3_exp14_ukr_rus_nm_to_midterm_nm_to_covid_nm_28_04_2026_07_05_55,failed,covid19_twitter,neighbor_matching,train3_exp14_ukr_rus_nm_to_midterm_nm_to_covid_nm,/scratch1/singhama/data/experiments/exp14_train2_ukr_rus_nm_to_midterm_nm_23_04_2026_13_26_26/checkpoint/state_dict_12000.ckpt,3,3,8,False,,,,,2026-04-28 14:06:01+00:00,,[],,,nm,3,covid19_twitter,scratch1,4/28,,,,,
0la2o24k,train3_exp3_covid_nm_to_ukr_rus_nm_to_ukr_rus_suspended_nm_28_04_2026_07_05_56,crashed,ukr_rus_suspended,neighbor_matching,train3_exp3_covid_nm_to_ukr_rus_nm_to_ukr_rus_suspended_nm,/scratch1/singhama/data/experiments/exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26/checkpoint/state_dict_30000.ckpt,3,3,12,False,0.7715,,0.7715045187107735,0.9241267305555556,2026-04-28 14:05:58+00:00,9000.0,[],,,nm,3,ukr_rus_suspended,scratch1,4/28,,,,,0.9241267305555556
umpmrwus,train3_exp1_midterm_nm_to_covid_nm_to_election2020_nm_28_04_2026_07_05_55,crashed,election2020,neighbor_matching,train3_exp1_midterm_nm_to_covid_nm_to_election2020_nm,/scratch1/singhama/data/experiments/train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00/state_dict,3,3,12,False,0.6761111111111111,,0.6761101978571494,0.8862653059259259,2026-04-28 14:05:58+00:00,3633.0,[],,,nm,3,election2020,scratch1,4/28,,,,,0.8862653059259259
