role,combined_delta_baseline,individuals_compared,best_single_arm,best_single_delta_baseline,combined_delta_best_single,status_vs_best,beats_baseline_and_best
included,0.003362744498526901,15,objective,0.0025284896465553736,0.0008342548519715276,inconclusive,False
unseen,0.00018817802955362062,15,exposure,0.007492376332995598,-0.007304198303441978,degraded,False
all_targets,0.003010014890863203,15,objective,0.002226211574038042,0.0007838033168251612,inconclusive,False
