consumed_episodes,exposure_episodes,model_id,source,training_steps
10000,1216.0,nmi_alignment_r8_s0,ukr_rus,10000
10000,1232.0,nmi_alignment_r8_s0,covid,10000
10000,1208.0,nmi_alignment_r8_s0,midterm,10000
10000,1280.0,nmi_alignment_r8_s0,covid_political,10000
10000,1254.0,nmi_alignment_r8_s0,election2020,10000
10000,1294.0,nmi_alignment_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_alignment_r8_s0,twibot20,10000
10000,1266.0,nmi_alignment_r8_s0,cp_hk,10000
10000,1250.0,nmi_alignment_r8_s0,facebook_page_reference,10000
6000,698.0,nmi_sharing_r8_s0,ukr_rus,6000
6000,735.0,nmi_sharing_r8_s0,covid,6000
6000,739.0,nmi_sharing_r8_s0,midterm,6000
6000,780.0,nmi_sharing_r8_s0,covid_political,6000
6000,753.0,nmi_sharing_r8_s0,election2020,6000
6000,786.0,nmi_sharing_r8_s0,ukr_rus_suspended,6000
6000,0.0,nmi_sharing_r8_s0,twibot20,6000
6000,741.0,nmi_sharing_r8_s0,cp_hk,6000
6000,768.0,nmi_sharing_r8_s0,facebook_page_reference,6000
10000,1248.0,nmi_capacity_r8_s0,ukr_rus,10000
10000,1234.0,nmi_capacity_r8_s0,covid,10000
10000,1174.0,nmi_capacity_r8_s0,midterm,10000
10000,1295.0,nmi_capacity_r8_s0,covid_political,10000
10000,1233.0,nmi_capacity_r8_s0,election2020,10000
10000,1295.0,nmi_capacity_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_capacity_r8_s0,twibot20,10000
10000,1265.0,nmi_capacity_r8_s0,cp_hk,10000
10000,1256.0,nmi_capacity_r8_s0,facebook_page_reference,10000
10000,1216.0,nmi_objective_r8_s0,ukr_rus,10000
10000,1232.0,nmi_objective_r8_s0,covid,10000
10000,1208.0,nmi_objective_r8_s0,midterm,10000
10000,1280.0,nmi_objective_r8_s0,covid_political,10000
10000,1254.0,nmi_objective_r8_s0,election2020,10000
10000,1294.0,nmi_objective_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_objective_r8_s0,twibot20,10000
10000,1266.0,nmi_objective_r8_s0,cp_hk,10000
10000,1250.0,nmi_objective_r8_s0,facebook_page_reference,10000
10000,1284.0,nmi_region_adaptive_r8_s0,ukr_rus,10000
10000,1280.0,nmi_region_adaptive_r8_s0,covid,10000
10000,1280.0,nmi_region_adaptive_r8_s0,midterm,10000
10000,1258.0,nmi_region_adaptive_r8_s0,covid_political,10000
10000,1227.0,nmi_region_adaptive_r8_s0,election2020,10000
10000,1222.0,nmi_region_adaptive_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_region_adaptive_r8_s0,twibot20,10000
10000,1211.0,nmi_region_adaptive_r8_s0,cp_hk,10000
10000,1238.0,nmi_region_adaptive_r8_s0,facebook_page_reference,10000
10000,1235.0,nmi_coverage_r8_s0,ukr_rus,10000
10000,1252.0,nmi_coverage_r8_s0,covid,10000
10000,1214.0,nmi_coverage_r8_s0,midterm,10000
10000,1258.0,nmi_coverage_r8_s0,covid_political,10000
10000,1304.0,nmi_coverage_r8_s0,election2020,10000
10000,1254.0,nmi_coverage_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_coverage_r8_s0,twibot20,10000
10000,1206.0,nmi_coverage_r8_s0,cp_hk,10000
10000,1277.0,nmi_coverage_r8_s0,facebook_page_reference,10000
10000,1216.0,nmi_budget_r8_s0,ukr_rus,10000
10000,1232.0,nmi_budget_r8_s0,covid,10000
10000,1208.0,nmi_budget_r8_s0,midterm,10000
10000,1280.0,nmi_budget_r8_s0,covid_political,10000
10000,1254.0,nmi_budget_r8_s0,election2020,10000
10000,1294.0,nmi_budget_r8_s0,ukr_rus_suspended,10000
10000,0.0,nmi_budget_r8_s0,twibot20,10000
10000,1266.0,nmi_budget_r8_s0,cp_hk,10000
10000,1250.0,nmi_budget_r8_s0,facebook_page_reference,10000
10000,10000.0,nmi_baseline_r1_s0,ukr_rus,10000
10000,0.0,nmi_baseline_r1_s0,covid,10000
10000,0.0,nmi_baseline_r1_s0,midterm,10000
10000,0.0,nmi_baseline_r1_s0,covid_political,10000
10000,0.0,nmi_baseline_r1_s0,election2020,10000
10000,0.0,nmi_baseline_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_baseline_r1_s0,twibot20,10000
10000,0.0,nmi_baseline_r1_s0,cp_hk,10000
10000,0.0,nmi_baseline_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_exposure_r1_s0,ukr_rus,10000
10000,0.0,nmi_exposure_r1_s0,covid,10000
10000,0.0,nmi_exposure_r1_s0,midterm,10000
10000,0.0,nmi_exposure_r1_s0,covid_political,10000
10000,0.0,nmi_exposure_r1_s0,election2020,10000
10000,0.0,nmi_exposure_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_exposure_r1_s0,twibot20,10000
10000,0.0,nmi_exposure_r1_s0,cp_hk,10000
10000,0.0,nmi_exposure_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_schedule_r1_s0,ukr_rus,10000
10000,0.0,nmi_schedule_r1_s0,covid,10000
10000,0.0,nmi_schedule_r1_s0,midterm,10000
10000,0.0,nmi_schedule_r1_s0,covid_political,10000
10000,0.0,nmi_schedule_r1_s0,election2020,10000
10000,0.0,nmi_schedule_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_schedule_r1_s0,twibot20,10000
10000,0.0,nmi_schedule_r1_s0,cp_hk,10000
10000,0.0,nmi_schedule_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_composition_r1_s0,ukr_rus,10000
10000,0.0,nmi_composition_r1_s0,covid,10000
10000,0.0,nmi_composition_r1_s0,midterm,10000
10000,0.0,nmi_composition_r1_s0,covid_political,10000
10000,0.0,nmi_composition_r1_s0,election2020,10000
10000,0.0,nmi_composition_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_composition_r1_s0,twibot20,10000
10000,0.0,nmi_composition_r1_s0,cp_hk,10000
10000,0.0,nmi_composition_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_centers_r1_s0,ukr_rus,10000
10000,0.0,nmi_centers_r1_s0,covid,10000
10000,0.0,nmi_centers_r1_s0,midterm,10000
10000,0.0,nmi_centers_r1_s0,covid_political,10000
10000,0.0,nmi_centers_r1_s0,election2020,10000
10000,0.0,nmi_centers_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_centers_r1_s0,twibot20,10000
10000,0.0,nmi_centers_r1_s0,cp_hk,10000
10000,0.0,nmi_centers_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_eligibility_r1_s0,ukr_rus,10000
10000,0.0,nmi_eligibility_r1_s0,covid,10000
10000,0.0,nmi_eligibility_r1_s0,midterm,10000
10000,0.0,nmi_eligibility_r1_s0,covid_political,10000
10000,0.0,nmi_eligibility_r1_s0,election2020,10000
10000,0.0,nmi_eligibility_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_eligibility_r1_s0,twibot20,10000
10000,0.0,nmi_eligibility_r1_s0,cp_hk,10000
