arm,ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference,included_mean,twibot20
exposure,0.013770366263115674,0.01049473093844,0.002787942310859437,-0.0030980659627366514,-0.01245860930146836,-0.05853198917432767,-0.019846272879633364,-0.010007656990796754,-0.009611194349568461,
schedule,-0.01184766114443181,-0.011531920542662388,-0.005282489458719897,-0.02048823860869986,-0.010171638000970762,0.010591514494227239,-0.004972884161718927,-0.010367564771367133,-0.008008860274292942,
composition,-0.00016337783857334198,-0.005114187180310759,0.014737007261692803,0.018241900411145706,-0.002219378263100924,0.004739120362819094,0.008104478490763789,-0.023543367714717545,0.0018477744412148528,
centers,-0.004848327992976298,-0.004372916961538409,0.009694685059032149,0.008338890541559119,-0.0058260931365792246,-0.013478983407733014,-0.003987792990673644,-0.014777268897528062,-0.003657225973304673,
eligibility,-0.021883969882438903,-0.009481628050749369,0.011513300736745169,-0.007291243953266413,-0.010102346436730913,-0.0482054989913413,-0.004514470730704767,-0.00478191622372337,-0.011843471691526233,
positives,0.0051684438497172636,0.0014003990710463876,0.0015299464094227222,0.0013276634545162924,-0.007320358835417706,0.005378059820197123,-0.008838794834312269,-0.006091366828173017,-0.0009307509866254005,
negatives,0.0009774045012462818,0.001188748458335942,-0.001256776541128879,0.00814785368141091,-0.007846384212888746,-0.013682683308919308,-0.016390807875271585,-0.003390263003864691,-0.004031613537635009,
context,-0.015000219317688135,-0.008777933148132022,-0.0036284767348191416,-0.0165035420450671,-0.02703327214580853,-0.05682652791341147,-0.012673685605498752,0.0058391891676803365,-0.016825558467843102,
optimization,-0.0001285547497631434,-0.0005217209629627684,-0.016271520757127234,0.014643632406476037,0.002556612025732208,0.0023448578242597495,-0.009620930956697915,-0.0058902343114217715,-0.0016109824351881047,
alignment,-0.0030821744052841327,0.00033220189741278716,0.0018410490847179384,0.013716140286676004,0.0025599052166115355,0.002815242334343826,0.007897980185760822,-0.008200543776325842,0.0022349751029891174,
sharing,-0.024223060169439314,-0.015737484104331956,-0.004403890823495682,-0.02183117222511899,-0.019261733553875393,-0.025577791942947514,-0.011190643666804445,-0.003057765412604607,-0.015660442737327238,
capacity,0.00012742897559847588,-0.000987068949074854,-0.00017245816088284904,0.0068801481148292876,0.0014059176390196493,0.006972961042119086,-0.009405263127951868,-0.001925938567896024,0.0003619658707201129,
objective,-0.0003592843296882364,0.0007451786392036475,0.01059988531573064,0.007854474138939693,-0.0003436448930324021,0.0027316890913863245,0.0027520198931638706,-0.0037524006832605483,0.0025284896465553736,
region_adaptive,-0.007096292917755709,-0.007203527017571654,0.003795529645064799,0.006003802535177849,-0.009640345491211955,-0.022491640880190178,-0.016920490374510266,0.003698185668594367,-0.006231847354050343,
coverage,-0.0005163791535912621,-0.0056095494621104525,0.0050532327301198166,-0.0039388048237768425,-0.00026609006969413596,0.0013182161868301456,-0.008902795287384357,-0.004737910594063366,-0.0022000100592088068,
budget,-0.0013121093826731212,-0.0002637424688232137,-0.0040847494684416175,0.014653566102872051,-0.00326823023543954,-0.0008302198059257915,0.001957155233141883,-0.014564301364723309,-0.0009640789237515823,
