arm,rung,role,roc_auc,target_count,expected_targets,complete_panel
coverage,1,included,0.9278170380099066,1,1,True
coverage,1,not_yet_included,0.8389088357023418,7,7,True
coverage,1,unseen,0.8885787618571314,1,1,True
coverage,2,included,0.9423097160355798,2,2,True
coverage,2,not_yet_included,0.8164161027162925,6,6,True
coverage,2,unseen,0.8988292158335104,1,1,True
coverage,3,included,,1,3,False
coverage,3,unseen,0.9011551440447227,1,1,True
coverage,4,included,,1,4,False
coverage,4,unseen,0.898647846024612,1,1,True
coverage,5,included,,1,5,False
coverage,5,unseen,0.89846915034042,1,1,True
coverage,6,unseen,0.8880042421406712,1,1,True
coverage,7,unseen,0.8919846182582023,1,1,True
coverage,8,included,0.8589973100300492,8,8,True
coverage,8,unseen,0.8963007150025203,1,1,True
eligibility,1,included,0.9156606535801944,1,1,True
eligibility,1,not_yet_included,0.8380181969092986,7,7,True
eligibility,1,unseen,0.8992084123622412,1,1,True
eligibility,2,included,0.935966466281606,2,2,True
eligibility,2,not_yet_included,0.8153635491128169,6,6,True
eligibility,2,unseen,0.9014918709623404,1,1,True
eligibility,3,included,0.9083425482114156,3,3,True
eligibility,3,not_yet_included,0.8093472624373161,5,5,True
eligibility,3,unseen,0.9003759789740902,1,1,True
eligibility,4,included,,1,4,False
eligibility,4,unseen,0.8987259715452962,1,1,True
eligibility,5,included,,1,5,False
eligibility,5,unseen,0.8954482825323081,1,1,True
eligibility,6,included,,1,6,False
eligibility,6,unseen,0.8997982629414264,1,1,True
eligibility,7,unseen,0.8982211100644076,1,1,True
eligibility,8,included,0.8493538483977318,8,8,True
eligibility,8,unseen,0.89050324703085,1,1,True
exposure,1,included,0.9296298401109104,1,1,True
exposure,1,not_yet_included,0.8440056255689786,7,7,True
exposure,1,unseen,0.8979113319824482,1,1,True
exposure,2,included,0.942559463744876,2,2,True
exposure,2,not_yet_included,0.8158693278429608,6,6,True
exposure,2,unseen,0.9018339721635844,1,1,True
exposure,3,included,0.9082548430139535,3,3,True
exposure,3,not_yet_included,0.8151211399319529,5,5,True
exposure,3,unseen,0.903189996056173,1,1,True
exposure,4,included,,1,4,False
exposure,4,unseen,0.9050206192608538,1,1,True
exposure,5,included,,1,5,False
exposure,5,unseen,0.9027552939009392,1,1,True
exposure,6,included,,1,6,False
exposure,6,unseen,0.903769213029708,1,1,True
exposure,7,unseen,0.9038812956590764,1,1,True
exposure,8,included,0.8515861257396895,8,8,True
exposure,8,unseen,0.9050377767661522,1,1,True
negatives,1,included,0.92561084744574,1,1,True
negatives,1,not_yet_included,0.8468325491217753,7,7,True
negatives,1,unseen,0.9036877970585878,1,1,True
negatives,2,included,0.9410042731241249,2,2,True
negatives,2,not_yet_included,0.8197748761295816,6,6,True
