protocol,model,comparison,order,source_count,model_id,checkpoint_step,stream,metric,scope,targets,mean_gain,fraction_targets_improved,worst_gain,worst_target
prodigy_ladder,PRODIGY,adjacent_rung,A,2,ordA_r2,2500,original,accuracy,all,5,-0.006271701388888891,0.4,-0.01942274305555558,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,2,ordA_r2,2500,original,accuracy,in_mix,0,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,ordA_r2,2500,original,accuracy,unseen,5,-0.006271701388888891,0.4,-0.01942274305555558,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,2,ordA_r2,2500,original,roc_auc,all,5,-0.007585869306399498,0.2,-0.020467122395833332,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,2,ordA_r2,2500,original,roc_auc,in_mix,0,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,ordA_r2,2500,original,roc_auc,unseen,5,-0.007585869306399498,0.2,-0.020467122395833332,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,3,ordA_r3,2500,original,accuracy,all,5,-0.006966145833333335,0.4,-0.018229166666666668,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,3,ordA_r3,2500,original,accuracy,in_mix,0,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,3,ordA_r3,2500,original,accuracy,unseen,5,-0.006966145833333335,0.4,-0.018229166666666668,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,3,ordA_r3,2500,original,roc_auc,all,5,-0.011863086841724555,0.0,-0.018135706583658855,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,3,ordA_r3,2500,original,roc_auc,in_mix,0,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,3,ordA_r3,2500,original,roc_auc,unseen,5,-0.011863086841724555,0.0,-0.018135706583658855,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,4,ordA_r4,2500,original,accuracy,all,5,-0.0009548611111111091,0.6,-0.02159288194444442,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,4,ordA_r4,2500,original,accuracy,in_mix,1,-0.02159288194444442,0.0,-0.02159288194444442,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,4,ordA_r4,2500,original,accuracy,unseen,4,0.004204644097222219,0.75,-0.0026041666666666665,election2020
prodigy_ladder,PRODIGY,adjacent_rung,A,4,ordA_r4,2500,original,roc_auc,all,5,0.00133762595094283,0.4,-0.013894399007161459,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,4,ordA_r4,2500,original,roc_auc,in_mix,1,-0.0018633618766877118,0.0,-0.0018633618766877118,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,4,ordA_r4,2500,original,roc_auc,unseen,4,0.002137872907850465,0.5,-0.013894399007161459,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,5,ordA_r5,2500,original,accuracy,all,5,0.011393229166666668,0.8,-0.0013020833333333333,election2020
prodigy_ladder,PRODIGY,adjacent_rung,A,5,ordA_r5,2500,original,accuracy,in_mix,2,0.013617621527777773,0.5,-0.0013020833333333333,election2020
prodigy_ladder,PRODIGY,adjacent_rung,A,5,ordA_r5,2500,original,accuracy,unseen,3,0.00991030092592593,1.0,0.0010850694444444569,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,A,5,ordA_r5,2500,original,roc_auc,all,5,0.007853486802842887,1.0,0.0035603841145833335,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,5,ordA_r5,2500,original,roc_auc,in_mix,2,0.007427498146339695,1.0,0.00597438105830439,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,5,ordA_r5,2500,original,roc_auc,unseen,3,0.008137479240511681,1.0,0.0035603841145833335,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,6,ordA_r6,2500,original,accuracy,all,5,-0.003016493055555551,0.4,-0.013020833333333334,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,6,ordA_r6,2500,original,accuracy,in_mix,3,-0.008391203703703696,0.0,-0.013020833333333334,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,6,ordA_r6,2500,original,accuracy,unseen,2,0.005045572916666666,1.0,0.0029296875,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,A,6,ordA_r6,2500,original,roc_auc,all,5,-0.0007736488624855506,0.4,-0.009480794270833334,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,6,ordA_r6,2500,original,roc_auc,in_mix,3,-0.00485879403573497,0.0,-0.009480794270833334,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,6,ordA_r6,2500,original,roc_auc,unseen,2,0.005354068897388579,1.0,0.004539136533383929,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,A,7,ordA_r7,2500,original,accuracy,all,5,0.00017361111111110876,0.4,-0.011610243055555544,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,7,ordA_r7,2500,original,accuracy,in_mix,4,-0.000515407986111114,0.25,-0.011610243055555544,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,7,ordA_r7,2500,original,accuracy,unseen,1,0.0029296875,1.0,0.0029296875,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,7,ordA_r7,2500,original,roc_auc,all,5,0.00879685672712914,0.8,-0.0010317578727816838,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,7,ordA_r7,2500,original,roc_auc,in_mix,4,0.008279211727189418,0.75,-0.0010317578727816838,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,7,ordA_r7,2500,original,roc_auc,unseen,1,0.010867436726888021,1.0,0.010867436726888021,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,8,ordA_r8,2500,original,accuracy,all,5,-0.001649305555555558,0.4,-0.013671875,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,8,ordA_r8,2500,original,accuracy,in_mix,4,0.0013563368055555525,0.5,-0.00390625,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,8,ordA_r8,2500,original,accuracy,unseen,1,-0.013671875,0.0,-0.013671875,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,8,ordA_r8,2500,original,roc_auc,all,5,-0.008615135852201491,0.4,-0.030826568603515625,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,8,ordA_r8,2500,original,roc_auc,in_mix,4,-0.0030622776643729572,0.5,-0.026611328125,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,8,ordA_r8,2500,original,roc_auc,unseen,1,-0.030826568603515625,0.0,-0.030826568603515625,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,A,9,all9,2500,original,accuracy,all,5,0.004622395833333341,0.6,-0.00640190972222221,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,A,9,all9,2500,original,accuracy,in_mix,5,0.004622395833333341,0.6,-0.00640190972222221,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,A,9,all9,2500,original,accuracy,unseen,0,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,9,all9,2500,original,roc_auc,all,5,0.008939257963204095,0.8,-0.009729597303602492,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,A,9,all9,2500,original,roc_auc,in_mix,5,0.008939257963204095,0.8,-0.009729597303602492,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,A,9,all9,2500,original,roc_auc,unseen,0,,,,
prodigy_ladder,PRODIGY,adjacent_rung,B,2,ordB_r2,2500,original,accuracy,all,5,0.04483506944444445,0.4,-0.006510416666666667,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,B,2,ordB_r2,2500,original,accuracy,in_mix,2,0.020833333333333336,0.5,-0.006510416666666667,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,B,2,ordB_r2,2500,original,accuracy,unseen,3,0.06083622685185186,0.3333333333333333,-0.0048828125,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,B,2,ordB_r2,2500,original,roc_auc,all,5,0.02994236887237172,0.4,-0.01519775390625,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,B,2,ordB_r2,2500,original,roc_auc,in_mix,2,-0.000935872395833333,0.5,-0.01519775390625,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,B,2,ordB_r2,2500,original,roc_auc,unseen,3,0.05052786305117509,0.3333333333333333,-0.007249196370442708,facebook_page_reference
prodigy_ladder,PRODIGY,adjacent_rung,B,3,ordB_r3,2500,original,accuracy,all,5,0.019835069444444436,0.8,-0.005208333333333333,election2020
prodigy_ladder,PRODIGY,adjacent_rung,B,3,ordB_r3,2500,original,accuracy,in_mix,2,0.015625,0.5,-0.005208333333333333,election2020
prodigy_ladder,PRODIGY,adjacent_rung,B,3,ordB_r3,2500,original,accuracy,unseen,3,0.022641782407407388,1.0,0.0035807291666666665,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,B,3,ordB_r3,2500,original,roc_auc,all,5,0.03212397540057148,1.0,0.004679361979166667,election2020
prodigy_ladder,PRODIGY,adjacent_rung,B,3,ordB_r3,2500,original,roc_auc,in_mix,2,0.022684733072916664,1.0,0.004679361979166667,election2020
prodigy_ladder,PRODIGY,adjacent_rung,B,3,ordB_r3,2500,original,roc_auc,unseen,3,0.03841680361900802,1.0,0.009983698527018267,twibot20
prodigy_ladder,PRODIGY,adjacent_rung,B,4,ordB_r4,2500,original,accuracy,all,5,0.010959201388888897,0.6,-0.009114583333333334,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,B,4,ordB_r4,2500,original,accuracy,in_mix,3,0.018554687499999997,0.6666666666666666,-0.009114583333333334,ukr_rus_suspended
