protocol,model,model_id,source_count,target,target_seen,stream,schedule,roc_auc,accuracy
prodigy_ladder,PRODIGY,all9,9,covid_political,True,original,native_mixture,0.9268093344606,0.8653428819444445
prodigy_ladder,PRODIGY,all9,9,election2020,True,original,native_mixture,0.9915771484375,0.9817708333333334
prodigy_ladder,PRODIGY,all9,9,facebook_page_reference,True,original,native_mixture,0.7801094055175781,0.7063802083333334
prodigy_ladder,PRODIGY,all9,9,twibot20,True,original,native_mixture,0.6229678259955512,0.5884331597222222
prodigy_ladder,PRODIGY,all9,9,ukr_rus_suspended,True,original,native_mixture,0.48443603515625,0.4856770833333333
prodigy_ladder,PRODIGY,ordA_r2,2,covid_political,False,original,native_mixture,0.9365361531575521,0.8674045138888888
prodigy_ladder,PRODIGY,ordA_r2,2,election2020,False,original,native_mixture,0.98681640625,0.9830729166666666
prodigy_ladder,PRODIGY,ordA_r2,2,facebook_page_reference,False,original,native_mixture,0.7668743133544922,0.6884765625
prodigy_ladder,PRODIGY,ordA_r2,2,twibot20,False,original,native_mixture,0.6030635127314815,0.5758463541666666
prodigy_ladder,PRODIGY,ordA_r2,2,ukr_rus_suspended,False,original,native_mixture,0.4842325846354167,0.4947916666666667
prodigy_ladder,PRODIGY,ordA_r3,3,covid_political,False,original,native_mixture,0.926898815013744,0.8770616319444443
prodigy_ladder,PRODIGY,ordA_r3,3,election2020,False,original,native_mixture,0.98431396484375,0.984375
prodigy_ladder,PRODIGY,ordA_r3,3,facebook_page_reference,False,original,native_mixture,0.7487386067708334,0.6728515625
prodigy_ladder,PRODIGY,ordA_r3,3,twibot20,False,original,native_mixture,0.5868612925211588,0.5639105902777778
prodigy_ladder,PRODIGY,ordA_r3,3,ukr_rus_suspended,False,original,native_mixture,0.4713948567708333,0.4765625
prodigy_ladder,PRODIGY,ordA_r4,4,covid_political,True,original,native_mixture,0.9250354531370565,0.85546875
prodigy_ladder,PRODIGY,ordA_r4,4,election2020,False,original,native_mixture,0.982696533203125,0.9817708333333334
prodigy_ladder,PRODIGY,ordA_r4,4,facebook_page_reference,False,original,native_mixture,0.7348442077636719,0.673828125
prodigy_ladder,PRODIGY,ordA_r4,4,twibot20,False,original,native_mixture,0.5917595757378472,0.5667317708333334
prodigy_ladder,PRODIGY,ordA_r4,4,ukr_rus_suspended,False,original,native_mixture,0.4905598958333333,0.4921875
prodigy_ladder,PRODIGY,ordA_r5,5,covid_political,True,original,native_mixture,0.9310098341953608,0.8840060763888888
prodigy_ladder,PRODIGY,ordA_r5,5,election2020,True,original,native_mixture,0.9915771484375,0.98046875
prodigy_ladder,PRODIGY,ordA_r5,5,facebook_page_reference,False,original,native_mixture,0.7516619364420573,0.6829427083333334
prodigy_ladder,PRODIGY,ordA_r5,5,twibot20,False,original,native_mixture,0.5957939006664135,0.5678168402777778
prodigy_ladder,PRODIGY,ordA_r5,5,ukr_rus_suspended,False,original,native_mixture,0.4941202799479167,0.51171875
prodigy_ladder,PRODIGY,ordA_r6,6,covid_political,True,original,native_mixture,0.9273994351610725,0.8718532986111112
prodigy_ladder,PRODIGY,ordA_r6,6,election2020,True,original,native_mixture,0.9900919596354166,0.98046875
prodigy_ladder,PRODIGY,ordA_r6,6,facebook_page_reference,False,original,native_mixture,0.7578309377034506,0.6901041666666666
prodigy_ladder,PRODIGY,ordA_r6,6,twibot20,False,original,native_mixture,0.6003330371997975,0.5707465277777778
prodigy_ladder,PRODIGY,ordA_r6,6,ukr_rus_suspended,True,original,native_mixture,0.4846394856770833,0.4986979166666667
prodigy_ladder,PRODIGY,ordA_r7,7,covid_political,True,original,native_mixture,0.9263676772882908,0.8602430555555557
prodigy_ladder,PRODIGY,ordA_r7,7,election2020,True,original,native_mixture,0.9906412760416666,0.98046875
prodigy_ladder,PRODIGY,ordA_r7,7,facebook_page_reference,False,original,native_mixture,0.7686983744303385,0.6930338541666666
prodigy_ladder,PRODIGY,ordA_r7,7,twibot20,True,original,native_mixture,0.6174528333875867,0.5881076388888888
prodigy_ladder,PRODIGY,ordA_r7,7,ukr_rus_suspended,True,original,native_mixture,0.5011189778645834,0.4908854166666667
prodigy_ladder,PRODIGY,ordA_r8,8,covid_political,True,original,native_mixture,0.9253428894796488,0.8628472222222222
prodigy_ladder,PRODIGY,ordA_r8,8,election2020,True,original,native_mixture,0.99078369140625,0.98046875
prodigy_ladder,PRODIGY,ordA_r8,8,facebook_page_reference,False,original,native_mixture,0.7378718058268229,0.6793619791666666
prodigy_ladder,PRODIGY,ordA_r8,8,twibot20,True,original,native_mixture,0.6326974232991537,0.5948350694444445
prodigy_ladder,PRODIGY,ordA_r8,8,ukr_rus_suspended,True,original,native_mixture,0.4745076497395833,0.4869791666666667
prodigy_ladder,PRODIGY,ordB_r2,2,covid_political,False,original,native_mixture,0.8876600854190779,0.8614366319444445
prodigy_ladder,PRODIGY,ordB_r2,2,election2020,True,original,native_mixture,0.98541259765625,0.9791666666666666
prodigy_ladder,PRODIGY,ordB_r2,2,facebook_page_reference,False,original,native_mixture,0.6378300984700521,0.5979817708333334
prodigy_ladder,PRODIGY,ordB_r2,2,twibot20,False,original,native_mixture,0.6112913908781828,0.5808376736111112
prodigy_ladder,PRODIGY,ordB_r2,2,ukr_rus_suspended,True,original,native_mixture,0.4620361328125,0.47265625
prodigy_ladder,PRODIGY,ordB_r3,3,covid_political,False,original,native_mixture,0.9270876660759066,0.8772786458333334
prodigy_ladder,PRODIGY,ordB_r3,3,election2020,True,original,native_mixture,0.9900919596354166,0.9739583333333334
prodigy_ladder,PRODIGY,ordB_r3,3,facebook_page_reference,False,original,native_mixture,0.7036692301432291,0.646484375
prodigy_ladder,PRODIGY,ordB_r3,3,twibot20,False,original,native_mixture,0.6212750894052012,0.5844184027777778
prodigy_ladder,PRODIGY,ordB_r3,3,ukr_rus_suspended,True,original,native_mixture,0.5027262369791666,0.5091145833333334
prodigy_ladder,PRODIGY,ordB_r4,4,covid_political,False,original,native_mixture,0.931131621937693,0.8752170138888888
prodigy_ladder,PRODIGY,ordB_r4,4,election2020,True,original,native_mixture,0.9872639973958334,0.98046875
prodigy_ladder,PRODIGY,ordB_r4,4,facebook_page_reference,True,original,native_mixture,0.7750345865885416,0.7047526041666666
prodigy_ladder,PRODIGY,ordB_r4,4,twibot20,False,original,native_mixture,0.6202113540084274,0.5856119791666666
prodigy_ladder,PRODIGY,ordB_r4,4,ukr_rus_suspended,True,original,native_mixture,0.5073649088541666,0.5
prodigy_ladder,PRODIGY,ordB_r5,5,covid_political,False,original,native_mixture,0.9175713621539835,0.8505859375
prodigy_ladder,PRODIGY,ordB_r5,5,election2020,True,original,native_mixture,0.9856770833333334,0.98046875
prodigy_ladder,PRODIGY,ordB_r5,5,facebook_page_reference,True,original,native_mixture,0.7578945159912109,0.6878255208333334
prodigy_ladder,PRODIGY,ordB_r5,5,twibot20,False,original,native_mixture,0.6221078943323205,0.5866970486111112
prodigy_ladder,PRODIGY,ordB_r5,5,ukr_rus_suspended,True,original,native_mixture,0.4866536458333333,0.4752604166666667
prodigy_ladder,PRODIGY,ordB_r6,6,covid_political,True,original,native_mixture,0.9263848198784722,0.865234375
prodigy_ladder,PRODIGY,ordB_r6,6,election2020,True,original,native_mixture,0.9867960611979166,0.9791666666666666
prodigy_ladder,PRODIGY,ordB_r6,6,facebook_page_reference,True,original,native_mixture,0.7631282806396484,0.7005208333333334
prodigy_ladder,PRODIGY,ordB_r6,6,twibot20,False,original,native_mixture,0.6239411389386212,0.5904947916666666
prodigy_ladder,PRODIGY,ordB_r6,6,ukr_rus_suspended,True,original,native_mixture,0.47723388671875,0.4674479166666667
prodigy_ladder,PRODIGY,ordB_r7,7,covid_political,True,original,native_mixture,0.9341248877254532,0.8657769097222222
prodigy_ladder,PRODIGY,ordB_r7,7,election2020,True,original,native_mixture,0.987548828125,0.98046875
prodigy_ladder,PRODIGY,ordB_r7,7,facebook_page_reference,True,original,native_mixture,0.7754522959391276,0.6982421875
prodigy_ladder,PRODIGY,ordB_r7,7,twibot20,False,original,native_mixture,0.6201431839554399,0.5843098958333334
