protocol,model,source_count,stream,schedule,scope,target_comparisons,mean_roc_auc,mean_accuracy,minimum_roc_auc
prodigy_ladder,PRODIGY,1,original,native_mixture,all,15,0.7375531561580705,0.6988932291666666,0.47723388671875
prodigy_ladder,PRODIGY,1,original,native_mixture,in_mix,2,0.5469416865596064,0.5303276909722222,0.47723388671875
prodigy_ladder,PRODIGY,1,original,native_mixture,unseen,13,0.7668779976347573,0.7248263888888891,0.50469970703125
prodigy_ladder,PRODIGY,1,original,native_mixture,common4_all,12,0.7394122606442298,0.7069769965277778,0.47723388671875
prodigy_ladder,PRODIGY,2,original,native_mixture,all,15,0.7431458838192034,0.7099464699074075,0.4620361328125
prodigy_ladder,PRODIGY,2,original,native_mixture,in_mix,3,0.6828183068169488,0.6760344328703703,0.4620361328125
prodigy_ladder,PRODIGY,2,original,native_mixture,unseen,12,0.758227778069767,0.7184244791666666,0.4842325846354167
prodigy_ladder,PRODIGY,2,original,native_mixture,common4_all,12,0.7468342310116615,0.7214988425925926,0.4620361328125
prodigy_ladder,PRODIGY,3,original,native_mixture,all,15,0.7510261268772704,0.7200810185185185,0.4713948567708333
prodigy_ladder,PRODIGY,3,original,native_mixture,in_mix,3,0.7005177486090012,0.6873553240740741,0.5027262369791666
prodigy_ladder,PRODIGY,3,original,native_mixture,unseen,12,0.763653221444338,0.7282624421296297,0.4713948567708333
prodigy_ladder,PRODIGY,3,original,native_mixture,common4_all,12,0.7530140013361173,0.7314814814814814,0.4713948567708333
prodigy_ladder,PRODIGY,4,original,native_mixture,all,15,0.7547415682317787,0.7219618055555554,0.4905598958333333
prodigy_ladder,PRODIGY,4,original,native_mixture,in_mix,6,0.7852973702513141,0.7442672164351851,0.5073649088541666
prodigy_ladder,PRODIGY,4,original,native_mixture,unseen,9,0.7343710335520887,0.7070915316358025,0.4905598958333333
prodigy_ladder,PRODIGY,4,original,native_mixture,common4_all,12,0.753320303473453,0.7293294270833334,0.4905598958333333
prodigy_ladder,PRODIGY,5,original,native_mixture,all,15,0.7554093506110549,0.7231626157407408,0.4866536458333333
prodigy_ladder,PRODIGY,5,original,native_mixture,in_mix,7,0.8120510229147719,0.7787233382936509,0.4866536458333333
prodigy_ladder,PRODIGY,5,original,native_mixture,unseen,8,0.7058478873453022,0.6745469835069444,0.4941202799479167
prodigy_ladder,PRODIGY,5,original,native_mixture,common4_all,12,0.7535354080514162,0.7308033130787037,0.4866536458333333
prodigy_ladder,PRODIGY,6,original,native_mixture,all,15,0.7537422729617773,0.71953125,0.47723388671875
prodigy_ladder,PRODIGY,6,original,native_mixture,in_mix,10,0.7848666838657709,0.7452039930555555,0.47723388671875
prodigy_ladder,PRODIGY,6,original,native_mixture,unseen,5,0.6914934511537906,0.668185763888889,0.491455078125
prodigy_ladder,PRODIGY,6,original,native_mixture,common4_all,12,0.750946113602124,0.7250434027777778,0.47723388671875
prodigy_ladder,PRODIGY,7,original,native_mixture,all,15,0.759130853095663,0.7213035300925926,0.4870402018229167
prodigy_ladder,PRODIGY,7,original,native_mixture,in_mix,11,0.7741304433974622,0.7328854955808081,0.4870402018229167
prodigy_ladder,PRODIGY,7,original,native_mixture,unseen,4,0.7178819797657154,0.689453125,0.4959309895833333
prodigy_ladder,PRODIGY,7,original,native_mixture,common4_all,12,0.7557748610100138,0.7276114004629631,0.4870402018229167
prodigy_ladder,PRODIGY,8,original,native_mixture,all,15,0.7558521412037038,0.7219907407407408,0.4745076497395833
prodigy_ladder,PRODIGY,8,original,native_mixture,in_mix,12,0.7900106112162272,0.7552806712962963,0.4745076497395833
prodigy_ladder,PRODIGY,8,original,native_mixture,unseen,3,0.6192182611536096,0.5888310185185185,0.4803059895833333
prodigy_ladder,PRODIGY,8,original,native_mixture,common4_all,12,0.7545337853608308,0.7294198495370371,0.4745076497395833
prodigy_ladder,PRODIGY,9,original,native_mixture,all,5,0.7611799499134959,0.7255208333333334,0.48443603515625
prodigy_ladder,PRODIGY,9,original,native_mixture,in_mix,5,0.7611799499134959,0.7255208333333334,0.48443603515625
prodigy_ladder,PRODIGY,9,original,native_mixture,unseen,0,,,
prodigy_ladder,PRODIGY,9,original,native_mixture,common4_all,4,0.7564475860124753,0.7303059895833334,0.48443603515625
prodigy_lattice,PRODIGY,1,original,native_mixture,all,45,0.7220889935277616,0.6865451388888889,0.46270751953125
prodigy_lattice,PRODIGY,1,original,native_mixture,in_mix,5,0.7365559330692998,0.6977213541666667,0.47119140625
prodigy_lattice,PRODIGY,1,original,native_mixture,unseen,40,0.7202806260850695,0.6851481119791667,0.46270751953125
prodigy_lattice,PRODIGY,1,original,native_mixture,common4_all,36,0.7248206001250342,0.6958550347222222,0.46270751953125
prodigy_lattice,PRODIGY,2,original,native_mixture,all,180,0.7436173293816211,0.7066876446759258,0.45404052734375
prodigy_lattice,PRODIGY,2,original,native_mixture,in_mix,40,0.7517825462200023,0.7096435546875,0.45404052734375
prodigy_lattice,PRODIGY,2,original,native_mixture,unseen,140,0.7412844102849405,0.7058430989583334,0.4603271484375
prodigy_lattice,PRODIGY,2,original,native_mixture,common4_all,144,0.7462826255908228,0.7167064525462963,0.45404052734375
prodigy_lattice,PRODIGY,8,original,native_mixture,all,45,0.760378682956774,0.7280020254629629,0.45867919921875
prodigy_lattice,PRODIGY,8,original,native_mixture,in_mix,40,0.7598327778003834,0.7276692708333333,0.45867919921875
prodigy_lattice,PRODIGY,8,original,native_mixture,unseen,5,0.7647459242078993,0.7306640625,0.51263427734375
prodigy_lattice,PRODIGY,8,original,native_mixture,common4_all,36,0.7572369497008775,0.7338957609953703,0.45867919921875
prodigy_schedule,PRODIGY,2,fresh,blocked,all,5,0.760660708392108,0.7269097222222223,0.51861572265625
prodigy_schedule,PRODIGY,2,fresh,blocked,in_mix,0,,,
prodigy_schedule,PRODIGY,2,fresh,blocked,unseen,5,0.760660708392108,0.7269097222222223,0.51861572265625
prodigy_schedule,PRODIGY,2,fresh,blocked,common4_all,4,0.76733163551048,0.7404242621527778,0.51861572265625
prodigy_schedule,PRODIGY,2,fresh,interleaved,all,5,0.7616796988028066,0.7294270833333334,0.5048014322916666
