protocol,model,comparison,order,source_count,previous_source_count,checkpoint_step,stream,metric,scope,target_comparisons,distinct_targets,training_seeds_min,mean_gain,fraction_improved,worst_gain,best_gain,worst_target
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,all,5,5,3.0,-0.006271701388888891,0.4,-0.01942274305555558,0.006510416666666667,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,in_mix,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,unseen,5,5,3.0,-0.006271701388888891,0.4,-0.01942274305555558,0.006510416666666667,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,incumbent,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,newcomer,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,common4_all,4,4,3.0,-0.008002387152777781,0.25,-0.01942274305555558,0.006510416666666667,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,common4_in_mix,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,accuracy,common4_unseen,4,4,3.0,-0.008002387152777781,0.25,-0.01942274305555558,0.006510416666666667,covid_political
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,all,5,5,3.0,-0.007585869306399498,0.2,-0.020467122395833332,0.005736033121744792,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,in_mix,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,unseen,5,5,3.0,-0.007585869306399498,0.2,-0.020467122395833332,0.005736033121744792,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,incumbent,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,newcomer,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,common4_all,4,4,3.0,-0.010916344913435572,0.0,-0.020467122395833332,-0.00020345052083333334,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,common4_in_mix,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,2500,original,roc_auc,common4_unseen,4,4,3.0,-0.010916344913435572,0.0,-0.020467122395833332,-0.00020345052083333334,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,2500,original,accuracy,all,5,5,3.0,-0.006966145833333335,0.4,-0.018229166666666668,0.009657118055555544,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,2500,original,accuracy,in_mix,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,2500,original,accuracy,unseen,5,5,3.0,-0.006966145833333335,0.4,-0.018229166666666668,0.009657118055555544,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,2500,original,accuracy,incumbent,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,2500,original,accuracy,newcomer,0,0,,,,,,
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,2500,original,accuracy,common4_all,4,4,3.0,-0.004801432291666666,0.5,-0.018229166666666668,0.009657118055555544,ukr_rus_suspended
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,2500,original,accuracy,common4_in_mix,0,0,,,,,,
