protocol,model,objective,comparison,order,source_count,previous_source_count,added_sources,model_id,physical_model_id,reference_model_id,sources,target,target_seen,role,training_seed,checkpoint_step,stream,metric,value,reference_value,gain
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",covid_political,False,unseen,1,2500,original,accuracy,0.85546875,0.8759765625,-0.0205078125
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",covid_political,False,unseen,1,2500,original,roc_auc,0.92745519567419,0.9311088279441552,-0.003653632269965179
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",covid_political,False,unseen,1,2500,original,accuracy,0.85546875,0.8759765625,-0.0205078125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,1,2500,original,roc_auc,0.986328125,0.9853515625,0.0009765625
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,1,2500,original,accuracy,0.98046875,0.98046875,0.0
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,1,2500,original,roc_auc,0.986328125,0.9853515625,0.0009765625
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,1,2500,original,accuracy,0.98046875,0.98046875,0.0
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,1,2500,original,roc_auc,0.7804374694824219,0.7413578033447266,0.03907966613769531
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,1,2500,original,accuracy,0.7060546875,0.669921875,0.0361328125
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,1,2500,original,roc_auc,0.7804374694824219,0.7413578033447266,0.03907966613769531
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,1,2500,original,accuracy,0.7060546875,0.669921875,0.0361328125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,1,2500,original,roc_auc,0.6068695916069878,0.6085323757595487,-0.0016627841525608256
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,1,2500,original,accuracy,0.578125,0.5856119791666666,-0.00748697916666663
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,1,2500,original,roc_auc,0.6068695916069878,0.6085323757595487,-0.0016627841525608256
