protocol,model,comparison,order,source_count,previous_source_count,model_id,target,target_seen,role,checkpoint_step,stream,metric,gain,training_seeds,seed_min_gain,seed_max_gain
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,covid_political,False,unseen,2500,original,accuracy,-0.01942274305555558,3,-0.03645833333333337,-0.0013020833333333703
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,covid_political,False,unseen,2500,original,roc_auc,-0.0036308382764274802,3,-0.0039556997793692705,-0.0032831827799479907
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,election2020,False,unseen,2500,original,accuracy,0.0,3,0.0,0.0
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,election2020,False,unseen,2500,original,roc_auc,-0.00020345052083333334,3,-0.003662109375,0.0020751953125
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,facebook_page_reference,False,unseen,2500,original,accuracy,0.0006510416666666666,3,-0.01953125,0.0361328125
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,facebook_page_reference,False,unseen,2500,original,roc_auc,0.005736033121744792,3,-0.019916534423828125,0.03907966613769531
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,twibot20,False,unseen,2500,original,accuracy,-0.01909722222222221,3,-0.03678385416666674,-0.00748697916666663
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,twibot20,False,unseen,2500,original,roc_auc,-0.01936396846064814,3,-0.04057163662380636,-0.0016627841525608256
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,ukr_rus_suspended,False,unseen,2500,original,accuracy,0.006510416666666667,3,-0.03125,0.03515625
prodigy_ladder,PRODIGY,adjacent_rung,A,2,1.0,ordA_r2,ukr_rus_suspended,False,unseen,2500,original,roc_auc,-0.020467122395833332,3,-0.04931640625,0.01312255859375
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,covid_political,False,unseen,2500,original,accuracy,0.009657118055555544,3,-0.00390625,0.03190104166666663
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,covid_political,False,unseen,2500,original,roc_auc,-0.009637338143807997,3,-0.01970390037254055,0.003976892541955768
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,election2020,False,unseen,2500,original,accuracy,0.0013020833333333333,3,0.0,0.00390625
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,election2020,False,unseen,2500,original,roc_auc,-0.00250244140625,3,-0.00738525390625,0.0010986328125
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,facebook_page_reference,False,unseen,2500,original,accuracy,-0.015625,3,-0.0419921875,0.01171875
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,facebook_page_reference,False,unseen,2500,original,roc_auc,-0.018135706583658855,3,-0.032299041748046875,-0.003368377685546875
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,twibot20,False,unseen,2500,original,accuracy,-0.011935763888888876,3,-0.03743489583333337,0.00618489583333337
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,twibot20,False,unseen,2500,original,roc_auc,-0.016202220210322582,3,-0.04369015163845491,0.0032925075954862715
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,ukr_rus_suspended,False,unseen,2500,original,accuracy,-0.018229166666666668,3,-0.04296875,-0.00390625
prodigy_ladder,PRODIGY,adjacent_rung,A,3,2.0,ordA_r3,ukr_rus_suspended,False,unseen,2500,original,roc_auc,-0.012837727864583334,3,-0.0657958984375,0.0137939453125
prodigy_ladder,PRODIGY,adjacent_rung,A,4,3.0,ordA_r4,covid_political,True,newcomer,2500,original,accuracy,-0.02159288194444442,3,-0.05436197916666663,-0.0035807291666666297
prodigy_ladder,PRODIGY,adjacent_rung,A,4,3.0,ordA_r4,covid_political,True,newcomer,2500,original,roc_auc,-0.0018633618766877118,3,-0.01801300048828114,0.006583319769965401
