protocol,model,objective,model_id,sources,source_count,target,target_canonical_name,target_seen,training_seed,checkpoint_step,budget_regime,stream,schedule,episode_fingerprint,roc_auc,accuracy,source_path
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r3,"covid,midterm,ukr_rus",3,covid_political,covid-political,False,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.9227461638274016,0.8805338541666666,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r3,"covid,midterm,ukr_rus",3,election2020,election2020-political,False,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.9820556640625,0.984375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r3,"covid,midterm,ukr_rus",3,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7487602233886719,0.6845703125,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r3,"covid,midterm,ukr_rus",3,twibot20,twibot20,False,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.5982943640814888,0.57421875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r3,"covid,midterm,ukr_rus",3,ukr_rus_suspended,ukraine-suspended,False,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.44488525390625,0.46484375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r4,"covid,covid_political,midterm,ukr_rus",4,covid_political,covid-political,True,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.929329483597367,0.8736979166666666,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r4,"covid,covid_political,midterm,ukr_rus",4,election2020,election2020-political,False,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.982757568359375,0.984375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r4,"covid,covid_political,midterm,ukr_rus",4,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.726165771484375,0.6748046875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r4,"covid,covid_political,midterm,ukr_rus",4,twibot20,twibot20,False,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.5857145521375868,0.5582682291666666,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r4,"covid,covid_political,midterm,ukr_rus",4,ukr_rus_suspended,ukraine-suspended,False,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4708251953125,0.4765625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
