seed,width,k1_mean_auc,k6_auc,k6_minus_k1
0,64,0.8729815247653013,0.8086993521339697,-0.0642821726313316
0,512,0.9088457506367617,0.9067020164076594,-0.0021437342291023
1,64,0.8767736046874198,0.8156854938711605,-0.0610881108162593
1,512,0.9084506187460373,0.9002061688344558,-0.0082444499115815
2,64,0.8769135068853855,0.7995365559881421,-0.0773769508972434
2,512,0.9093808721908978,0.8888668308733785,-0.0205140413175193
