dataset,model,target,transform,shots,n_query,episodes,alpha,features,n_hop,hop_sizes,node_limit,spearman,rmse,r2,n_pred,n_labeled
midterm,__features_only__,followers_count,log1p,10,12,500,1.0,raw_x,2,"9,9",101,0.25969095768960315,2.1561616384413265,-0.01878797345433103,6000,333430
midterm,sat_h2m_shared_s000000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2106935385544174,20.40830365303713,-90.27145934874967,6000,333430
midterm,sat_h2m_all8_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.16206505224443554,288.8643720014067,-18284.596819865375,6000,333430
midterm,sat_h2m_all8_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.13929212590824233,32.83208204825807,-235.2207415049982,6000,333430
midterm,sat_h2m_all8_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.11456702287516983,18.045430627445388,-70.3601378382438,6000,333430
midterm,sat_h2m_all8_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.1473764078970089,252.3635997211953,-13955.438518673594,6000,333430
midterm,sat_h2m_all8_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.1596684382544329,14.962102248795683,-48.05761338164552,6000,333430
midterm,sat_h2m_all8_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.15737768639916083,13.986392483199158,-41.867938790747935,6000,333430
midterm,sat_h2m_ukr_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.17697080295997994,1787.5856570101273,-700251.8778899743,6000,333430
midterm,sat_h2m_ukr_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.17200368526267562,10.692576865719321,-24.05451161622528,6000,333430
midterm,sat_h2m_ukr_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.18424489133651026,2258.4471574676386,-1117739.652575928,6000,333430
midterm,sat_h2m_ukr_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.16722529910270387,119.6946640858354,-3138.5742621808063,6000,333430
midterm,sat_h2m_ukr_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.15976543191946987,12.141167927180748,-31.3029445245286,6000,333430
midterm,sat_h2m_ukr_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.1524059060774706,82.9370985545299,-1506.3664880722997,6000,333430
midterm,sat_h2m_covid_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2009009135907618,243.6224752459688,-13005.363348827228,6000,333430
midterm,sat_h2m_covid_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.15186019341267545,14.959904351145882,-48.04320154407806,6000,333430
midterm,sat_h2m_covid_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.15036425707030154,11.276552756458981,-26.865952452459027,6000,333430
midterm,sat_h2m_covid_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.15450420530148254,20.526859036560253,-91.33496298750026,6000,333430
midterm,sat_h2m_covid_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.1686043756401471,6.501213755889614,-8.262112907219056,6000,333430
midterm,sat_h2m_covid_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.1672926094887859,36.35803048934126,-288.6822457162584,6000,333430
midterm,__features_only__,account_age_days,log1p,10,12,500,1.0,raw_x,2,"9,9",101,0.039823129990235316,1.476818961115871,-0.25184462954907927,6000,333430
midterm,sat_h2m_shared_s000000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.022053296187137455,84.44560536205177,-4092.0779714831992,6000,333430
midterm,sat_h2m_all8_s000100,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.005944135670233441,175.0458450965889,-17586.314293194966,6000,333430
midterm,sat_h2m_all8_s000500,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.05725588450085603,43.841344466376256,-1102.2238427911454,6000,333430
midterm,sat_h2m_all8_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.05064824206162049,62.93653455312482,-2272.534573531643,6000,333430
midterm,sat_h2m_all8_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.07082425502832797,31.476997161968928,-567.6990476150719,6000,333430
midterm,sat_h2m_all8_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.0671830708129374,46.75501982910786,-1253.7361258126248,6000,333430
midterm,sat_h2m_all8_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.06137455328547679,10.621965944477676,-63.759833053649004,6000,333430
midterm,sat_h2m_ukr_s000100,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.029492554900189562,55.44339635338192,-1763.3939666521094,6000,333430
midterm,sat_h2m_ukr_s000500,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.07477158436359732,4.8702833303767745,-12.614583677048595,6000,333430
midterm,sat_h2m_ukr_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.07642070729971527,12.590967282472358,-89.99428189426133,6000,333430
midterm,sat_h2m_ukr_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.0792798711871541,22.498983393849525,-289.5505497271726,6000,333430
midterm,sat_h2m_ukr_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.09116228738856441,13.560834727639548,-104.55255669112178,6000,333430
midterm,sat_h2m_ukr_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.08617901302362674,8.317146714260382,-38.70494841692677,6000,333430
midterm,sat_h2m_covid_s000100,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.03137170767622863,58.01881430099531,-1931.1178348658902,6000,333430
midterm,sat_h2m_covid_s000500,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.10147036018377614,23.575367221463587,-318.01627791027084,6000,333430
midterm,sat_h2m_covid_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.07803185059585661,16.36018870823899,-152.62876123934316,6000,333430
midterm,sat_h2m_covid_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.075335584713083,3.3237564633907364,-5.340949594312468,6000,333430
midterm,sat_h2m_covid_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.07830375282586581,4.168854919623518,-8.975380587019064,6000,333430
midterm,sat_h2m_covid_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.0834819671408308,48.06744344332041,-1325.1662130018542,6000,333430
