dataset,model,target,transform,shots,n_query,episodes,alpha,features,n_hop,hop_sizes,node_limit,spearman,rmse,r2,n_pred,n_labeled
ukr_rus_twitter,sat_h2m_ukr_s000500,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.04493207095753488,9.599227178438143,-49.43542666299419,6000,10273623
ukr_rus_twitter,sat_h2m_ukr_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.04990528437511521,15.023304495594832,-122.53616029993618,6000,10273623
ukr_rus_twitter,sat_h2m_ukr_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.048361037359482495,5.615432426717335,-16.25955405046041,6000,10273623
ukr_rus_twitter,sat_h2m_ukr_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.04198869604146,34.52919801679624,-651.5835800564014,6000,10273623
ukr_rus_twitter,sat_h2m_ukr_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.048484813224073074,14.18422898826688,-109.12213606414055,6000,10273623
ukr_rus_twitter,sat_h2m_covid_s000100,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.02394855020099813,99.96567889351543,-5468.718787784027,6000,10273623
ukr_rus_twitter,sat_h2m_covid_s000500,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.029282330406492172,10.599502620641177,-60.49419665517503,6000,10273623
ukr_rus_twitter,sat_h2m_covid_s001000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.034968172788549745,23.658671627406697,-305.3683320620391,6000,10273623
ukr_rus_twitter,sat_h2m_covid_s002000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.05823954305384493,11.604669443970659,-72.7103897598887,6000,10273623
ukr_rus_twitter,sat_h2m_covid_s010000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.05369410678717877,5.134275824966822,-13.428512223952273,6000,10273623
ukr_rus_twitter,sat_h2m_covid_s040000,account_age_days,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.05054634036535823,15.96956537227509,-138.58840740205787,6000,10273623
