pair,target,score,auc,n,excluded
COVID political + suspended,ukr_rus_twitter,Baseline dot,0.9350313265306123,8400,0
COVID political + suspended,ukr_rus_twitter,Interleaved dot,0.9566369387755103,8400,0
COVID political + suspended,ukr_rus_twitter,Baseline magnitudes + interleaved angles,0.9500534693877551,8400,0
COVID political + suspended,ukr_rus_twitter,Interleaved magnitudes + baseline angles,0.9478065306122448,8400,0
COVID political + suspended,ukr_rus_twitter,Baseline cosine,0.9104088775510203,8400,0
COVID political + suspended,ukr_rus_twitter,Interleaved cosine,0.9242951020408164,8400,0
COVID political + suspended,covid19_twitter,Baseline dot,0.8968438775510205,8400,0
COVID political + suspended,covid19_twitter,Interleaved dot,0.9215517346938775,8400,0
COVID political + suspended,covid19_twitter,Baseline magnitudes + interleaved angles,0.9085119387755103,8400,0
COVID political + suspended,covid19_twitter,Interleaved magnitudes + baseline angles,0.9160423469387755,8400,0
COVID political + suspended,covid19_twitter,Baseline cosine,0.8835654081632653,8400,0
COVID political + suspended,covid19_twitter,Interleaved cosine,0.8951264285714284,8400,0
COVID political + suspended,midterm,Baseline dot,0.8319240816326532,8400,0
COVID political + suspended,midterm,Interleaved dot,0.9047533673469388,8400,0
COVID political + suspended,midterm,Baseline magnitudes + interleaved angles,0.8860542857142858,8400,0
COVID political + suspended,midterm,Interleaved magnitudes + baseline angles,0.8626218367346938,8400,0
COVID political + suspended,midterm,Baseline cosine,0.7998437755102041,8400,0
COVID political + suspended,midterm,Interleaved cosine,0.859426836734694,8400,0
COVID political + suspended,twibot20,Baseline dot,0.8515476020408164,8400,0
COVID political + suspended,twibot20,Interleaved dot,0.8937598469387755,8400,0
COVID political + suspended,twibot20,Baseline magnitudes + interleaved angles,0.8753777040816327,8400,0
COVID political + suspended,twibot20,Interleaved magnitudes + baseline angles,0.8808455612244898,8400,0
COVID political + suspended,twibot20,Baseline cosine,0.8550671428571428,8400,0
COVID political + suspended,twibot20,Interleaved cosine,0.8804822448979591,8400,0
COVID political + suspended,cp_hk_twitter,Baseline dot,0.8638235714285715,8400,0
COVID political + suspended,cp_hk_twitter,Interleaved dot,0.8785503061224489,8400,0
COVID political + suspended,cp_hk_twitter,Baseline magnitudes + interleaved angles,0.8754626530612245,8400,0
COVID political + suspended,cp_hk_twitter,Interleaved magnitudes + baseline angles,0.8723367346938775,8400,0
COVID political + suspended,cp_hk_twitter,Baseline cosine,0.8207643877551021,8400,0
COVID political + suspended,cp_hk_twitter,Interleaved cosine,0.8270467857142857,8400,0
COVID political + suspended,facebook_page_reference,Baseline dot,0.7877148979591837,8400,0
COVID political + suspended,facebook_page_reference,Interleaved dot,0.8120970408163265,8400,0
COVID political + suspended,facebook_page_reference,Baseline magnitudes + interleaved angles,0.8071210204081632,8400,0
COVID political + suspended,facebook_page_reference,Interleaved magnitudes + baseline angles,0.7968825510204082,8400,0
COVID political + suspended,facebook_page_reference,Baseline cosine,0.7822851020408164,8400,0
COVID political + suspended,facebook_page_reference,Interleaved cosine,0.8121623469387755,8400,0
