pair,target,validation_selected,test_best
Ukraine + Facebook,covid19_twitter,A,A
Ukraine + Facebook,midterm,A,A
Ukraine + Facebook,covid_political,A,A
Ukraine + Facebook,ukr_rus_suspended,A,A
Ukraine + Facebook,twibot20,A,A
Ukraine + Facebook,cp_hk_twitter,A,A
COVID political + suspended,ukr_rus_twitter,B,B
COVID political + suspended,covid19_twitter,B,B
COVID political + suspended,midterm,B,A
COVID political + suspended,twibot20,B,A
COVID political + suspended,cp_hk_twitter,B,B
COVID political + suspended,facebook_page_reference,B,B
