input_view	objective	cells	target_only_r2	source_only_r2	additive_source_target_r2	target_mean_range	source_mean_range
neighborhood	fp	81	0.9935	0.0019	0.9953	0.2433	0.0110
node_neighborhood	fp	81	0.9965	0.0019	0.9984	0.2374	0.0138
neighborhood	lp	54	0.6034	0.2253	0.8287	0.1866	0.1168
node_neighborhood	lp	54	0.3908	0.4189	0.8097	0.1608	0.1775
