metric,rule,cells,mae,median_absolute_error,rmse,pearson_r,fraction_within_0_001
loss,max,243,0.006843748956124242,0.0002425888524158,0.023936889000866664,0.9170724313733057,0.7325102880658436
loss,mean,243,0.2810990110280672,0.017995177651755557,0.7543026148635984,-0.0033610376036022002,0.1111111111111111
accuracy,max,243,0.000982393943723818,6.67572021484375e-06,0.0036604524652842146,0.9715732177097698,0.8888888888888888
accuracy,mean,243,0.0158707332720879,0.006222208340962876,0.025659859033522567,0.48508316767551485,0.13991769547325103
probability_margin,max,243,0.0034535671948405606,0.00039654970169078485,0.009216526990454397,0.9492567693299057,0.6172839506172839
probability_margin,mean,243,0.035680874012660325,0.018990984984806558,0.05335876532088203,0.47475664563035075,0.1111111111111111
