model,dataset,condition,shots,split,roc_auc,accuracy,f1,run
MIX,covid19_twitter,none,0,test,0.75508,0.6765,0.5790500975927131,eval_MIX_to_covid19_twitter_slp_0shot_21_07_2026_12_23_56
MIX,covid19_twitter,rewire,0,test,0.5330349999999999,0.4975,0.04103053435114504,eval_MIX_to_covid19_twitter_slp_ablE_0shot_21_07_2026_12_34_14
MIX,covid19_twitter,permute,0,test,0.7579622500000001,0.69075,0.6036526754245434,eval_MIX_to_covid19_twitter_slp_ablP_0shot_21_07_2026_12_43_38
MIX,covid19_twitter,both,0,test,0.539078,0.5045,0.06860902255639098,eval_MIX_to_covid19_twitter_slp_ablPE_0shot_21_07_2026_12_54_44
MIX,midterm,none,0,test,0.676129875,0.64225,0.5343312723722746,eval_MIX_to_midterm_slp_0shot_21_07_2026_12_23_34
MIX,midterm,rewire,0,test,0.56062125,0.49975,0.051209103840682786,eval_MIX_to_midterm_slp_ablE_0shot_21_07_2026_12_33_21
MIX,midterm,permute,0,test,0.67420875,0.6375,0.5279947916666666,eval_MIX_to_midterm_slp_ablP_0shot_21_07_2026_12_43_14
MIX,midterm,both,0,test,0.5464147500000001,0.49875,0.05200945626477541,eval_MIX_to_midterm_slp_ablPE_0shot_21_07_2026_12_54_21
MIX,twibot20,none,0,test,0.74460025,0.66475,0.566159818828858,eval_MIX_to_twibot20_slp_0shot_21_07_2026_12_30_54
MIX,twibot20,rewire,0,test,0.564689,0.5075,0.08029878618113913,eval_MIX_to_twibot20_slp_ablE_0shot_21_07_2026_12_40_37
MIX,twibot20,permute,0,test,0.7480545,0.67,0.5820139328689043,eval_MIX_to_twibot20_slp_ablP_0shot_21_07_2026_12_50_40
MIX,twibot20,both,0,test,0.56906675,0.50925,0.0814225549836219,eval_MIX_to_twibot20_slp_ablPE_0shot_21_07_2026_13_01_46
MIX,ukr_rus_twitter,none,0,test,0.8612627499999999,0.779,0.7390791027154664,eval_MIX_to_ukr_rus_twitter_slp_0shot_21_07_2026_12_23_34
MIX,ukr_rus_twitter,rewire,0,test,0.644427,0.529,0.15058611361587015,eval_MIX_to_ukr_rus_twitter_slp_ablE_0shot_21_07_2026_12_33_21
MIX,ukr_rus_twitter,permute,0,test,0.86780675,0.798,0.7653890824622532,eval_MIX_to_ukr_rus_twitter_slp_ablP_0shot_21_07_2026_12_43_14
MIX,ukr_rus_twitter,both,0,test,0.6772,0.537,0.1746880570409982,eval_MIX_to_ukr_rus_twitter_slp_ablPE_0shot_21_07_2026_12_54_20
NM,covid19_twitter,none,0,test,0.40565399999999996,0.4995,0.0,eval_NM_to_covid19_twitter_slp_0shot_21_07_2026_12_23_56
NM,covid19_twitter,rewire,0,test,0.39463662499999996,0.5,0.0,eval_NM_to_covid19_twitter_slp_ablE_0shot_21_07_2026_12_33_44
NM,covid19_twitter,permute,0,test,0.425079375,0.5,0.000999000999000999,eval_NM_to_covid19_twitter_slp_ablP_0shot_21_07_2026_12_43_38
NM,covid19_twitter,both,0,test,0.409856,0.5,0.0,eval_NM_to_covid19_twitter_slp_ablPE_0shot_21_07_2026_12_54_43
NM,midterm,none,0,test,0.48701012499999996,0.5,0.0,eval_NM_to_midterm_slp_0shot_21_07_2026_12_23_34
NM,midterm,rewire,0,test,0.48662937500000003,0.5,0.0,eval_NM_to_midterm_slp_ablE_0shot_21_07_2026_12_33_20
NM,midterm,permute,0,test,0.494428,0.50025,0.0009995002498750624,eval_NM_to_midterm_slp_ablP_0shot_21_07_2026_12_43_14
NM,midterm,both,0,test,0.47789675,0.5,0.0,eval_NM_to_midterm_slp_ablPE_0shot_21_07_2026_12_54_21
NM,twibot20,none,0,test,0.49065475,0.5,0.0,eval_NM_to_twibot20_slp_0shot_21_07_2026_12_30_38
NM,twibot20,rewire,0,test,0.5187768749999999,0.5,0.0,eval_NM_to_twibot20_slp_ablE_0shot_21_07_2026_12_40_37
NM,twibot20,permute,0,test,0.49806512500000005,0.5,0.0,eval_NM_to_twibot20_slp_ablP_0shot_21_07_2026_12_50_26
NM,twibot20,both,0,test,0.48460400000000003,0.5,0.0,eval_NM_to_twibot20_slp_ablPE_0shot_21_07_2026_13_01_38
NM,ukr_rus_twitter,none,0,test,0.48371125000000004,0.49975,0.0,eval_NM_to_ukr_rus_twitter_slp_0shot_21_07_2026_12_23_34
NM,ukr_rus_twitter,rewire,0,test,0.47930675,0.49975,0.0,eval_NM_to_ukr_rus_twitter_slp_ablE_0shot_21_07_2026_12_33_21
NM,ukr_rus_twitter,permute,0,test,0.5547420000000001,0.49975,0.0,eval_NM_to_ukr_rus_twitter_slp_ablP_0shot_21_07_2026_12_43_14
NM,ukr_rus_twitter,both,0,test,0.52453,0.5,0.0,eval_NM_to_ukr_rus_twitter_slp_ablPE_0shot_21_07_2026_12_54_21
