order,rung,added,source_count,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference,target_mean,in_mixture_mean,held_out_mean
A,1,ukr_rus_twitter,1,0.9999966621398926,0.9829300045967102,0.9843233227729797,0.9457557797431946,0.8473242521286011,0.9819627404212952,0.9842466711997986,0.9925633072853088,0.996886670589447,0.9684432678752475,0.9999966621398926,0.9644990935921669
A,2,covid19_twitter,2,0.9999933242797852,1.0,0.9999499917030334,0.9835138320922852,1.0,0.9558268189430237,0.9992466568946838,1.0,0.9871866703033447,0.9917463660240173,0.9999966621398926,0.9893891385623387
A,3,midterm,3,0.9999933242797852,1.0,0.9999266862869263,0.9964028000831604,1.0,0.9849574565887451,0.9999899864196777,1.0,0.9962300062179565,0.997500028875139,0.9999733368555704,0.9962633748849233
A,4,covid_political,4,0.9999866485595703,1.0,0.999886691570282,1.0,1.0,0.986644983291626,0.9999866485595703,1.0,0.9997433423995972,0.9984720349311829,0.9999683350324631,0.9972749948501587
A,5,election2020,5,0.9999866485595703,1.0,0.9998800158500671,1.0,1.0,0.9866311550140381,0.9999833106994629,1.0,0.9997533559799194,0.9984704984558953,0.9999733328819275,0.9965919554233551
A,6,ukr_rus_suspended,6,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.999976634979248,1.0,0.9999966621398926,0.9999970263904996,0.9999999900658926,0.9999910990397135
A,7,twibot20,7,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999866485595703,0.9999985098838806,0.9999999914850507,0.9999933242797852
A,8,cp_hk_twitter,8,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999899864196777,0.9999988807572259,0.9999999925494194,0.9999899864196777
A,9,facebook_page_reference,9,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999933772616,0.9999999933772616,
B,1,ukr_rus_suspended,1,0.9999933242797852,0.9997333288192749,0.9999933242797852,0.9999809265136719,0.9999936819076538,0.9999999403953552,0.9969433546066284,0.9992366433143616,0.9999566674232483,0.9995367990599738,0.9999999403953552,0.9994789063930511
B,2,election2020,2,1.0,1.0,1.0,0.9999809265136719,1.0,0.9999999403953552,1.0,1.0,1.0,0.999997874101003,0.9999999701976776,0.9999972752162388
B,3,ukr_rus_twitter,3,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999933772616,0.999999980131785,1.0
B,4,facebook_page_reference,4,1.0,1.0,0.9999966621398926,1.0,1.0,0.9999999403953552,0.9930166602134705,1.0,1.0,0.9992236958609687,0.9999999850988388,0.9986026644706726
B,5,cp_hk_twitter,5,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999933772616,0.9999999880790711,1.0
B,6,covid_political,6,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999933242797852,1.0,1.0,0.9999992516305711,0.9999999900658926,0.9999977747599283
B,7,covid19_twitter,7,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999933772616,0.9999999914850507,1.0
B,8,midterm,8,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999966621398926,1.0,1.0,0.9999996225039164,0.9999999925494194,0.9999966621398926
B,9,twibot20,9,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999933772616,0.9999999933772616,
C,1,twibot20,1,0.9999866485595703,0.9999933242797852,0.9998666644096375,0.9795479774475098,0.9921578168869019,0.9748114943504333,0.9999799728393555,0.9999933242797852,0.9892666935920715,0.9928448796272278,0.9999799728393555,0.9919529929757118
C,2,midterm,2,0.9999866485595703,1.0,0.9999033212661743,0.9862339496612549,1.0,0.9808907508850098,0.9999799728393555,0.9999033212661743,0.9926000237464905,0.9954997764693366,0.9999416470527649,0.9942306705883571
C,3,covid19_twitter,3,0.9992300271987915,1.0,0.999886691570282,0.993434727191925,1.0,0.982979416847229,0.9998066425323486,0.9999033212661743,0.9931333065032959,0.9964860147900052,0.9998977780342102,0.9947801331679026
C,4,covid_political,4,0.9992333054542542,1.0,0.99986332654953,1.0,1.0,0.9865896105766296,0.9997533559799194,0.9999033212661743,0.9997533559799194,0.9983440306451585,0.9999041706323624,0.9970959186553955
C,5,cp_hk_twitter,5,0.9999866485595703,1.0,0.9998800158500671,1.0,1.0,0.9866588115692139,0.9999099969863892,0.9999033212661743,0.9997566938400269,0.9984550542301602,0.9999386668205261,0.9966005384922028
C,6,facebook_page_reference,6,0.9999866485595703,1.0,0.9998800158500671,1.0,1.0,0.9866311550140381,0.9999733567237854,0.9999033212661743,0.9997533559799194,0.9984586503770616,0.9999183416366577,0.9955392678578695
C,7,ukr_rus_twitter,7,0.9999866485595703,1.0,0.9998800158500671,1.0,1.0,0.9866104125976562,0.999970018863678,1.0,0.999750018119812,0.998466345998976,0.9999409573418754,0.9933052062988281
C,8,election2020,8,0.9999866485595703,1.0,0.9998499751091003,1.0,1.0,0.9864997267723083,0.9999600052833557,1.0,0.9997400045394897,0.9984484844737582,0.9999420791864395,0.9864997267723083
C,9,ukr_rus_suspended,9,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999933772616,0.9999999933772616,
