rung,step,loss,sampled_source
1,250,0.6767762899398804,Ukraine
1,500,0.6769775152206421,Ukraine
1,750,0.673275351524353,Ukraine
1,1000,0.6691300272941589,Ukraine
1,1250,0.6702823638916016,Ukraine
1,1500,0.6676750183105469,Ukraine
1,1750,0.667966365814209,Ukraine
1,2000,0.6687449216842651,Ukraine
1,2250,0.6642221212387085,Ukraine
1,2500,0.6641219854354858,Ukraine
2,250,0.6804697513580322,COVID
2,500,0.6749382019042969,COVID
2,750,0.6729453802108765,COVID
2,1000,0.672353982925415,COVID
2,1250,0.6717422008514404,COVID
2,1500,0.6703194379806519,COVID
2,1750,0.6671206951141357,COVID
2,2000,0.667513370513916,COVID
2,2250,0.6642343997955322,COVID
2,2500,0.6667108535766602,COVID
3,250,0.6872047185897827,Ukraine
3,500,0.6869654655456543,COVID
3,750,0.6816515922546387,Midterm
3,1000,0.6810587644577026,Ukraine
3,1250,0.6795811057090759,COVID
3,1500,0.6764609217643738,Midterm
3,1750,0.6756677627563477,Ukraine
3,2000,0.6783407926559448,COVID
3,2250,0.6713554263114929,Midterm
3,2500,0.6738125085830688,Ukraine
4,250,0.6896350383758545,COVID
4,500,0.6828786730766296,COVID political
4,750,0.6853837370872498,COVID
4,1000,0.6768302321434021,COVID political
4,1250,0.6832942962646484,COVID
4,1500,0.6690471172332764,COVID political
4,1750,0.6821365356445312,COVID
4,2000,0.6642597913742065,COVID political
4,2250,0.6810979843139648,COVID
4,2500,0.662179708480835,COVID political
5,250,0.6931039094924927,Election
5,500,0.6910245418548584,Election
5,750,0.6884283423423767,Election
5,1000,0.6904832720756531,Election
5,1250,0.6868690252304077,Election
5,1500,0.6870440244674683,Election
5,1750,0.6853169202804565,Election
5,2000,0.6805905699729919,Election
5,2250,0.6794779300689697,Election
5,2500,0.6778953075408936,Election
6,250,0.6929295063018799,COVID political
6,500,0.6905635595321655,COVID
6,750,0.691480815410614,Ukraine suspended
6,1000,0.6813693046569824,COVID political
6,1250,0.686941385269165,COVID
6,1500,0.6926064491271973,Ukraine suspended
6,1750,0.6686188578605652,COVID political
6,2000,0.6867016553878784,COVID
6,2250,0.6956346035003662,Ukraine suspended
6,2500,0.6602227091789246,COVID political
7,250,0.6932628154754639,Election
7,500,0.6904616355895996,Midterm
7,750,0.688327968120575,Ukraine
7,1000,0.6931219100952148,Ukraine suspended
7,1250,0.6819038391113281,COVID political
7,1500,0.6871408224105835,COVID
7,1750,0.6818188428878784,TwiBot-20
7,2000,0.6837700605392456,Election
7,2250,0.6780151128768921,Midterm
7,2500,0.6834113597869873,Ukraine
8,250,0.6931166052818298,COVID
8,500,0.6945182681083679,COVID political
8,750,0.6940350532531738,Ukraine suspended
8,1000,0.6749839186668396,Hong Kong
8,1250,0.6882688403129578,COVID
8,1500,0.6819550395011902,COVID political
8,1750,0.6921157836914062,Ukraine suspended
8,2000,0.6690298914909363,Hong Kong
8,2250,0.684198260307312,COVID
8,2500,0.6723698377609253,COVID political
9,250,0.6926342248916626,TwiBot-20
9,500,0.6941773891448975,Election
9,750,0.6888319253921509,Midterm
9,1000,0.6886900663375854,Ukraine
9,1250,0.6751450896263123,Hong Kong
9,1500,0.6938461065292358,Ukraine suspended
9,1750,0.6799542307853699,COVID political
9,2000,0.6875795125961304,COVID
9,2250,0.6788426637649536,Facebook
9,2500,0.67913818359375,TwiBot-20
