training_steps,target,slope_per_source,k1_auc,k4_auc,k4_minus_k1
500,all,0.011765932908950656,0.7100588039351852,0.7463975083333334,0.036338704398148236
500,covid_political,0.026007601234567926,0.8148899120370371,0.9031184444444446,0.08822853240740747
500,election2020,-0.00041448333333340715,0.979695,0.9781599999999999,-0.001535000000000064
500,facebook_page_reference,0.0013418322916665586,0.6615984687500001,0.661984,0.0003855312499999597
500,ukr_rus_suspended,-0.004225016666666661,0.502329,0.487758,-0.014571
500,twibot20,0.03611973101851851,0.5917816388888889,0.7009670972222223,0.10918545833333337
750,all,0.011499324374999976,0.7066707178240741,0.7421315157407408,0.035460797916666675
750,covid_political,0.02558047083333327,0.8223202870370371,0.9101949259259259,0.0878746388888888
750,election2020,0.00044991666666665235,0.978817,0.9796880000000001,0.0008710000000000662
750,facebook_page_reference,0.006244291666666685,0.66783296875,0.6842778749999999,0.016444906249999947
750,ukr_rus_suspended,0.0011509666666666603,0.4948055,0.498632,0.0038265000000000104
750,twibot20,0.024070976041666598,0.5695778333333333,0.6378647777777777,0.06828694444444439
1000,all,0.013254482060185178,0.7060827113425926,0.7475084796296296,0.041425768287037035
1000,covid_political,0.030948587037036988,0.824479824074074,0.9209953148148149,0.09651549074074084
1000,election2020,0.00022569999999991295,0.9773045,0.9776259999999999,0.00032149999999986356
1000,facebook_page_reference,0.005305717708333303,0.6650704999999999,0.6859212499999999,0.02085075000000003
1000,ukr_rus_suspended,0.0035032166666666875,0.491223,0.500534,0.009311000000000014
1000,twibot20,0.02628918888888887,0.5723357326388889,0.6524658333333334,0.08013010069444448
