scope,target,mixture_size,n,roc_auc,accuracy,f1
macro,all,1,20,0.7100588039351852,0.6716583333333334,0.6552661725865856
macro,all,2,30,0.7289958966049382,0.7012555555555555,0.6831752437069398
macro,all,3,20,0.7376391125,0.707825,0.6908365629464149
macro,all,4,5,0.7463975083333334,0.7120166666666666,0.690499428101401
target,covid_political,1,4,0.8148899120370371,0.69075,0.5883548163621422
target,covid_political,2,6,0.8950962932098766,0.8293055555555555,0.7242933483124978
target,covid_political,3,4,0.8904867083333334,0.8240625,0.7147294442409436
target,covid_political,4,1,0.9031184444444446,0.83025,0.7193054981397271
target,election2020,1,4,0.979695,0.97675,0.9770784939992256
target,election2020,2,6,0.9789933333333333,0.9778333333333333,0.9781002619340898
target,election2020,3,4,0.9794535,0.98125,0.981414267384321
target,election2020,4,1,0.9781599999999999,0.973,0.9734513274336283
target,facebook_page_reference,1,4,0.6615984687500001,0.6153125,0.6189522513505137
target,facebook_page_reference,2,6,0.6539660833333333,0.612375,0.6128634152846831
target,facebook_page_reference,3,4,0.6662278125,0.6175625,0.6179928349241809
target,facebook_page_reference,4,1,0.661984,0.61025,0.613822145157295
target,ukr_rus_suspended,1,4,0.502329,0.5055000000000001,0.5106120492078055
target,ukr_rus_suspended,2,6,0.4925866666666667,0.4955,0.4959700790914102
target,ukr_rus_suspended,3,4,0.49404950000000003,0.4965,0.4998971528512388
target,ukr_rus_suspended,4,1,0.487758,0.495,0.48938321536905965
target,twibot20,1,4,0.5917816388888889,0.5699791666666667,0.5813332520132408
target,twibot20,2,6,0.6243371064814814,0.5912638888888889,0.6046491139120183
target,twibot20,3,4,0.6579780416666667,0.61975,0.6401491153313904
target,twibot20,4,1,0.7009670972222223,0.6515833333333333,0.6565349544072948
