from_step,to_step,scope,target,n,mean_auc_delta,median_auc_delta,mean_abs_auc_delta,median_abs_auc_delta,max_abs_auc_delta,fraction_abs_le_0_005,fraction_abs_le_0_01
500,750,all,all,85,0.0009217165577342012,0.0007599999999999829,0.01927538867102396,0.011614000000000013,0.08817194444444443,0.3411764705882353,0.4470588235294118
500,750,heldout,all,75,-0.0007033378395061765,-0.0005059999999997844,0.01905938388888888,0.011207013888888895,0.08817194444444443,0.37333333333333335,0.4666666666666667
500,750,heldout_target,covid_political,15,0.010425054320987608,0.007076481481481323,0.03067784444444443,0.02884272222222206,0.08497912962962972,0.13333333333333333,0.26666666666666666
500,750,heldout_target,election2020,15,9.266666666668903e-05,-0.0005059999999997844,0.0014238666666666732,0.0010260000000000824,0.003822000000000103,1.0,1.0
500,750,heldout_target,facebook_page_reference,15,0.01600639166666668,0.015814375000000047,0.017601558333333323,0.015814375000000047,0.0505088749999999,0.4,0.4666666666666667
500,750,heldout_target,ukr_rus_suspended,15,-0.0012929333333333497,-0.0040540000000000576,0.010024133333333326,0.010873999999999995,0.02014400000000005,0.26666666666666666,0.4666666666666667
500,750,heldout_target,twibot20,15,-0.02874786851851851,-0.02561887499999993,0.03556951666666665,0.029837652777777834,0.08817194444444443,0.06666666666666667,0.13333333333333333
750,1000,all,all,85,-0.003720048856209144,-0.0005070277777776688,0.014923511928104576,0.008206000000000047,0.12045122222222204,0.4235294117647059,0.5882352941176471
750,1000,heldout,all,75,-0.0037672870987654297,-0.00042399999999997995,0.015598479814814818,0.007496986111111048,0.12045122222222204,0.44,0.6133333333333333
750,1000,heldout_target,covid_political,15,-0.002517049382716056,-0.002929407407407325,0.030639703703703693,0.010800388888889012,0.12045122222222204,0.3333333333333333,0.4666666666666667
750,1000,heldout_target,election2020,15,-0.0004126666666666834,0.0001100000000000545,0.0012289333333333596,0.0009400000000001629,0.0046720000000001205,1.0,1.0
750,1000,heldout_target,facebook_page_reference,15,0.005037499999999999,0.0016433750000000025,0.015707149999999996,0.013460000000000139,0.0474325000000001,0.13333333333333333,0.4
750,1000,heldout_target,ukr_rus_suspended,15,-0.0027501333333333007,0.0014680000000000248,0.007078133333333344,0.006558000000000064,0.017265999999999948,0.4666666666666667,0.8
750,1000,heldout_target,twibot20,15,-0.018194086111111108,-0.007496986111111048,0.0233384787037037,0.014250555555555544,0.09629516666666671,0.26666666666666666,0.4
