training_graph,evaluation_graph,endpoint,training_steps,training_seed,eval_episodes,roc_auc,accuracy,f1
covid_political,covid_political,target_only,1000,0,500,0.932875425925926,0.8823333333333333,0.7869643934821967
covid_political,election2020,heldout,1000,0,500,0.9777180000000001,0.981,0.981169474727453
covid_political,facebook_page_reference,heldout,1000,0,500,0.6635074999999999,0.61475,0.619787811497656
covid_political,ukr_rus_suspended,heldout,1000,0,500,0.501974,0.501,0.512218963831867
covid_political,twibot20,heldout,1000,0,500,0.5138569861111111,0.5144166666666666,0.4955415115574409
election2020,covid_political,heldout,1000,0,500,0.9368111296296295,0.8880833333333333,0.7994025392083645
election2020,election2020,target_only,1000,0,500,0.981948,0.975,0.9753694581280788
election2020,facebook_page_reference,heldout,1000,0,500,0.65992075,0.613,0.6131934032983508
election2020,ukr_rus_suspended,heldout,1000,0,500,0.504854,0.509,0.4880083420229406
election2020,twibot20,heldout,1000,0,500,0.6339258472222222,0.5955,0.5796674748874264
facebook_page_reference,covid_political,heldout,1000,0,500,0.6359543333333333,0.4895833333333333,0.4308149800204442
facebook_page_reference,election2020,heldout,1000,0,500,0.975556,0.97,0.9705304518664047
facebook_page_reference,facebook_page_reference,target_only,1000,0,500,0.7240584999999999,0.65575,0.6582278481012658
facebook_page_reference,ukr_rus_suspended,heldout,1000,0,500,0.485798,0.491,0.49554013875123887
facebook_page_reference,twibot20,heldout,1000,0,500,0.5119561944444444,0.5056666666666667,0.5142482803799542
ukr_rus_suspended,covid_political,heldout,1000,0,500,0.7920438888888889,0.6205,0.528961522548614
ukr_rus_suspended,election2020,heldout,1000,0,500,0.9754159999999998,0.952,0.9535783365570599
ukr_rus_suspended,facebook_page_reference,heldout,1000,0,500,0.59388175,0.568,0.5697211155378487
ukr_rus_suspended,ukr_rus_suspended,target_only,1000,0,500,0.46653600000000006,0.463,0.4821600771456123
ukr_rus_suspended,twibot20,heldout,1000,0,500,0.6296039027777778,0.5936666666666667,0.6356299506800179
twibot20,covid_political,heldout,1000,0,500,0.9331099444444443,0.7885,0.6880530973451328
twibot20,election2020,heldout,1000,0,500,0.9805280000000001,0.979,0.9792284866468842
twibot20,facebook_page_reference,heldout,1000,0,500,0.742972,0.66925,0.6696629213483146
twibot20,ukr_rus_suspended,heldout,1000,0,500,0.472266,0.488,0.508637236084453
twibot20,twibot20,target_only,1000,0,500,0.6276400972222222,0.59075,0.6217943781286099
