model_id,n_eval_cells,mean_abs_auc_delta,max_abs_auc_delta,n_cells_abs_gt_0_01,continue_recommended
labmix500_k1_elec,5,0.027894349999999977,0.12045122222222204,1,True
labmix500_k3_cp-elec-fb,2,0.05259858333333339,0.09629516666666671,1,True
labmix500_k2_elec-fb,3,0.04961162654320994,0.07339979629629645,3,True
labmix500_k1_fb,5,0.017103928703703697,0.07264946296296304,1,True
labmix500_k2_cp-elec,3,0.025107643518518536,0.05319968055555546,2,True
labmix500_k3_elec-fb-bot,2,0.02765205555555561,0.051364111111111166,1,True
labmix500_k2_elec-susp,3,0.029411853395061766,0.0474325000000001,3,True
labmix500_k1_susp,5,0.020073402777777805,0.04468833333333333,4,True
labmix500_k2_fb-bot,3,0.019085135802469122,0.03896140740740739,2,True
labmix500_k3_elec-fb-susp,2,0.020103412037036972,0.03727741666666662,1,True
labmix500_k2_susp-bot,3,0.010561319444444458,0.02658962499999995,1,True
labmix500_k1_bot,5,0.011694188888888856,0.024253250000000004,3,True
labmix500_k2_cp-bot,3,0.010274833333333252,0.021134499999999945,1,True
labmix500_k5_all,5,0.011671395370370341,0.019924875000000064,4,True
labmix500_k3_cp-elec-susp,2,0.013212166666666691,0.01737158333333333,1,True
labmix500_k2_cp-susp,3,0.005480268518518498,0.014685249999999872,1,True
labmix500_k4_cp-elec-fb-susp,1,0.014601055555555686,0.014601055555555686,1,True
labmix500_k1_cp,5,0.0076660990740741175,0.013460000000000139,2,True
labmix500_k4_elec-fb-susp-bot,1,0.010800388888889012,0.010800388888889012,1,True
labmix500_k3_cp-susp-bot,2,0.005842937500000145,0.010745875000000127,1,True
labmix500_k3_elec-susp-bot,2,0.004779342592592495,0.009325999999999834,0,False
labmix500_k3_cp-elec-bot,2,0.006540562499999986,0.009241124999999961,0,False
labmix500_k2_fb-susp,3,0.004226381172839577,0.007931629629629677,0,False
labmix500_k2_cp-fb,3,0.0026016620370369337,0.007496986111111048,0,False
labmix500_k3_cp-fb-bot,2,0.003521000000000052,0.006558000000000064,0,False
labmix500_k2_elec-bot,3,0.004201492283950559,0.006200624999999849,0,False
labmix500_k3_fb-susp-bot,2,0.0027345370370369104,0.0044590740740739765,0,False
labmix500_k4_cp-fb-susp-bot,1,0.0020620000000002303,0.0020620000000002303,0,False
labmix500_k4_cp-elec-fb-bot,1,0.0019020000000000148,0.0019020000000000148,0,False
labmix500_k4_cp-elec-susp-bot,1,0.0016433750000000025,0.0016433750000000025,0,False
labmix500_k3_cp-fb-susp,2,0.0006585138888888231,0.0008099999999999774,0,False
