training_steps,target,added_donor,n_subset_edges,mean_auc_delta,min_auc_delta,max_auc_delta
750,covid_political,facebook_page_reference,7,0.01226285185185183,-0.07454044444444441,0.09801859259259249
750,covid_political,twibot20,7,0.07391733597883592,-0.045687462962963,0.22030709259259262
750,covid_political,ukr_rus_suspended,7,0.028474944444444397,-0.026955759259259304,0.1693554814814815
750,election2020,covid_political,7,-0.0008742857142856529,-0.003097999999999934,0.0008620000000000294
750,election2020,facebook_page_reference,7,-6.571428571425628e-05,-0.0028120000000000367,0.003261999999999987
750,election2020,twibot20,7,0.002339428571428564,-0.0005340000000000344,0.005152000000000045
750,election2020,ukr_rus_suspended,7,0.001189142857142825,-0.0006479999999998709,0.004610000000000003
750,facebook_page_reference,covid_political,7,0.010810071428571393,-0.0059971250000000476,0.05379962500000002
750,facebook_page_reference,election2020,7,-0.012953785714285737,-0.02897012500000007,0.009806625000000069
750,facebook_page_reference,twibot20,7,0.05870175000000003,0.03206449999999994,0.09066775000000005
750,facebook_page_reference,ukr_rus_suspended,7,-0.026373375000000015,-0.06078600000000001,-0.005914874999999986
750,ukr_rus_suspended,covid_political,7,0.00039399999999999754,-0.006830000000000114,0.007259999999999989
750,ukr_rus_suspended,election2020,7,0.0035031428571428553,-0.006285999999999958,0.013433999999999946
750,ukr_rus_suspended,facebook_page_reference,7,-0.0044537142857142675,-0.029314000000000062,0.009132000000000029
750,ukr_rus_suspended,twibot20,7,0.0008768571428571474,-0.019824000000000064,0.017091999999999996
750,twibot20,covid_political,7,0.03163618452380949,-0.03421145833333339,0.07397558333333332
750,twibot20,election2020,7,0.041068944444444436,0.003456944444444443,0.0988661666666667
750,twibot20,facebook_page_reference,7,-0.007790208333333326,-0.04486924999999997,0.06331779166666673
750,twibot20,ukr_rus_suspended,7,0.044728996031746036,-0.01622987500000006,0.11895644444444453
1000,covid_political,election2020,7,0.04787925925925924,-0.008573777777777902,0.20502437037037025
1000,covid_political,facebook_page_reference,7,-0.011441055555555524,-0.095832425925926,0.07798375925925927
1000,covid_political,twibot20,7,0.08547792063492073,0.0029965000000000686,0.2539951481481483
1000,covid_political,ukr_rus_suspended,7,0.032635161375661456,-0.05593648148148145,0.23407331481481486
1000,election2020,covid_political,7,0.0001417142857142054,-0.0037920000000002396,0.0025879999999999237
1000,election2020,facebook_page_reference,7,0.0006060000000000272,-0.003117999999999954,0.0026560000000002137
1000,election2020,twibot20,7,0.002859142857142854,-0.0013220000000000454,0.005716000000000054
1000,election2020,ukr_rus_suspended,7,0.00020885714285712176,-0.003194000000000141,0.0025160000000000737
1000,facebook_page_reference,covid_political,7,0.002582749999999983,-0.03895700000000013,0.03383975000000006
1000,facebook_page_reference,election2020,7,-0.005268464285714226,-0.06488574999999985,0.05196450000000008
1000,facebook_page_reference,twibot20,7,0.058873321428571414,0.022312749999999992,0.13982150000000004
1000,facebook_page_reference,ukr_rus_suspended,7,-0.026116857142857084,-0.051619624999999725,-0.009268749999999937
1000,ukr_rus_suspended,covid_political,7,0.007317714285714284,-0.005215999999999998,0.031084
1000,ukr_rus_suspended,election2020,7,0.005583999999999962,-0.01716000000000001,0.032769999999999966
1000,ukr_rus_suspended,facebook_page_reference,7,-0.006929142857142856,-0.036216000000000026,0.01902799999999999
1000,ukr_rus_suspended,twibot20,7,0.0031291428571428937,-0.017428,0.037112000000000034
1000,twibot20,covid_political,7,0.02260177182539686,-0.09634866666666664,0.08934647222222225
1000,twibot20,election2020,7,0.004002831349206363,-0.03255154166666674,0.03856306944444443
1000,twibot20,facebook_page_reference,7,-0.023055805555555513,-0.11316186111111115,0.03387451388888896
1000,twibot20,ukr_rus_suspended,7,0.06643898214285716,-0.03687348611111119,0.1305751805555555
