added_donor,target,single_source_auc_1000,mean_marginal_auc_delta_1000
covid_political,election2020,0.9777180000000001,0.0001417142857142054
covid_political,facebook_page_reference,0.6635074999999999,0.002582749999999983
covid_political,ukr_rus_suspended,0.501974,0.007317714285714284
covid_political,twibot20,0.5138569861111111,0.02260177182539686
election2020,covid_political,0.9368111296296295,0.04787925925925924
election2020,facebook_page_reference,0.65992075,-0.005268464285714226
election2020,ukr_rus_suspended,0.504854,0.005583999999999962
election2020,twibot20,0.6339258472222222,0.004002831349206363
facebook_page_reference,covid_political,0.6359543333333333,-0.011441055555555524
facebook_page_reference,election2020,0.975556,0.0006060000000000272
facebook_page_reference,ukr_rus_suspended,0.485798,-0.006929142857142856
facebook_page_reference,twibot20,0.5119561944444444,-0.023055805555555513
ukr_rus_suspended,covid_political,0.7920438888888889,0.032635161375661456
ukr_rus_suspended,election2020,0.9754159999999998,0.00020885714285712176
ukr_rus_suspended,facebook_page_reference,0.59388175,-0.026116857142857084
ukr_rus_suspended,twibot20,0.6296039027777778,0.06643898214285716
twibot20,covid_political,0.9331099444444443,0.08547792063492073
twibot20,election2020,0.9805280000000001,0.002859142857142854
twibot20,facebook_page_reference,0.742972,0.058873321428571414
twibot20,ukr_rus_suspended,0.472266,0.0031291428571428937
