training_steps,target,heldout_k4_auc,target_only_auc,all_five_auc,all_five_minus_k4,target_only_minus_k4
500,covid_political,0.9031184444444446,0.8912428703703704,0.8929471851851852,-0.010171259259259324,-0.011875574074074136
500,election2020,0.9781599999999999,0.9760719999999999,0.9779279999999999,-0.00023200000000000998,-0.0020879999999999788
500,facebook_page_reference,0.661984,0.7361363750000001,0.7301493749999999,0.06816537499999986,0.07415237500000005
500,ukr_rus_suspended,0.487758,0.46911400000000003,0.47692999999999997,-0.01082800000000006,-0.018643999999999994
500,twibot20,0.7009670972222223,0.6249132361111112,0.6314402083333334,-0.06952688888888892,-0.07605386111111112
750,covid_political,0.9101949259259259,0.9292712222222222,0.9265288703703703,0.01633394444444447,0.01907629629629637
750,election2020,0.9796880000000001,0.981764,0.981132,0.0014439999999998898,0.0020759999999998557
750,facebook_page_reference,0.6842778749999999,0.715294125,0.7847967499999999,0.10051887500000001,0.03101625000000008
750,ukr_rus_suspended,0.498632,0.48072800000000004,0.48395,-0.014682000000000028,-0.017903999999999975
750,twibot20,0.6378647777777777,0.6411510694444444,0.6133534583333333,-0.0245113194444444,0.0032862916666667186
1000,covid_political,0.9209953148148149,0.932875425925926,0.9164235185185186,-0.004571796296296338,0.011880111111111091
1000,election2020,0.9776259999999999,0.981948,0.980516,0.00289000000000017,0.004322000000000159
1000,facebook_page_reference,0.6859212499999999,0.7240584999999999,0.770792,0.0848707500000001,0.03813725000000001
1000,ukr_rus_suspended,0.500534,0.46653600000000006,0.470244,-0.03029000000000004,-0.03399799999999997
1000,twibot20,0.6524658333333334,0.6276400972222222,0.6332783333333334,-0.019187500000000024,-0.024825736111111163
