added_donor,target,final_core_2500_single_source_auc,mean_marginal_auc_delta_1000
covid_political,election2020,0.7868971562933649,0.0001417142857142054
covid_political,facebook_page_reference,0.6340169071237703,0.002582749999999983
covid_political,ukr_rus_suspended,0.673280835699761,0.007317714285714284
covid_political,twibot20,0.765975071643961,0.02260177182539686
election2020,covid_political,0.8263122817565653,0.04787925925925924
election2020,facebook_page_reference,0.6643096733824048,-0.005268464285714226
election2020,ukr_rus_suspended,0.7196116101239377,0.005583999999999962
election2020,twibot20,0.8014238182155565,0.004002831349206363
facebook_page_reference,covid_political,0.7675268113384758,-0.011441055555555524
facebook_page_reference,election2020,0.8030080091450863,0.0006060000000000272
facebook_page_reference,ukr_rus_suspended,0.731951690587961,-0.006929142857142856
facebook_page_reference,twibot20,0.8024783726852972,-0.023055805555555513
ukr_rus_suspended,covid_political,0.7527419395373699,0.032635161375661456
ukr_rus_suspended,election2020,0.7567333396367186,0.00020885714285712176
ukr_rus_suspended,facebook_page_reference,0.7606395426837878,-0.026116857142857084
ukr_rus_suspended,twibot20,0.7478085034195033,0.06643898214285716
twibot20,covid_political,0.8285687229185726,0.08547792063492073
twibot20,election2020,0.8399578246577032,0.002859142857142854
twibot20,facebook_page_reference,0.8076398403708505,0.058873321428571414
twibot20,ukr_rus_suspended,0.798355902383154,0.0031291428571428937
