target,heldout_k4_auc,target_only_auc,all_five_auc,all_five_minus_k4,target_only_minus_k4
covid_political,0.9031184444444446,0.8912428703703704,0.8929471851851852,-0.010171259259259324,-0.011875574074074136
election2020,0.9781599999999999,0.9760719999999999,0.9779279999999999,-0.00023200000000000998,-0.0020879999999999788
facebook_page_reference,0.661984,0.7361363750000001,0.7301493749999999,0.06816537499999986,0.07415237500000005
ukr_rus_suspended,0.487758,0.46911400000000003,0.47692999999999997,-0.01082800000000006,-0.018643999999999994
twibot20,0.7009670972222223,0.6249132361111112,0.6314402083333334,-0.06952688888888892,-0.07605386111111112
