target,mean_roc_auc,mean_residual_best,mae_best,cells
covid,0.9270408221981585,0.01055124628894024,0.016937531045570196,108
covid_political,0.8274265905030994,-0.004893678010601126,0.01204514695563789,108
cp_hk,0.7170327050095165,-0.009761052384890091,0.022591633096863822,108
election2020,0.8398017204178297,-0.0006983517775793305,0.018054978234202563,108
facebook_page_reference,0.8237959035511674,0.012320640349499777,0.018093524815529734,108
midterm,0.8406277385263963,0.006632053385190927,0.012346024975567573,108
twibot20,0.8893332690025908,0.02159768631098979,0.022160191223082396,108
ukr_rus,0.8668250483825085,0.016178794874440575,0.02282152277401221,108
ukr_rus_suspended,0.8194033180667574,-0.002117005234172628,0.013239545166720776,108
