scope,seed,predictor,cells,mae,bias_observed_minus_prediction,pearson,target_demeaned_pearson,fraction_observed_above_prediction
all,all,best_included,972,0.017587788698576353,0.005534481533535348,0.9262281703245048,0.8814327044257901,0.5401234567901234
all,all,specialist_mean,972,0.04441147555615762,0.04347061431795313,0.8861821254514834,0.7955317661055211,0.9454732510288066
all,all,global_donor_selected,972,0.02421680844079341,0.01769772254060614,0.8663370203638996,0.6669473917315759,0.6460905349794238
all,0,best_included,324,0.017233509488844653,0.0050806600467793745,0.9263741511350442,0.878811803167744,0.5246913580246914
all,0,specialist_mean,324,0.04479564838550167,0.04392274438751257,0.8919231620821477,0.7905871280875968,0.9444444444444444
all,0,global_donor_selected,324,0.02514529515787846,0.018835957698725946,0.8541144515988863,0.6354746253098605,0.6388888888888888
all,1,best_included,324,0.01859708939424824,0.006856430773703248,0.9235463960285742,0.8794852017675014,0.558641975308642
all,1,specialist_mean,324,0.04493393790549347,0.044082967609027544,0.8872544691596755,0.7953485517333968,0.9475308641975309
all,1,global_donor_selected,324,0.0253824858626897,0.019313001534575797,0.8663221982485367,0.6655948534063678,0.6697530864197531
all,2,best_included,324,0.01693276721263617,0.004666353780123421,0.9292184627092757,0.8865869145319187,0.5370370370370371
all,2,specialist_mean,324,0.04350484037747769,0.042406130957319266,0.8797178964092703,0.8007566065419758,0.9444444444444444
all,2,global_donor_selected,324,0.022122644301812076,0.014944208388516676,0.8807856099698392,0.702205443186304,0.6296296296296297
target_in_pair,all,best_included,216,0.01946082307131249,-0.0124015754971315,0.9020097383160574,0.36942403177655986,0.20833333333333334
target_in_pair,all,specialist_mean,216,0.04218655624012585,0.039436244799665544,0.7984263057679616,0.47285576795887446,0.8703703703703703
target_in_pair,all,global_donor_selected,216,0.037715549954154125,0.02922454795567421,0.7788129348965155,0.13425647041687466,0.6203703703703703
target_in_pair,0,best_included,72,0.01974846875796976,-0.012775825729086894,0.904528008416771,0.28017039351655604,0.18055555555555555
target_in_pair,0,specialist_mean,72,0.04247525337117689,0.039505030314698555,0.7979631795380022,0.4040401442595212,0.8611111111111112
target_in_pair,0,global_donor_selected,72,0.04106286279619272,0.03339015085959042,0.7716675956880165,0.12422633512094135,0.625
