block,row,diag_or_added,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter
ladder,1:ukr,ukr_rus_twitter,0.9480,0.9730,0.8740,0.8490,0.8280,0.7710,0.9210,0.7240
ladder,2:ukr+cov,covid19_twitter,0.9450,0.9800,0.8850,0.8430,0.8280,0.7750,0.9250,0.7260
ladder,3:ukr+cov+mid,midterm,0.9410,0.9780,0.9150,0.8300,0.8150,0.7770,0.9270,0.7200
ladder,4:+cov_pol,covid_political,0.9344,0.9753,0.9093,0.9113,0.8297,0.7768,0.9234,0.7235
ladder,5:+elec20,election2020,0.9346,0.9754,0.9086,0.9102,0.9259,0.7693,0.9254,0.7261
ladder,6:+ukr_susp,ukr_rus_suspended,0.9325,0.9744,0.9073,0.9106,0.9241,0.9340,0.9242,0.7239
ladder,7:+twibot20,twibot20,0.9321,0.9748,0.9033,0.9076,0.9198,0.9256,0.9377,0.7267
ladder,8:all8,cp_hk_twitter,0.9340,0.9750,0.9080,0.9060,0.9200,0.9310,0.9370,0.8670
single_source,ukr,ukr_rus_twitter,0.9470,0.9730,0.8811,0.8394,0.8262,0.7894,0.9218,0.7140
single_source,covid,covid19_twitter,0.9264,0.9805,0.8842,0.8498,0.8345,0.7861,0.9258,0.7196
single_source,midterm,midterm,0.7970,0.8790,0.9252,0.8353,0.8047,0.6440,0.8613,0.6256
single_source,cov_pol,covid_political,0.6301,0.6985,0.6878,0.9145,0.7833,0.5510,0.7374,0.5444
single_source,elec20,election2020,0.6018,0.6551,0.6804,0.7872,0.9519,0.5627,0.7096,0.5475
single_source,ukr_susp,ukr_rus_suspended,0.7695,0.8307,0.7247,0.7325,0.7275,0.9640,0.7647,0.6225
single_source,twibot20,twibot20,0.8688,0.9473,0.8600,0.8431,0.8025,0.7115,0.9487,0.6895
single_source,cp_hk,cp_hk_twitter,0.6808,0.7579,0.7629,0.6827,0.6412,0.6025,0.7378,0.9055
