rung,train_graph,sampling,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter
1,ukr,within_balanced,0.948,0.973,0.874,0.849,0.828,0.771,0.921,0.724
2,ukr+cov,within_balanced,0.945,0.980,0.885,0.843,0.828,0.775,0.925,0.726
3,ukr+cov+mid,within_balanced,0.941,0.978,0.915,0.830,0.815,0.777,0.927,0.720
4,all8,within_balanced,0.934,0.975,0.908,0.906,0.920,0.931,0.937,0.867
2,ukr+cov,within_proportional,0.943,0.980,0.884,0.846,0.834,0.782,0.928,0.724
