source,target,historical_auc,final_core_accuracy
ukr_rus_twitter,ukr_rus_twitter,0.947028,0.44064127604166664
ukr_rus_twitter,covid19_twitter,0.973043,0.5557020399305556
ukr_rus_twitter,midterm,0.881146,0.214453125
ukr_rus_twitter,covid_political,0.839448,0.1404893663194444
ukr_rus_twitter,election2020,0.826196,0.14588758680555555
ukr_rus_twitter,ukr_rus_suspended,0.789419,0.20124240451388883
ukr_rus_twitter,twibot20,0.921784,0.30022786458333334
ukr_rus_twitter,cp_hk_twitter,0.714035,0.1154459635416666
ukr_rus_twitter,facebook_page_reference,0.975288464655,0.3110405815972222
covid19_twitter,ukr_rus_twitter,0.926438,0.38440212673611107
covid19_twitter,covid19_twitter,0.980542,0.5800021701388889
covid19_twitter,midterm,0.884235,0.21364474826388888
covid19_twitter,covid_political,0.849781,0.14339735243055554
covid19_twitter,election2020,0.834535,0.14597981770833332
covid19_twitter,ukr_rus_suspended,0.786113,0.18156467013888888
covid19_twitter,twibot20,0.925756,0.3100423177083333
covid19_twitter,cp_hk_twitter,0.719586,0.11699218749999997
covid19_twitter,facebook_page_reference,0.974159148851,0.2797254774305555
midterm,ukr_rus_twitter,0.796992,0.21655273437499997
midterm,covid19_twitter,0.879003,0.3302354600694444
midterm,midterm,0.925165,0.2551106770833333
midterm,covid_political,0.835314,0.14039713541666662
midterm,election2020,0.80474,0.13754340277777774
midterm,ukr_rus_suspended,0.644002,0.12336697048611112
midterm,twibot20,0.861256,0.22049696180555553
midterm,cp_hk_twitter,0.625576,0.10024414062499999
midterm,facebook_page_reference,0.900582342529,0.1803548177083333
covid_political,ukr_rus_twitter,0.630141,0.10388454861111107
covid_political,covid19_twitter,0.698542,0.14775390624999996
covid_political,midterm,0.687779,0.10240342881944443
covid_political,covid_political,0.914533,0.19198676215277774
covid_political,election2020,0.78333,0.11302625868055549
covid_political,ukr_rus_suspended,0.551013,0.08433159722222217
covid_political,twibot20,0.737411,0.13382703993055547
covid_political,cp_hk_twitter,0.544398,0.06354709201388883
covid_political,facebook_page_reference,0.742021494253,0.09745008680555554
election2020,ukr_rus_twitter,0.601829,0.10657552083333331
election2020,covid19_twitter,0.655124,0.1379069010416666
election2020,midterm,0.680383,0.12379557291666664
election2020,covid_political,0.787224,0.13217773437499997
election2020,election2020,0.951885,0.23433702256944441
election2020,ukr_rus_suspended,0.562676,0.09324001736111105
election2020,twibot20,0.709563,0.1451768663194444
election2020,cp_hk_twitter,0.54752,0.06781141493055554
election2020,facebook_page_reference,0.685769369253,0.0964680989583333
ukr_rus_suspended,ukr_rus_twitter,0.769504,0.2270290798611111
ukr_rus_suspended,covid19_twitter,0.830668,0.2955132378472222
ukr_rus_suspended,midterm,0.724669,0.13374565972222216
ukr_rus_suspended,covid_political,0.732532,0.10739474826388888
ukr_rus_suspended,election2020,0.727516,0.10435112847222221
ukr_rus_suspended,ukr_rus_suspended,0.964013,0.366943359375
ukr_rus_suspended,twibot20,0.76474,0.1571614583333333
ukr_rus_suspended,cp_hk_twitter,0.622528,0.1008680555555555
ukr_rus_suspended,facebook_page_reference,0.855910643966,0.17558593749999996
twibot20,ukr_rus_twitter,0.868762,0.3147352430555555
twibot20,covid19_twitter,0.947328,0.4823350694444444
twibot20,midterm,0.860016,0.20888129340277772
twibot20,covid_political,0.843136,0.14337565104166664
twibot20,election2020,0.802463,0.14838867187499996
twibot20,ukr_rus_suspended,0.711454,0.15379774305555552
twibot20,twibot20,0.948679,0.33267686631944443
twibot20,cp_hk_twitter,0.689476,0.1084038628472222
twibot20,facebook_page_reference,0.954078383621,0.24938151041666665
cp_hk_twitter,ukr_rus_twitter,0.680769,0.18013780381944441
cp_hk_twitter,covid19_twitter,0.757893,0.26639539930555556
cp_hk_twitter,midterm,0.762906,0.1658040364583333
cp_hk_twitter,covid_political,0.682708,0.1076768663194444
cp_hk_twitter,election2020,0.641204,0.10814344618055549
cp_hk_twitter,ukr_rus_suspended,0.602468,0.11167534722222221
cp_hk_twitter,twibot20,0.737786,0.1662651909722222
cp_hk_twitter,cp_hk_twitter,0.905549,0.18136935763888884
cp_hk_twitter,facebook_page_reference,0.804048315948,0.1775553385416666
facebook_page_reference,ukr_rus_twitter,0.786644333924,0.24109157986111107
facebook_page_reference,covid19_twitter,0.870770205635,0.32183159722222227
facebook_page_reference,midterm,0.809209662308,0.14312608506944438
facebook_page_reference,covid_political,0.804823169875,0.11546766493055549
facebook_page_reference,election2020,0.775042625287,0.1209581163194444
facebook_page_reference,ukr_rus_suspended,0.65185645977,0.12096896701388887
facebook_page_reference,twibot20,0.835157832631,0.18751085069444443
facebook_page_reference,cp_hk_twitter,0.626638900431,0.08014322916666664
facebook_page_reference,facebook_page_reference,0.999471871408,0.2679524739583333
