source,historical_mean_foreign_auc,final_core_mean_foreign_accuracy
covid19_twitter,0.862575393606375,0.2219685872395833
covid_political,0.671829436781625,0.10577799479166662
cp_hk_twitter,0.7087227894935,0.1604566786024305
election2020,0.653761046156625,0.11289401584201386
facebook_page_reference,0.7700178987326249,0.1663872612847222
midterm,0.793433167816125,0.18114895290798608
twibot20,0.834589172952625,0.22616238064236108
ukr_rus_suspended,0.75350845549575,0.16270616319444442
ukr_rus_twitter,0.865044933081875,0.2480611165364583
