rung,n_sources,train_graph,added,sampling,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter
1,1,ukr,ukr_rus_twitter,within_balanced,0.9480,0.9730,0.8740,0.8490,0.8280,0.7710,0.9210,0.7240
2,2,ukr+cov,covid19_twitter,within_balanced,0.9450,0.9800,0.8850,0.8430,0.8280,0.7750,0.9250,0.7260
3,3,ukr+cov+mid,midterm,within_balanced,0.9410,0.9780,0.9150,0.8300,0.8150,0.7770,0.9270,0.7200
4,4,+cov_pol,covid_political,within_balanced,0.9344,0.9753,0.9093,0.9113,0.8297,0.7768,0.9234,0.7235
5,5,+elec20,election2020,within_balanced,0.9346,0.9754,0.9086,0.9102,0.9259,0.7693,0.9254,0.7261
6,6,+ukr_susp,ukr_rus_suspended,within_balanced,0.9325,0.9744,0.9073,0.9106,0.9241,0.9340,0.9242,0.7239
7,7,+twibot20,twibot20,within_balanced,0.9321,0.9748,0.9033,0.9076,0.9198,0.9256,0.9377,0.7267
8,8,all8,cp_hk_twitter,within_balanced,0.9340,0.9750,0.9080,0.9060,0.9200,0.9310,0.9370,0.8670
