seed,phase,comparison,baseline,target,delta_auc_pp
1,replication,selected_vs_facebook_singleton,singleton_facebook,twibot20,7.621035714285707
1,replication,selected_vs_facebook_singleton,singleton_facebook,ukr_rus_suspended,6.036510204081635
1,replication,selected_vs_weight_one,kd_w100_selected,covid19_twitter,0.08018367346942501
1,replication,selected_vs_weight_one,kd_w100_selected,covid_political,0.5982551020408011
1,replication,selected_vs_weight_one,kd_w100_selected,cp_hk_twitter,0.38512244897958015
1,replication,selected_vs_weight_one,kd_w100_selected,midterm,0.2350714285714428
1,replication,selected_vs_weight_one,kd_w100_selected,twibot20,-0.011586734693880274
1,replication,selected_vs_weight_one,kd_w100_selected,ukr_rus_suspended,0.344969387755123
1,replication,fixed_vs_stronger_singleton,singleton_ukraine,covid19_twitter,0.23971428571429865
1,replication,fixed_vs_stronger_singleton,singleton_ukraine,covid_political,1.0368163265305874
1,replication,fixed_vs_stronger_singleton,singleton_ukraine,cp_hk_twitter,0.3021326530612378
1,replication,fixed_vs_stronger_singleton,singleton_ukraine,midterm,0.2826530612245026
1,replication,fixed_vs_stronger_singleton,singleton_ukraine,twibot20,0.10122959183671565
1,replication,fixed_vs_stronger_singleton,singleton_ukraine,ukr_rus_suspended,0.37495918367348446
1,replication,fixed_vs_ukraine_singleton,singleton_ukraine,covid19_twitter,0.23971428571429865
1,replication,fixed_vs_ukraine_singleton,singleton_ukraine,covid_political,1.0368163265305874
1,replication,fixed_vs_ukraine_singleton,singleton_ukraine,cp_hk_twitter,0.3021326530612378
1,replication,fixed_vs_ukraine_singleton,singleton_ukraine,midterm,0.2826530612245026
1,replication,fixed_vs_ukraine_singleton,singleton_ukraine,twibot20,0.10122959183671565
1,replication,fixed_vs_ukraine_singleton,singleton_ukraine,ukr_rus_suspended,0.37495918367348446
1,replication,fixed_vs_facebook_singleton,singleton_facebook,covid19_twitter,4.347377551020404
1,replication,fixed_vs_facebook_singleton,singleton_facebook,covid_political,8.59768367346938
1,replication,fixed_vs_facebook_singleton,singleton_facebook,cp_hk_twitter,9.697693877551018
1,replication,fixed_vs_facebook_singleton,singleton_facebook,midterm,10.174877551020412
1,replication,fixed_vs_facebook_singleton,singleton_facebook,twibot20,7.621035714285707
1,replication,fixed_vs_facebook_singleton,singleton_facebook,ukr_rus_suspended,6.036510204081635
1,replication,fixed_vs_weight_one,kd_w100_fixed,covid19_twitter,0.08018367346942501
1,replication,fixed_vs_weight_one,kd_w100_fixed,covid_political,0.5982551020408011
1,replication,fixed_vs_weight_one,kd_w100_fixed,cp_hk_twitter,0.38512244897958015
