seed,phase,arm,available_targets,expected_targets,complete,mean_transfer_auc_pct
0,development,kd_w010_fixed,6,6,True,95.69346853741497
0,development,kd_w010_selected,6,6,True,95.97971343537415
0,development,kd_w100_fixed,6,6,True,95.53270153061226
0,development,kd_w100_selected,6,6,True,95.70925510204081
0,development,singleton_facebook,6,6,True,88.01231887755101
0,development,singleton_ukraine,6,6,True,95.76420238095238
1,replication,kd_w010_fixed,6,6,True,96.043375
1,replication,kd_w010_selected,6,6,True,96.043375
1,replication,kd_w100_fixed,6,6,True,95.77137244897959
1,replication,kd_w100_selected,6,6,True,95.77137244897959
1,replication,singleton_facebook,6,6,True,88.2975119047619
1,replication,singleton_ukraine,6,6,True,95.65379081632653
2,replication,kd_w010_fixed,6,6,True,95.82398809523808
2,replication,kd_w010_selected,6,6,True,95.69353996598639
2,replication,kd_w100_fixed,6,6,True,95.70731462585033
2,replication,kd_w100_selected,6,6,True,95.67015051020408
2,replication,singleton_facebook,6,6,True,87.73448469387755
2,replication,singleton_ukraine,6,6,True,95.91113605442177
