source,group,k,model,task,dataset,shots,split,roc_auc,accuracy,f1,spearman,rmse,mae,r2,mse,run
mtr,single,1,CL,classification,election2020,10,test,0.664866,0.639,0.6429277942631059,,,,,,eval_CL_to_election2020_pl_10shot_14_07_2026_11_54_25
mtr,single,1,CL,classification,twibot20,10,test,0.6106375138888889,0.5836666666666667,0.5588131402331332,,,,,,eval_CL_to_twibot20_pl_10shot_14_07_2026_11_53_44
mtp,pair,2,CLFP,classification,election2020,10,test,0.561172,0.557,0.5565565565565566,,,,,,eval_CLFP_to_election2020_pl_10shot_14_07_2026_11_54_24
mtp,pair,2,CLFP,classification,twibot20,10,test,0.6401969861111111,0.6061666666666666,0.5560773999624272,,,,,,eval_CLFP_to_twibot20_pl_10shot_14_07_2026_11_53_16
mtr,single,1,FP,classification,election2020,10,test,0.495312,0.5,0.6666666666666666,,,,,,eval_FP_to_election2020_pl_10shot_14_07_2026_11_54_43
mtr,single,1,FP,classification,twibot20,10,test,0.4895432777777778,0.5011666666666666,0.6563325295671145,,,,,,eval_FP_to_twibot20_pl_10shot_14_07_2026_11_53_53
mtr,triple,3,MIX,classification,election2020,10,test,0.98051,0.968,0.9682539682539684,,,,,,eval_MIX_to_election2020_pl_10shot_14_07_2026_11_54_59
mtr,triple,3,MIX,classification,twibot20,10,test,0.6097460277777778,0.5839166666666666,0.5933707956673996,,,,,,eval_MIX_to_twibot20_pl_10shot_14_07_2026_11_53_53
mtr,single,1,NM,classification,election2020,10,test,0.98038,0.964,0.9642147117296224,,,,,,eval_NM_to_election2020_pl_10shot_14_07_2026_11_54_25
mtr,single,1,NM,classification,twibot20,10,test,0.6398302777777778,0.5988333333333333,0.6107697283311773,,,,,,eval_NM_to_twibot20_pl_10shot_14_07_2026_11_53_16
mtp,pair,2,NMCL,classification,election2020,10,test,0.978152,0.959,0.9594460929772504,,,,,,eval_NMCL_to_election2020_pl_10shot_14_07_2026_11_53_53
mtp,pair,2,NMCL,classification,twibot20,10,test,0.6223992916666667,0.5881666666666666,0.5858890564772917,,,,,,eval_NMCL_to_twibot20_pl_10shot_14_07_2026_11_53_16
mtp,pair,2,NMFP,classification,election2020,10,test,0.98161,0.965,0.9655172413793104,,,,,,eval_NMFP_to_election2020_pl_10shot_14_07_2026_11_54_11
mtp,pair,2,NMFP,classification,twibot20,10,test,0.6233447777777777,0.5893333333333334,0.5782988190997775,,,,,,eval_NMFP_to_twibot20_pl_10shot_14_07_2026_11_53_16
mtr,single,1,CL,regression,covid19_twitter,10,test,,,,-0.0885545797511563,7.505862932603892,7.415299415588379,-44.67955780029297,56.33797836303711,eval_CL_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_21_19
mtr,single,1,CL,regression,covid19_twitter,10,test,,,,-0.1685498567125844,5.59294011737066,5.1996870040893555,-6.770088195800781,31.28097915649414,eval_CL_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_21_19
mtr,single,1,CL,regression,covid19_twitter,10,test,,,,-0.2157195553808251,8.245818494488159,7.929580688476563,-13.193229675292969,67.99352264404297,eval_CL_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_21_19
mtr,single,1,CL,regression,midterm,10,test,,,,-0.0416512411360813,7.531098803510178,7.412425041198731,-32.61121368408203,56.71744918823242,eval_CL_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_30
mtr,single,1,CL,regression,midterm,10,test,,,,-0.2087704147219167,6.433892285404345,6.0500006675720215,-8.122678756713867,41.39496994018555,eval_CL_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_28
mtr,single,1,CL,regression,midterm,10,test,,,,-0.2189998601886188,9.680657708389042,9.473175048828123,-24.27098846435547,93.7151336669922,eval_CL_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_30
mtr,single,1,CL,regression,twibot20,10,test,,,,-0.0757068304523132,7.846535237566642,7.753562927246094,-46.80099868774414,61.568115234375,eval_CL_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_27
mtr,single,1,CL,regression,twibot20,10,test,,,,-0.0659013481817572,8.385390483428324,7.81448221206665,-6.657500743865967,70.31477355957031,eval_CL_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_27
mtr,single,1,CL,regression,twibot20,10,test,,,,-0.0581688106794601,8.52563604851499,8.169377326965332,-11.71374225616455,72.68647003173828,eval_CL_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_27
mtr,single,1,CL,regression,ukr_rus_twitter,10,test,,,,-0.0633617626405206,7.44838424673183,7.31660795211792,-29.21529960632324,55.47842788696289,eval_CL_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_05_21
