setting,task,order,rung,target,sources,n_sources,total_updates,log_n_sources,log_total_updates,target_in_sources,observed_auc,constituent_scores,best,second_best,mean,median,mean_rest,score_std,score_range,profile_diversity,trajectory
fixed_compute_classification,classification,A,2,covid_political,"ukr_rus,covid",2,2500,0.6931471805599453,7.824046010856292,0,0.9365361531575521,0.907470402778;0.904609,0.9074704027777778,0.904609,0.9060397013888889,0.9060397013888889,0.904609,0.0014307013888888997,0.0028614027777777995,0.014613060867100215,covid_political|A
fixed_compute_classification,classification,A,3,covid_political,"ukr_rus,covid,midterm",3,2500,1.0986122886681098,7.824046010856292,0,0.926898815013744,0.907470402778;0.904609;0.820504555556,0.9074704027777778,0.904609,0.8775279861111112,0.904609,0.8625567777777778,0.04033857236531277,0.08696584722222211,0.04671000970640866,covid_political|A
fixed_compute_classification,classification,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",4,2500,1.3862943611198906,7.824046010856292,1,0.9250354531370565,0.921145208333;0.907470402778;0.904609;0.820504555556,0.9211452083333334,0.9074704027777778,0.8884322916666667,0.9060397013888889,0.8775279861111112,0.039712868875220284,0.10064065277777767,0.04763063936357864,covid_political|A
fixed_compute_classification,classification,A,5,covid_political,"ukr_rus,covid,midterm,covid_political,election2020",5,2500,1.6094379124341003,7.824046010856292,1,0.9310098341953608,0.921145208333;0.907470402778;0.904609;0.879962277778;0.820504555556,0.9211452083333334,0.9074704027777778,0.8867382888888888,0.904609,0.8781365590277779,0.035681481822996464,0.10064065277777767,0.04493088555548444,covid_political|A
fixed_compute_classification,classification,A,6,covid_political,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",6,2500,1.791759469228055,7.824046010856292,1,0.9273994351610725,0.921145208333;0.907470402778;0.904609;0.879962277778;0.820504555556;0.731993013889,0.9211452083333334,0.9074704027777778,0.8609474097222223,0.8922856388888889,0.8489078500000001,0.06623307855735953,0.18915219444444442,0.062195798538268655,covid_political|A
fixed_compute_classification,classification,A,7,covid_political,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",7,2500,1.9459101490553132,7.824046010856292,1,0.9263676772882908,0.921145208333;0.907470402778;0.904609;0.889513763889;0.879962277778;0.820504555556;0.731993013889,0.9211452083333334,0.9074704027777778,0.8650283174603175,0.8895137638888889,0.8556755023148149,0.06212933986648874,0.18915219444444442,0.05855409449839891,covid_political|A
fixed_compute_classification,classification,A,8,covid_political,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",8,2500,2.0794415416798357,7.824046010856292,1,0.9253428894796488,0.921145208333;0.907470402778;0.904609;0.889513763889;0.879962277778;0.820504555556;0.731993013889;0.721683125,0.9211452083333334,0.9074704027777778,0.8471101684027778,0.8847380208333333,0.8365337341269843,0.07499978981805504,0.19946208333333337,0.07271680283038202,covid_political|A
fixed_compute_classification,classification,A,9,covid_political,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",9,2500,2.1972245773362196,7.824046010856292,1,0.9268093344606,0.921145208333;0.907470402778;0.904609;0.889513763889;0.879962277778;0.820504555556;0.731993013889;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.8284339302742469,0.8799622777777778,0.8168450205168611,0.08826316865402387,0.24212118308733332,0.07894124754958988,covid_political|A
fixed_compute_classification,classification,B,2,covid_political,"ukr_rus_suspended,election2020",2,2500,0.6931471805599453,7.824046010856292,0,0.8876600854190779,0.879962277778;0.731993013889,0.8799622777777778,0.7319930138888889,0.8059776458333334,0.8059776458333334,0.7319930138888889,0.07398463194444443,0.14796926388888887,0.09705649806229867,covid_political|B
fixed_compute_classification,classification,B,3,covid_political,"ukr_rus_suspended,election2020,ukr_rus",3,2500,1.0986122886681098,7.824046010856292,0,0.9270876660759066,0.904609;0.879962277778;0.731993013889,0.904609,0.8799622777777778,0.8388547638888889,0.8799622777777778,0.8059776458333334,0.07622965494203121,0.17261598611111106,0.08682626636941489,covid_political|B
fixed_compute_classification,classification,B,4,covid_political,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",4,2500,1.3862943611198906,7.824046010856292,0,0.931131621937693,0.904609;0.879962277778;0.731993013889;0.679024025246,0.904609,0.8799622777777778,0.7988970792281667,0.8059776458333334,0.7636597723042223,0.09564554307322953,0.22558497475399997,0.09059649885672967,covid_political|B
fixed_compute_classification,classification,B,5,covid_political,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",5,2500,1.6094379124341003,7.824046010856292,0,0.9175713621539835,0.904609;0.879962277778;0.731993013889;0.721683125;0.679024025246,0.904609,0.8799622777777778,0.7834542883825334,0.7319930138888889,0.7531656104781668,0.09095259800701853,0.22558497475399997,0.09465210759966904,covid_political|B
fixed_compute_classification,classification,B,6,covid_political,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",6,2500,1.791759469228055,7.824046010856292,1,0.9263848198784722,0.921145208333;0.904609;0.879962277778;0.731993013889;0.721683125;0.679024025246,0.9211452083333334,0.904609,0.806402775041,0.8059776458333334,0.7834542883825334,0.09760538460090734,0.24212118308733332,0.09314591185115559,covid_political|B
fixed_compute_classification,classification,B,7,covid_political,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",7,2500,1.9459101490553132,7.824046010856292,1,0.9341248877254532,0.921145208333;0.907470402778;0.904609;0.879962277778;0.731993013889;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.8208410075748255,0.8799622777777778,0.8041236407817407,0.09703923660338963,0.24212118308733332,0.08809241153298075,covid_political|B
fixed_compute_classification,classification,B,8,covid_political,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",8,2500,2.0794415416798357,7.824046010856292,1,0.9312390927915221,0.921145208333;0.907470402778;0.904609;0.879962277778;0.820504555556;0.731993013889;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.8207989510724167,0.8502334166666667,0.8064637714637144,0.09077196231074504,0.24212118308733332,0.08229526087784497,covid_political|B
fixed_compute_classification,classification,B,9,covid_political,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",9,2500,2.1972245773362196,7.824046010856292,1,0.9268093344606,0.921145208333;0.907470402778;0.904609;0.889513763889;0.879962277778;0.820504555556;0.731993013889;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.8284339302742469,0.8799622777777778,0.8168450205168611,0.08826316865402387,0.24212118308733332,0.07894124754958988,covid_political|B
fixed_compute_classification,classification,C,2,covid_political,"twibot20,midterm",2,2500,0.6931471805599453,7.824046010856292,0,0.8961635636694639,0.889513763889;0.820504555556,0.8895137638888889,0.8205045555555557,0.8550091597222222,0.8550091597222222,0.8205045555555557,0.03450460416666662,0.06900920833333324,0.06233956713911249,covid_political|C
fixed_compute_classification,classification,C,3,covid_political,"twibot20,midterm,covid",3,2500,1.0986122886681098,7.824046010856292,0,0.935012252242477,0.907470402778;0.889513763889;0.820504555556,0.9074704027777778,0.8895137638888889,0.8724962407407407,0.8895137638888889,0.8550091597222222,0.03748743537367365,0.08696584722222211,0.045617300956551095,covid_political|C
fixed_compute_classification,classification,C,4,covid_political,"twibot20,midterm,covid,covid_political",4,2500,1.3862943611198906,7.824046010856292,1,0.9241435674973476,0.921145208333;0.907470402778;0.889513763889;0.820504555556,0.9211452083333334,0.9074704027777778,0.884658482638889,0.8984920833333334,0.8724962407407407,0.03870066203747332,0.10064065277777767,0.047201944489420146,covid_political|C
fixed_compute_classification,classification,C,5,covid_political,"twibot20,midterm,covid,covid_political,cp_hk",5,2500,1.6094379124341003,7.824046010856292,1,0.9283808955439814,0.921145208333;0.907470402778;0.889513763889;0.820504555556;0.721683125,0.9211452083333334,0.9074704027777778,0.8520634111111113,0.8895137638888889,0.8347929618055556,0.07381021436979292,0.19946208333333337,0.07829912391187467,covid_political|C
fixed_compute_classification,classification,C,6,covid_political,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",6,2500,1.791759469228055,7.824046010856292,1,0.9159868028428818,0.921145208333;0.907470402778;0.889513763889;0.820504555556;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.823223513466926,0.8550091597222222,0.8036391744936445,0.09326657994729076,0.24212118308733332,0.0870470318414102,covid_political|C
fixed_compute_classification,classification,C,7,covid_political,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",7,2500,1.9459101490553132,7.824046010856292,1,0.9217774191020448,0.921145208333;0.907470402778;0.904609;0.889513763889;0.820504555556;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.8348500115430795,0.8895137638888889,0.8204674787447037,0.09092327913922646,0.24212118308733332,0.0812441008517718,covid_political|C
fixed_compute_classification,classification,C,8,covid_political,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus,election2020",8,2500,2.0794415416798357,7.824046010856292,1,0.9257262430073302,0.921145208333;0.907470402778;0.904609;0.889513763889;0.879962277778;0.820504555556;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.8404890448224167,0.8847380208333333,0.8289667357494287,0.08634959888458832,0.24212118308733332,0.07693875247357033,covid_political|C
fixed_compute_classification,classification,C,9,covid_political,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",9,2500,2.1972245773362196,7.824046010856292,1,0.9268093344606,0.921145208333;0.907470402778;0.904609;0.889513763889;0.879962277778;0.820504555556;0.731993013889;0.721683125;0.679024025246,0.9211452083333334,0.9074704027777778,0.8284339302742469,0.8799622777777778,0.8168450205168611,0.08826316865402387,0.24212118308733332,0.07894124754958988,covid_political|C
fixed_compute_classification,classification,A,2,election2020,"ukr_rus,covid",2,2500,0.6931471805599453,7.824046010856292,0,0.98681640625,0.984552;0.982676,0.984552,0.982676,0.983614,0.983614,0.982676,0.0009379999999999944,0.0018759999999999888,0.014613060867100215,election2020|A
fixed_compute_classification,classification,A,3,election2020,"ukr_rus,covid,midterm",3,2500,1.0986122886681098,7.824046010856292,0,0.98431396484375,0.984552;0.982676;0.976084,0.984552,0.982676,0.9811039999999999,0.982676,0.9793799999999999,0.0036313582399243927,0.008468000000000031,0.04671000970640866,election2020|A
fixed_compute_classification,classification,A,4,election2020,"ukr_rus,covid,midterm,covid_political",4,2500,1.3862943611198906,7.824046010856292,0,0.982696533203125,0.984552;0.982676;0.980246;0.976084,0.984552,0.982676,0.9808895,0.9814609999999999,0.9796686666666666,0.0031667179776544824,0.008468000000000031,0.04763063936357864,election2020|A
fixed_compute_classification,classification,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",5,2500,1.6094379124341003,7.824046010856292,1,0.9915771484375,0.984972;0.984552;0.982676;0.980246;0.976084,0.984972,0.984552,0.981706,0.982676,0.9808895,0.0032694297973805864,0.008888000000000007,0.04493088555548444,election2020|A
