task,rung,target,fixed_total_steps,matched40k_total_steps,fixed_exposure_auc,matched40k_auc,fixed_minus_matched40k,log_compute_ratio
nm,1,covid,10000,40000,0.9686388991060024,0.9711098078703704,-0.0024709087643679517,-1.3862943611198906
nm,1,covid_political,10000,40000,0.849269073595147,0.8448359347222225,0.004433138872924514,-1.3862943611198906
nm,1,cp_hk,10000,40000,0.723828675862069,0.7063602985632186,0.017468377298850424,-1.3862943611198906
nm,1,election2020,10000,40000,0.834599335632184,0.8302339057471265,0.0043654298850575035,-1.3862943611198906
nm,1,midterm,10000,40000,0.8770630454980844,0.8699922557950192,0.007070789703065294,-1.3862943611198906
nm,1,twibot20,10000,40000,0.9081055982918264,0.9099036612867178,-0.0017980629948914917,-1.3862943611198906
nm,1,ukr_rus_suspended,10000,40000,0.8147094114942528,0.8232057425287356,-0.008496331034482774,-1.3862943611198906
nm,1,ukr_rus,10000,40000,0.9381256633620688,0.9455077090836528,-0.007382045721583963,-1.3862943611198906
nm,2,covid,20000,40000,0.9781387495689654,0.980046657774585,-0.0019079082056195906,-0.6931471805599453
nm,2,covid_political,20000,40000,0.8541287472701149,0.8474316738186461,0.006697073451468749,-0.6931471805599453
nm,2,cp_hk,20000,40000,0.7177069556034483,0.7173846643678162,0.0003222912356320995,-0.6931471805599453
nm,2,election2020,20000,40000,0.8390638321839082,0.8268513448275864,0.012212487356321855,-0.6931471805599453
nm,2,midterm,20000,40000,0.8855703485153257,0.8841330986270752,0.001437249888250447,-0.6931471805599453
nm,2,twibot20,20000,40000,0.9187527666826312,0.9161999911398468,0.0025527755427843246,-0.6931471805599453
nm,2,ukr_rus_suspended,20000,40000,0.8126481149425285,0.8000634321839081,0.012584682758620458,-0.6931471805599453
nm,2,ukr_rus,20000,40000,0.9393843307790548,0.9431266049648788,-0.003742274185823957,-0.6931471805599453
nm,3,covid,30000,40000,0.9775905853448276,0.9784782560504472,-0.0008876707056196809,-0.2876820724517809
nm,3,covid_political,30000,40000,0.8456067858077906,0.8504164077266924,-0.004809621918901774,-0.2876820724517809
nm,3,cp_hk,30000,40000,0.7081249866379309,0.7122497915229887,-0.004124804885057842,-0.2876820724517809
nm,3,election2020,30000,40000,0.8325442252873562,0.8256378528735632,0.006906372413792994,-0.2876820724517809
nm,3,midterm,30000,40000,0.9113194200989784,0.9127096802362706,-0.0013902601372922652,-0.2876820724517809
nm,3,twibot20,30000,40000,0.9162598501756066,0.9171295515644956,-0.0008697013888889771,-0.2876820724517809
nm,3,ukr_rus_suspended,30000,40000,0.8209096988505746,0.7938895264367817,0.027020172413792953,-0.2876820724517809
nm,3,ukr_rus,30000,40000,0.9367393613186462,0.9389399155172412,-0.002200554198594995,-0.2876820724517809
nm,4,covid,40000,40000,0.9769993130906768,0.976840920019157,0.000158393071519769,0.0
nm,4,covid_political,40000,40000,0.9088761788793104,0.9083534875798212,0.0005226912994892308,0.0
nm,4,cp_hk,40000,40000,0.7187991191091954,0.7153107176724138,0.0034884014367815297,0.0
nm,4,election2020,40000,40000,0.8256297701149425,0.8199114735632183,0.005718296551724289,0.0
nm,4,midterm,40000,40000,0.910622228320562,0.9108899937579824,-0.0002677654374203531,0.0
nm,4,twibot20,40000,40000,0.9170381497605364,0.9163527072477652,0.0006854425127712505,0.0
nm,4,ukr_rus_suspended,40000,40000,0.8069271034482759,0.8166782873563216,-0.009751183908045746,0.0
nm,4,ukr_rus,40000,40000,0.9362348061462326,0.9360493834131544,0.0001854227330781999,0.0
nm,5,covid,50000,40000,0.9770921417784164,0.9761545111590038,0.0009376306194126549,0.22314355131420976
nm,5,covid_political,50000,40000,0.9090303801404854,0.9067995949712644,0.002230785169221039,0.22314355131420976
nm,5,cp_hk,50000,40000,0.7113948649425288,0.7124168926724138,-0.0010220277298850222,0.22314355131420976
nm,5,election2020,50000,40000,0.9289840413793102,0.9253379241379308,0.0036461172413794207,0.22314355131420976
nm,5,midterm,50000,40000,0.9097328298371647,0.9067991943805876,0.0029336354565770995,0.22314355131420976
nm,5,twibot20,50000,40000,0.9181982753831418,0.9173226020114942,0.0008756733716476228,0.22314355131420976
nm,5,ukr_rus_suspended,50000,40000,0.8014711678160918,0.809074135632184,-0.007602967816092154,0.22314355131420976
nm,5,ukr_rus,50000,40000,0.9362404856481482,0.9336371248243932,0.0026033608237550077,0.22314355131420976
nm,6,covid,60000,40000,0.9768127319604089,0.9754197576149424,0.00139297434546648,0.4054651081081644
nm,6,covid_political,60000,40000,0.9081136507183908,0.90652522940613,0.0015884213122607793,0.4054651081081644
nm,6,cp_hk,60000,40000,0.7006717695402299,0.7137720829022989,-0.01310031336206896,0.4054651081081644
nm,6,election2020,60000,40000,0.9270115103448276,0.9222346390804598,0.004776871264367877,0.4054651081081644
nm,6,midterm,60000,40000,0.9103135649106004,0.9089622940613028,0.0013512708492976477,0.4054651081081644
nm,6,twibot20,60000,40000,0.916074172190294,0.9182446615421456,-0.002170489351851601,0.4054651081081644
nm,6,ukr_rus_suspended,60000,40000,0.9492033425287356,0.948558816091954,0.0006445264367815895,0.4054651081081644
nm,6,ukr_rus,60000,40000,0.9360529416507024,0.9331358480204344,0.0029170936302680417,0.4054651081081644
nm,7,covid,70000,40000,0.977192558764368,0.9757576965197956,0.0014348622445723436,0.5596157879354227
nm,7,covid_political,70000,40000,0.907809734578544,0.9055715784482758,0.0022381561302681208,0.5596157879354227
nm,7,cp_hk,70000,40000,0.7190426535919541,0.716914198275862,0.0021284553160920705,0.5596157879354227
nm,7,election2020,70000,40000,0.9233922643678164,0.9201477379310344,0.0032445264367819693,0.5596157879354227
nm,7,midterm,70000,40000,0.909977806529374,0.9057646379948916,0.004213168534482392,0.5596157879354227
nm,7,twibot20,70000,40000,0.936083129661558,0.9340944227809704,0.0019887068805876096,0.5596157879354227
nm,7,ukr_rus_suspended,70000,40000,0.948188712643678,0.9446788735632182,0.0035098390804597646,0.5596157879354227
nm,7,ukr_rus,70000,40000,0.9373450070881226,0.9328238347381866,0.004521172349935987,0.5596157879354227
nm,8,covid,80000,40000,0.9766509277777778,0.9749378347860792,0.0017130929916986393,0.6931471805599453
nm,8,covid_political,80000,40000,0.9090427650223496,0.9031215206577268,0.005921244364622824,0.6931471805599453
nm,8,cp_hk,80000,40000,0.8784721379310345,0.8710099974137931,0.007462140517241367,0.6931471805599453
nm,8,election2020,80000,40000,0.919308004597701,0.9131006781609194,0.006207326436781568,0.6931471805599453
nm,8,midterm,80000,40000,0.9088692462164752,0.907885582056194,0.0009836641602812835,0.6931471805599453
nm,8,twibot20,80000,40000,0.9359342233716476,0.9333026728448276,0.002631550526819959,0.6931471805599453
nm,8,ukr_rus_suspended,80000,40000,0.9499892091954024,0.9429612045977012,0.007028004597701254,0.6931471805599453
nm,8,ukr_rus,80000,40000,0.9356909881385695,0.9324729616698594,0.0032180264687101667,0.6931471805599453
classification,1,covid_political,10000,40000,0.9398366666666668,0.9259742222222224,0.0138624444444444,-1.3862943611198906
classification,2,covid_political,20000,40000,0.939150888888889,0.9308580555555556,0.008292833333333416,-0.6931471805599453
classification,3,covid_political,30000,40000,0.9247415555555556,0.928640375,-0.003898819444444368,-0.2876820724517809
classification,4,covid_political,40000,40000,0.9097040694444444,0.9109949305555556,-0.0012908611111112078,0.0
classification,5,covid_political,50000,40000,0.916449861111111,0.9109009166666666,0.005548944444444426,0.22314355131420976
classification,6,covid_political,60000,40000,0.904645763888889,0.8821471388888888,0.022498625000000105,0.4054651081081644
classification,7,covid_political,70000,40000,0.9170670555555556,0.9289335555555556,-0.011866500000000002,0.5596157879354227
classification,8,covid_political,80000,40000,0.8974852361111111,0.9147064166666666,-0.01722118055555555,0.6931471805599453
classification,1,election2020,10000,40000,0.984434,0.986394,-0.0019599999999999618,-1.3862943611198906
classification,2,election2020,20000,40000,0.979502,0.984216,-0.004713999999999996,-0.6931471805599453
classification,3,election2020,30000,40000,0.985688,0.985774,-8.60000000000305e-05,-0.2876820724517809
classification,4,election2020,40000,40000,0.976948,0.983584,-0.006635999999999975,0.0
classification,5,election2020,50000,40000,0.982552,0.985154,-0.002601999999999993,0.22314355131420976
classification,6,election2020,60000,40000,0.981588,0.98081,0.0007780000000000564,0.4054651081081644
classification,7,election2020,70000,40000,0.978086,0.98304,-0.004954000000000014,0.5596157879354227
classification,8,election2020,80000,40000,0.983344,0.976192,0.007152000000000047,0.6931471805599453
classification,1,twibot20,10000,40000,0.5996371666666667,0.622469125,-0.02283195833333329,-1.3862943611198906
classification,2,twibot20,20000,40000,0.6280235277777778,0.5967944444444445,0.031229083333333296,-0.6931471805599453
classification,3,twibot20,30000,40000,0.6323104444444445,0.5907462916666667,0.04156415277777781,-0.2876820724517809
classification,4,twibot20,40000,40000,0.6012166805555555,0.6206157361111111,-0.019399055555555544,0.0
classification,5,twibot20,50000,40000,0.5954733055555556,0.5952293611111111,0.00024394444444442165,0.22314355131420976
classification,6,twibot20,60000,40000,0.5889944166666666,0.6031777777777778,-0.014183361111111181,0.4054651081081644
classification,7,twibot20,70000,40000,0.619304875,0.6257938333333334,-0.0064889583333334055,0.5596157879354227
classification,8,twibot20,80000,40000,0.567819625,0.5938041111111111,-0.025984486111111038,0.6931471805599453
classification,1,ukr_rus_suspended,10000,40000,0.483672,0.480718,0.002954000000000012,-1.3862943611198906
classification,2,ukr_rus_suspended,20000,40000,0.50444,0.4789859999999999,0.025454000000000088,-0.6931471805599453
classification,3,ukr_rus_suspended,30000,40000,0.498614,0.502724,-0.004109999999999947,-0.2876820724517809
classification,4,ukr_rus_suspended,40000,40000,0.501516,0.4899099999999999,0.01160600000000006,0.0
classification,5,ukr_rus_suspended,50000,40000,0.494848,0.483668,0.011180000000000023,0.22314355131420976
classification,6,ukr_rus_suspended,60000,40000,0.514622,0.483106,0.031516000000000044,0.4054651081081644
classification,7,ukr_rus_suspended,70000,40000,0.4802619999999999,0.481112,-0.0008500000000000729,0.5596157879354227
classification,8,ukr_rus_suspended,80000,40000,0.499484,0.4910259999999999,0.008458000000000077,0.6931471805599453
