setting,model,mae,rmse,bias,cells,pearson
fixed_compute_classification,composition_full,0.02202086328570416,0.02484723848458458,0.004299986771049854,96,0.9933427435611445
fixed_compute_classification,max,0.016337957852854166,0.02244266402490049,0.007720548547831082,96,0.9971627364301177
fixed_compute_classification,max_plus_diversity,0.015031698613515497,0.01858340004845358,0.0012017360977913903,96,0.996059758910192
fixed_compute_classification,max_plus_rest,0.01807032910823828,0.020774031945128196,0.001994063927569819,96,0.995232508186982
fixed_compute_classification,max_plus_size,0.014440080877457934,0.017470003319426382,0.001284609250490015,96,0.9965225581065769
fixed_compute_classification,max_plus_size_rest,0.017690108019959194,0.020248661663796456,0.0017209870446202337,96,0.995433563019656
fixed_compute_classification,max_plus_size_rest_diversity,0.021352154643289,0.02420054054276918,0.004863205725580904,96,0.993704663643274
fixed_compute_classification,max_plus_size_rest_spread,0.018077554654721557,0.020596003452703588,0.0011015304501922468,96,0.9952929007597824
fixed_compute_classification,mean,0.040987160181425175,0.05200516005439113,-0.03576705930675361,96,0.9862520730688842
fixed_compute_classification,second_best,0.019636262173198735,0.030847036389557367,-0.01095945711713303,96,0.9909214251364322
fixed_compute_classification,softmax,0.018513790381350342,0.023424048657186187,0.002114567220242248,96,0.9965415505843969
fixed_compute_nm,composition_full,0.00967201882479207,0.011856143856513585,0.00037981900742147895,96,0.9382821396144856
fixed_compute_nm,max,0.010397720465376101,0.013861028232358958,0.009573371848205125,96,0.9592730599843904
fixed_compute_nm,max_plus_diversity,0.009614608123286019,0.011697121821895971,-0.0005799409597046454,96,0.940127441865233
fixed_compute_nm,max_plus_rest,0.008849608753163436,0.011366679621904897,-0.0014935158007435625,96,0.9447936751576601
fixed_compute_nm,max_plus_size,0.009272163767273975,0.011062496112530046,-0.0007772050241921016,96,0.9466459233105129
fixed_compute_nm,max_plus_size_rest,0.00859401048660594,0.01073350075939385,-0.0011183657936791904,96,0.9502369787714877
fixed_compute_nm,max_plus_size_rest_diversity,0.0093701537912347,0.011426876112714396,-0.0018561882054332068,96,0.9442341664128944
fixed_compute_nm,max_plus_size_rest_spread,0.009382769128113365,0.011341163966575207,-0.0007989293102245223,96,0.943924044753454
fixed_compute_nm,mean,0.05357888152299634,0.06374880265904773,-0.05357888152299634,96,0.40289505494928535
fixed_compute_nm,second_best,0.030485189980321802,0.04576477305894913,-0.0288386420391453,96,0.501693025232337
fixed_compute_nm,softmax,0.012873367081962512,0.01562855666313888,-0.00011690928577981138,96,0.9052653731379945
fixed_exposure_classification,composition_full,0.013093465881065075,0.0181375021494768,0.0023103129902292824,56,0.9961135629638941
fixed_exposure_classification,max,0.02117172197420634,0.029850950831626158,0.01832154538690475,56,0.9936459449089274
fixed_exposure_classification,max_plus_diversity,0.01956077449533262,0.024696293545125658,-0.002272674315654171,56,0.992731535803943
fixed_exposure_classification,max_plus_rest,0.016658382695407516,0.02108526593459174,0.003647586560330563,56,0.9948866741433245
fixed_exposure_classification,max_plus_size,0.019062944098405137,0.02423216177496123,-0.002166648588273643,56,0.9929945728517793
fixed_exposure_classification,max_plus_size_rest,0.015599526121893229,0.019978234293270433,0.002266007533143243,56,0.9953134175887614
fixed_exposure_classification,max_plus_size_rest_diversity,0.016197036088127306,0.020886193978985054,0.003112088160187643,56,0.9948853113280847
fixed_exposure_classification,max_plus_size_rest_spread,0.013023562409157866,0.017659218447561575,0.0016555038377353232,56,0.9962936495185799
fixed_exposure_classification,mean,0.02504297498287509,0.03298630861261181,-0.021936793169524762,56,0.9937792009106008
fixed_exposure_classification,second_best,0.014942077380952387,0.02347471113872279,0.0023784186507936475,56,0.9934416980233632
fixed_exposure_classification,softmax,0.012650233685033386,0.018130257760553686,0.00115194872016024,56,0.9961159620747425
fixed_exposure_nm,composition_full,0.01757526724317312,0.026180779982607517,-0.0045778652933621405,56,0.9313420243317047
fixed_exposure_nm,max,0.016539823242793298,0.021877320639941963,0.004368851164249246,56,0.9833222699244824
fixed_exposure_nm,max_plus_diversity,0.012963406804398897,0.022425150836564985,0.0019838714139075154,56,0.950444749534842
fixed_exposure_nm,max_plus_rest,0.012883812314396089,0.021993487433509293,0.002847818420716311,56,0.9538782753418169
fixed_exposure_nm,max_plus_size,0.013392887379738903,0.021746687378082934,0.0020997538747580735,56,0.9546406180189433
fixed_exposure_nm,max_plus_size_rest,0.013385915080318106,0.022226250327200804,0.002699031660521388,56,0.9529283925824864
fixed_exposure_nm,max_plus_size_rest_diversity,0.018062576270194426,0.025638445532259736,-0.005841492868623831,56,0.935847884052954
fixed_exposure_nm,max_plus_size_rest_spread,0.014605820477270515,0.02383053164327988,0.003357172274123222,56,0.9458415792603929
fixed_exposure_nm,mean,0.11018863688790169,0.1322484139950212,-0.11000944998370996,56,0.47660999803465304
fixed_exposure_nm,second_best,0.08176077439620962,0.10976802124313706,-0.08093352383575077,56,0.5357197233694126
fixed_exposure_nm,softmax,0.019649838065590095,0.025478450994022708,-0.003995308726320035,56,0.971675669344788
