arm,step,mean_classification_auc
all8,0,0.48316257638888893
all8,100,0.5761075625000001
all8,500,0.7604276215277778
all8,1000,0.7636704062499999
all8,2000,0.76007425
all8,10000,0.7529129895833334
all8,40000,0.7509620138888888
covid,0,0.48316257638888893
covid,100,0.5989608229166666
covid,500,0.7552358368055556
covid,1000,0.7575378333333334
covid,2000,0.7614582673611111
covid,10000,0.7608257430555555
covid,40000,0.7572856909722222
ukr,0,0.48316257638888893
ukr,100,0.5777743958333333
ukr,500,0.7430211597222223
ukr,1000,0.7506996180555555
ukr,2000,0.7512818055555556
ukr,10000,0.756649673611111
ukr,40000,0.7530225208333333
