batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,1,61,11407,10,10,0.05263157894736842,True,True
0,1,62,37828,0,0,1.0,False,False
0,1,63,41211,90,90,0.07784431137724551,True,True
0,1,64,54542,20,20,0.05263157894736842,True,True
0,1,65,35705,0,0,1.0,False,False
0,1,66,70419,20,20,0.05263157894736842,True,True
0,1,67,21813,20,20,0.1111111111111111,True,True
0,1,68,728,59,48,0.10309278350515463,True,True
0,1,69,4171,12,12,0.14285714285714285,True,True
0,1,70,64331,20,20,0.05263157894736842,True,True
0,1,71,59516,0,0,1.0,False,False
0,1,72,506,46,50,0.1566265060240964,True,True
0,1,73,28897,10,10,0.17647058823529413,True,True
0,1,74,30688,10,10,0.05263157894736842,True,True
0,1,75,34505,10,9,0.26666666666666666,True,True
0,1,76,35259,10,9,0.46153846153846156,True,True
0,1,77,31487,59,57,0.08411214953271028,True,True
0,1,78,60995,0,0,1.0,False,False
0,1,79,9412,0,0,1.0,False,False
0,2,0,4334,0,0,1.0,False,False
0,2,1,62981,0,0,1.0,False,False
0,2,2,934,68,62,0.31313131313131315,True,True
0,2,3,66842,0,0,1.0,False,False
0,2,4,59978,9,10,0.05555555555555555,True,True
0,2,5,74026,0,0,1.0,False,False
0,2,6,34373,10,10,0.05263157894736842,True,True
0,2,7,42771,0,0,1.0,False,False
0,2,8,10264,0,0,1.0,False,False
0,2,9,75816,0,0,1.0,False,False
0,2,10,39173,40,40,0.05263157894736842,True,True
0,2,11,26796,10,10,0.05263157894736842,True,True
0,2,12,52526,0,0,1.0,False,False
0,2,13,12852,29,27,0.47368421052631576,True,True
0,2,14,16487,94,94,0.09302325581395349,True,True
0,2,15,77104,20,19,0.11428571428571428,True,True
0,2,16,14243,10,10,0.05263157894736842,True,True
0,2,17,34285,0,0,1.0,False,False
0,2,18,3300,10,10,0.05263157894736842,True,True
0,2,19,9914,91,96,0.07471264367816093,True,True
0,2,20,39412,0,0,1.0,False,False
0,2,21,72470,10,10,0.05263157894736842,True,True
0,2,22,60115,0,0,1.0,False,False
0,2,23,4982,14,14,0.2727272727272727,True,True
0,2,24,78223,60,60,0.07142857142857142,True,True
0,2,25,23702,0,0,1.0,False,False
0,2,26,35973,20,19,0.11428571428571428,True,True
0,2,27,3424,50,50,0.28205128205128205,True,True
0,2,28,52148,10,10,0.1111111111111111,True,True
0,2,29,12502,0,0,1.0,False,False
0,2,30,13749,23,24,0.2702702702702703,True,True
0,2,31,67376,20,20,0.08108108108108109,True,True
0,2,32,74180,60,59,0.07207207207207207,True,True
0,2,33,34881,0,0,1.0,False,False
0,2,34,9642,70,71,0.128,True,True
0,2,35,54899,0,0,1.0,False,False
0,2,36,4068,0,0,1.0,False,False
0,2,37,71751,30,30,0.07142857142857142,True,True
0,2,38,7916,30,30,0.05263157894736842,True,True
0,2,39,17250,20,20,0.05263157894736842,True,True
0,2,40,42828,0,0,1.0,False,False
0,2,41,44234,0,0,1.0,False,False
0,2,42,42873,0,0,1.0,False,False
0,2,43,24396,0,0,1.0,False,False
0,2,44,76779,17,17,0.3076923076923077,True,True
0,2,45,8116,20,20,0.05263157894736842,True,True
0,2,46,40729,0,0,1.0,False,False
0,2,47,39247,30,30,0.09090909090909091,True,True
0,2,48,24695,0,0,1.0,False,False
0,2,49,43148,91,90,0.11042944785276074,True,True
0,2,50,57782,30,30,0.07142857142857142,True,True
0,2,51,73347,10,10,0.1111111111111111,True,True
0,2,52,65691,10,9,0.9,True,True
0,2,53,23457,14,14,0.2727272727272727,True,True
0,2,54,69428,0,0,1.0,False,False
0,2,55,71409,0,0,1.0,False,False
0,2,56,11324,23,23,0.15,True,True
0,2,57,78281,0,0,1.0,False,False
0,2,58,23252,29,30,0.07272727272727272,True,True
0,2,59,9995,83,84,0.12080536912751678,True,True
0,2,60,43784,10,10,0.05263157894736842,True,True
0,2,61,11407,10,10,0.05263157894736842,True,True
0,2,62,37828,0,0,1.0,False,False
0,2,63,41211,90,88,0.05952380952380952,True,True
0,2,64,54542,20,20,0.05263157894736842,True,True
0,2,65,35705,0,0,1.0,False,False
0,2,66,70419,20,20,0.08108108108108109,True,True
0,2,67,21813,20,20,0.1111111111111111,True,True
0,2,68,728,59,63,0.12962962962962962,True,True
0,2,69,4171,12,12,0.14285714285714285,True,True
0,2,70,64331,20,20,0.05263157894736842,True,True
0,2,71,59516,0,0,1.0,False,False
0,2,72,506,46,56,0.14606741573033707,True,True
0,2,73,28897,10,10,0.05263157894736842,True,True
0,2,74,30688,10,10,0.05263157894736842,True,True
0,2,75,34505,10,10,0.42857142857142855,True,True
0,2,76,35259,10,9,0.26666666666666666,True,True
0,2,77,31487,59,59,0.07272727272727272,True,True
0,2,78,60995,0,0,1.0,False,False
0,2,79,9412,0,0,1.0,False,False
0,3,0,4334,0,0,1.0,False,False
0,3,1,62981,0,0,1.0,False,False
0,3,2,934,68,71,0.28703703703703703,True,True
0,3,3,66842,0,0,1.0,False,False
0,3,4,59978,9,10,0.05555555555555555,True,True
0,3,5,74026,0,0,1.0,False,False
0,3,6,34373,10,10,0.05263157894736842,True,True
0,3,7,42771,0,0,1.0,False,False
0,3,8,10264,0,0,1.0,False,False
0,3,9,75816,0,0,1.0,False,False
0,3,10,39173,40,40,0.05263157894736842,True,True
0,3,11,26796,10,10,0.05263157894736842,True,True
0,3,12,52526,0,0,1.0,False,False
0,3,13,12852,29,27,0.47368421052631576,True,True
0,3,14,16487,94,92,0.08139534883720931,True,True
0,3,15,77104,20,19,0.21875,True,True
0,3,16,14243,10,10,0.05263157894736842,True,True
0,3,17,34285,0,0,1.0,False,False
0,3,18,3300,10,10,0.05263157894736842,True,True
0,3,19,9914,91,90,0.06470588235294118,True,True
0,3,20,39412,0,0,1.0,False,False
0,3,21,72470,10,10,0.05263157894736842,True,True
0,3,22,60115,0,0,1.0,False,False
0,3,23,4982,14,13,0.22727272727272727,True,True
0,3,24,78223,60,60,0.061946902654867256,True,True
0,3,25,23702,0,0,1.0,False,False
0,3,26,35973,20,20,0.05263157894736842,True,True
0,3,27,3424,50,51,0.27848101265822783,True,True
0,3,28,52148,10,10,0.1111111111111111,True,True
0,3,29,12502,0,0,1.0,False,False
0,3,30,13749,23,23,0.2777777777777778,True,True
0,3,31,67376,20,20,0.05263157894736842,True,True
0,3,32,74180,60,59,0.08181818181818182,True,True
0,3,33,34881,0,0,1.0,False,False
0,3,34,9642,70,69,0.12096774193548387,True,True
0,3,35,54899,0,0,1.0,False,False
0,3,36,4068,0,0,1.0,False,False
0,3,37,71751,30,30,0.05263157894736842,True,True
0,3,38,7916,30,30,0.07142857142857142,True,True
0,3,39,17250,20,20,0.05263157894736842,True,True
0,3,40,42828,0,0,1.0,False,False
0,3,41,44234,0,0,1.0,False,False
0,3,42,42873,0,0,1.0,False,False
0,3,43,24396,0,0,1.0,False,False
0,3,44,76779,17,17,0.3076923076923077,True,True
0,3,45,8116,20,20,0.05263157894736842,True,True
0,3,46,40729,0,0,1.0,False,False
0,3,47,39247,30,30,0.09090909090909091,True,True
0,3,48,24695,0,0,1.0,False,False
0,3,49,43148,91,91,0.12345679012345678,True,True
0,3,50,57782,30,30,0.05263157894736842,True,True
0,3,51,73347,10,10,0.1111111111111111,True,True
0,3,52,65691,10,9,0.9,True,True
0,3,53,23457,14,14,0.21739130434782608,True,True
0,3,54,69428,0,0,1.0,False,False
0,3,55,71409,0,0,1.0,False,False
0,3,56,11324,23,23,0.15,True,True
0,3,57,78281,0,0,1.0,False,False
0,3,58,23252,29,30,0.1346153846153846,True,True
0,3,59,9995,83,83,0.11409395973154363,True,True
0,3,60,43784,10,10,0.05263157894736842,True,True
0,3,61,11407,10,10,0.05263157894736842,True,True
0,3,62,37828,0,0,1.0,False,False
0,3,63,41211,90,89,0.052941176470588235,True,True
0,3,64,54542,20,20,0.05263157894736842,True,True
0,3,65,35705,0,0,1.0,False,False
0,3,66,70419,20,20,0.08108108108108109,True,True
0,3,67,21813,20,20,0.14285714285714285,True,True
0,3,68,728,59,53,0.16666666666666666,True,True
0,3,69,4171,12,12,0.14285714285714285,True,True
0,3,70,64331,20,20,0.05263157894736842,True,True
0,3,71,59516,0,0,1.0,False,False
0,3,72,506,46,51,0.2125,True,True
0,3,73,28897,10,10,0.1111111111111111,True,True
0,3,74,30688,10,10,0.05263157894736842,True,True
0,3,75,34505,10,9,0.35714285714285715,True,True
0,3,76,35259,10,9,0.46153846153846156,True,True
0,3,77,31487,59,60,0.09174311926605505,True,True
0,3,78,60995,0,0,1.0,False,False
0,3,79,9412,0,0,1.0,False,False
0,4,0,4334,0,0,1.0,False,False
0,4,1,62981,0,0,1.0,False,False
0,4,2,934,68,68,0.3877551020408163,True,True
0,4,3,66842,0,0,1.0,False,False
0,4,4,59978,9,10,0.05555555555555555,True,True
0,4,5,74026,0,0,1.0,False,False
0,4,6,34373,10,10,0.05263157894736842,True,True
0,4,7,42771,0,0,1.0,False,False
0,4,8,10264,0,0,1.0,False,False
0,4,9,75816,0,0,1.0,False,False
0,4,10,39173,40,40,0.05263157894736842,True,True
0,4,11,26796,10,10,0.05263157894736842,True,True
0,4,12,52526,0,0,1.0,False,False
0,4,13,12852,29,28,0.5833333333333334,True,True
0,4,14,16487,94,94,0.10588235294117647,True,True
0,4,15,77104,20,19,0.14705882352941177,True,True
0,4,16,14243,10,10,0.05263157894736842,True,True
0,4,17,34285,0,0,1.0,False,False
0,4,18,3300,10,10,0.05263157894736842,True,True
0,4,19,9914,91,94,0.10119047619047619,True,True
0,4,20,39412,0,0,1.0,False,False
0,4,21,72470,10,10,0.05263157894736842,True,True
0,4,22,60115,0,0,1.0,False,False
0,4,23,4982,14,14,0.21739130434782608,True,True
0,4,24,78223,60,60,0.061946902654867256,True,True
0,4,25,23702,0,0,1.0,False,False
0,4,26,35973,20,20,0.05263157894736842,True,True
0,4,27,3424,50,55,0.25,True,True
0,4,28,52148,10,10,0.05263157894736842,True,True
0,4,29,12502,0,0,1.0,False,False
0,4,30,13749,23,24,0.3055555555555556,True,True
0,4,31,67376,20,20,0.17647058823529413,True,True
0,4,32,74180,60,60,0.061946902654867256,True,True
0,4,33,34881,0,0,1.0,False,False
0,4,34,9642,70,68,0.15,True,True
0,4,35,54899,0,0,1.0,False,False
0,4,36,4068,0,0,1.0,False,False
0,4,37,71751,30,30,0.07142857142857142,True,True
0,4,38,7916,30,30,0.05263157894736842,True,True
0,4,39,17250,20,20,0.05263157894736842,True,True
0,4,40,42828,0,0,1.0,False,False
0,4,41,44234,0,0,1.0,False,False
0,4,42,42873,0,0,1.0,False,False
0,4,43,24396,0,0,1.0,False,False
0,4,44,76779,17,17,0.3076923076923077,True,True
0,4,45,8116,20,20,0.05263157894736842,True,True
0,4,46,40729,0,0,1.0,False,False
0,4,47,39247,30,30,0.09090909090909091,True,True
0,4,48,24695,0,0,1.0,False,False
0,4,49,43148,91,91,0.10975609756097561,True,True
0,4,50,57782,30,30,0.05263157894736842,True,True
0,4,51,73347,10,9,0.11764705882352941,True,True
0,4,52,65691,10,9,0.9,True,True
0,4,53,23457,14,14,0.21739130434782608,True,True
0,4,54,69428,0,0,1.0,False,False
0,4,55,71409,0,0,1.0,False,False
0,4,56,11324,23,23,0.1794871794871795,True,True
0,4,57,78281,0,0,1.0,False,False
0,4,58,23252,29,30,0.11320754716981132,True,True
0,4,59,9995,83,84,0.15172413793103448,True,True
0,4,60,43784,10,10,0.05263157894736842,True,True
0,4,61,11407,10,10,0.05263157894736842,True,True
0,4,62,37828,0,0,1.0,False,False
0,4,63,41211,90,89,0.05917159763313609,True,True
0,4,64,54542,20,20,0.05263157894736842,True,True
0,4,65,35705,0,0,1.0,False,False
0,4,66,70419,20,20,0.08108108108108109,True,True
0,4,67,21813,20,20,0.1111111111111111,True,True
0,4,68,728,59,55,0.2127659574468085,True,True
0,4,69,4171,12,12,0.14285714285714285,True,True
0,4,70,64331,20,20,0.05263157894736842,True,True
0,4,71,59516,0,0,1.0,False,False
0,4,72,506,46,58,0.16853932584269662,True,True
