dataset,model,target,transform,shots,n_query,episodes,alpha,features,spearman,rmse,r2,n_pred,n_labeled
covid19_twitter,nm_ladder_ordB_r4,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.12396649268266088,12.783138319755395,-32.702558101505424,6000,23012850
covid19_twitter,nm_ladder_ordB_r5,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.116888101500132,103.16936553177952,-2194.277413466986,6000,23012850
covid19_twitter,nm_ladder_ordB_r6,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.13051725056482572,19.19201483458814,-74.96770927679474,6000,23012850
covid19_twitter,nm_ladder_ordB_r7,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.1393982358054498,21.01434244031797,-90.07926132445228,6000,23012850
covid19_twitter,nm_ss_election2020,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.12462182590582488,43.64268498138384,-391.8355767732652,6000,23012850
covid19_twitter,nm_ladder_ordC_r2,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.12619905692550948,29.774679126805523,-181.84457083463107,6000,23012850
covid19_twitter,nm_ladder_ordC_r3,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.1249148783847534,27.75630512972308,-157.8953528887115,6000,23012850
covid19_twitter,nm_ladder_ordC_r4,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.1057492304690709,193.8124360062839,-7746.314207627787,6000,23012850
covid19_twitter,nm_ladder_ordC_r5,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.11649801907232223,29.584294022603135,-179.51375888951716,6000,23012850
covid19_twitter,nm_ladder_ordC_r6,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.12463923522651496,11.83078735123704,-27.86789960769136,6000,23012850
covid19_twitter,nm_ladder_ordC_r7,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.12280144584456515,170.72537255431692,-6010.516283546719,6000,23012850
covid19_twitter,__features_only__,account_age_days,log1p,10,12,500,1.0,raw_x,0.010535915459730646,1.226228135443348,-0.23970879705568993,6000,23012850
covid19_twitter,ukr_only_nm,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.02824669145522014,7.428084408111108,-44.491555811985975,6000,23012850
covid19_twitter,merged_ukr_rus_covid_nm_wb,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.05534213204573649,72.17473277506443,-4293.845039505789,6000,23012850
covid19_twitter,merged_ukr_rus_covid_midterm_nm_wb,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.04748465060339094,10.348766821564826,-87.29870470049877,6000,23012850
