dataset,model,target,transform,shots,n_query,episodes,alpha,features,spearman,rmse,r2,n_pred,n_labeled
twibot20,nm_ladder_ordB_r6,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.20801488288960066,31.37390737951799,-181.87005352653898,6000,162988
twibot20,nm_ladder_ordB_r7,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.23212484992111956,21.561871651595947,-85.37305581283371,6000,162988
twibot20,nm_ss_election2020,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.13983384131553905,192.11656180815726,-6856.013164580286,6000,162988
twibot20,nm_ladder_ordC_r2,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.12705048606389513,19.569297486765265,-70.14687715912167,6000,162988
twibot20,nm_ladder_ordC_r3,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.12901925950250243,51.30052425990949,-487.93258121520984,6000,162988
twibot20,nm_ladder_ordC_r4,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.15051894994219853,76.59994938524609,-1089.0899535067347,6000,162988
twibot20,nm_ladder_ordC_r5,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.17673716246133522,35.90848873769158,-238.55190393836423,6000,162988
twibot20,nm_ladder_ordC_r6,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.18842866693564891,499.71375632577076,-46391.52194711489,6000,162988
twibot20,nm_ladder_ordC_r7,statuses_count,log1p,10,12,500,1.0,frozen_emb,0.1813574505535988,15.082892196849267,-41.26439200106242,6000,162988
twibot20,__features_only__,account_age_days,log1p,10,12,500,1.0,raw_x,0.03705528068893218,1.202143109261386,-0.1898572513556125,6000,162988
twibot20,ukr_only_nm,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.1144545224557266,13.547425339326402,-150.11099020616481,6000,162988
twibot20,merged_ukr_rus_covid_nm_wb,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.10815386316049623,6.630115230030263,-35.19300741148244,6000,162988
twibot20,merged_ukr_rus_covid_midterm_nm_wb,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.10041097271200954,5.69398824458585,-25.694122634199292,6000,162988
twibot20,nm_ladder_4src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.11431291306269957,33.01278020497134,-896.3187026370716,6000,162988
twibot20,nm_ladder_5src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.0985754146028149,13.83601172604517,-156.61747348030033,6000,162988
twibot20,nm_ladder_6src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.09704550130810742,10.162062044808062,-84.0249143810828,6000,162988
twibot20,nm_ladder_7src,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.09727587000928377,26.707378188128505,-586.2797570955692,6000,162988
twibot20,merged_ukr_rus_covid_midterm_all8_nm_wb,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.11516744117100411,14.714167352088278,-177.25999963925747,6000,162988
twibot20,nm_ss_covid19_twitter,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.09589581341339988,5.919322287775588,-27.848716242783272,6000,162988
twibot20,nm_ladder_ordB_r3,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.13090424943642417,8.777810722764974,-62.438797559124936,6000,162988
twibot20,nm_ladder_ordB_r4,account_age_days,log1p,10,12,500,1.0,frozen_emb,0.10117267340093478,54.79651867104239,-2471.227622236497,6000,162988
