task,dataset,target,metric,value,shots,source
classification,covid_political,,roc_auc,0.4291496805555556,10,state_dict_0
classification,election2020,,roc_auc,0.402656,10,state_dict_0
classification,twibot20,,roc_auc,0.5494334444444444,10,state_dict_0
classification,ukr_rus_suspended,,roc_auc,0.518576,10,state_dict_0
regression,covid19_twitter,followers_count,spearman,0.1169880778969935,10,state_dict_0
regression,covid19_twitter,account_age_days,spearman,0.020368586763067492,10,state_dict_0
regression,midterm,followers_count,spearman,0.20176618995984721,10,state_dict_0
regression,midterm,account_age_days,spearman,0.017486248306585142,10,state_dict_0
regression,twibot20,followers_count,spearman,0.390231112134038,10,state_dict_0
regression,twibot20,account_age_days,spearman,0.05152990770026286,10,state_dict_0
regression,ukr_rus_twitter,followers_count,spearman,0.16276275656423794,10,state_dict_0
regression,ukr_rus_twitter,account_age_days,spearman,0.02060144891246295,10,state_dict_0
