task,dataset,target,metric,value,shots
regression,midterm,account_age_days,spearman,-0.0059034436327806,10
regression,midterm,followers_count,spearman,0.0527525280977884,10
regression,twibot20,followers_count,spearman,0.1739173872066699,10
regression,twibot20,account_age_days,spearman,0.0447751936525374,10
classification,covid_political,,roc_auc,0.4291496666666667,10
classification,election2020,,roc_auc,0.402656,10

