model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
rep_all8_s000100,covid_political,10,,classification,test,eval_rep_all8_s000100_to_covid_political_pl_10shot_29_07_2026_03_56_02,0.5820612222222222,0.5598333333333333,0.4847834568864612
rep_all8_s000500,covid_political,10,,classification,test,eval_rep_all8_s000500_to_covid_political_pl_10shot_29_07_2026_03_56_02,0.9080042222222224,0.8716666666666667,0.8713450292397661
rep_all8_s001000,covid_political,10,,classification,test,eval_rep_all8_s001000_to_covid_political_pl_10shot_29_07_2026_03_56_22,0.9016433194444444,0.86125,0.8575340121502524
rep_all8_s002000,covid_political,10,,classification,test,eval_rep_all8_s002000_to_covid_political_pl_10shot_29_07_2026_03_56_23,0.916246125,0.8744166666666666,0.8730305838739574
rep_ukr_s000100,covid_political,10,,classification,test,eval_rep_ukr_s000100_to_covid_political_pl_10shot_29_07_2026_03_56_42,0.5865239305555555,0.5635,0.4944015444015444
rep_ukr_s000500,covid_political,10,,classification,test,eval_rep_ukr_s000500_to_covid_political_pl_10shot_29_07_2026_03_56_42,0.7924260555555556,0.72925,0.7435067498223731
rep_ukr_s001000,covid_political,10,,classification,test,eval_rep_ukr_s001000_to_covid_political_pl_10shot_29_07_2026_03_57_01,0.8747627361111112,0.8150833333333334,0.8121242909152485
rep_ukr_s002000,covid_political,10,,classification,test,eval_rep_ukr_s002000_to_covid_political_pl_10shot_29_07_2026_03_57_02,0.8937138888888889,0.8318333333333333,0.8311014395714764
rep_covid_s000100,covid_political,10,,classification,test,eval_rep_covid_s000100_to_covid_political_pl_10shot_29_07_2026_03_57_21,0.5928729027777777,0.5669166666666666,0.5151599962683087
rep_covid_s000500,covid_political,10,,classification,test,eval_rep_covid_s000500_to_covid_political_pl_10shot_29_07_2026_03_57_22,0.8155108472222221,0.7596666666666667,0.759466221851543
rep_covid_s001000,covid_political,10,,classification,test,eval_rep_covid_s001000_to_covid_political_pl_10shot_29_07_2026_03_57_41,0.8841080972222222,0.83,0.8261758691206544
rep_covid_s002000,covid_political,10,,classification,test,eval_rep_covid_s002000_to_covid_political_pl_10shot_29_07_2026_03_57_42,0.8984819999999999,0.839,0.8391340549542048
rep_all8_s000100,election2020,10,,classification,test,eval_rep_all8_s000100_to_election2020_pl_10shot_29_07_2026_03_58_01,0.521332,0.524,0.5010482180293501
rep_all8_s000500,election2020,10,,classification,test,eval_rep_all8_s000500_to_election2020_pl_10shot_29_07_2026_03_58_02,0.980116,0.954,0.9558541266794626
rep_all8_s001000,election2020,10,,classification,test,eval_rep_all8_s001000_to_election2020_pl_10shot_29_07_2026_03_58_21,0.984704,0.976,0.9763313609467456
rep_all8_s002000,election2020,10,,classification,test,eval_rep_all8_s002000_to_election2020_pl_10shot_29_07_2026_03_58_22,0.982248,0.97,0.9707602339181286
rep_ukr_s000100,election2020,10,,classification,test,eval_rep_ukr_s000100_to_election2020_pl_10shot_29_07_2026_03_58_40,0.51708,0.517,0.5046153846153846
rep_ukr_s000500,election2020,10,,classification,test,eval_rep_ukr_s000500_to_election2020_pl_10shot_29_07_2026_03_58_41,0.967128,0.909,0.9051094890510948
rep_ukr_s001000,election2020,10,,classification,test,eval_rep_ukr_s001000_to_election2020_pl_10shot_29_07_2026_03_59_01,0.974488,0.927,0.9249743062692704
rep_ukr_s002000,election2020,10,,classification,test,eval_rep_ukr_s002000_to_election2020_pl_10shot_29_07_2026_03_59_01,0.97648,0.941,0.940222897669706
rep_covid_s000100,election2020,10,,classification,test,eval_rep_covid_s000100_to_election2020_pl_10shot_29_07_2026_03_59_21,0.516568,0.516,0.5198412698412699
rep_covid_s000500,election2020,10,,classification,test,eval_rep_covid_s000500_to_election2020_pl_10shot_29_07_2026_03_59_22,0.974852,0.925,0.9226006191950464
rep_covid_s001000,election2020,10,,classification,test,eval_rep_covid_s001000_to_election2020_pl_10shot_29_07_2026_03_59_42,0.983228,0.958,0.95748987854251
rep_covid_s002000,election2020,10,,classification,test,eval_rep_covid_s002000_to_election2020_pl_10shot_29_07_2026_03_59_43,0.981088,0.966,0.9661354581673308
rep_all8_s000100,ukr_rus_suspended,10,,classification,test,eval_rep_all8_s000100_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_00_01,0.489286,0.506,0.4896694214876033
rep_all8_s000500,ukr_rus_suspended,10,,classification,test,eval_rep_all8_s000500_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_00_02,0.494454,0.503,0.5234899328859061
rep_all8_s001000,ukr_rus_suspended,10,,classification,test,eval_rep_all8_s001000_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_00_20,0.495448,0.49,0.4990176817288801
rep_all8_s002000,ukr_rus_suspended,10,,classification,test,eval_rep_all8_s002000_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_00_20,0.512656,0.516,0.516
rep_ukr_s000100,ukr_rus_suspended,10,,classification,test,eval_rep_ukr_s000100_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_00_36,0.486326,0.5,0.4897959183673469
rep_ukr_s000500,ukr_rus_suspended,10,,classification,test,eval_rep_ukr_s000500_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_00_41,0.498906,0.504,0.5069582504970179
rep_ukr_s001000,ukr_rus_suspended,10,,classification,test,eval_rep_ukr_s001000_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_00_56,0.4970839999999999,0.485,0.4618599791013584
rep_ukr_s002000,ukr_rus_suspended,10,,classification,test,eval_rep_ukr_s002000_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_01_00,0.4830799999999999,0.486,0.4679089026915113
rep_covid_s000100,ukr_rus_suspended,10,,classification,test,eval_rep_covid_s000100_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_01_15,0.4890899999999999,0.497,0.4934541792547834
rep_covid_s000500,ukr_rus_suspended,10,,classification,test,eval_rep_covid_s000500_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_01_21,0.4676059999999999,0.478,0.4811133200795228
rep_covid_s001000,ukr_rus_suspended,10,,classification,test,eval_rep_covid_s001000_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_01_36,0.4741539999999999,0.493,0.4904522613065327
rep_covid_s002000,ukr_rus_suspended,10,,classification,test,eval_rep_covid_s002000_to_ukr_rus_suspended_pl_10shot_29_07_2026_04_01_41,0.465422,0.478,0.4831683168316831
rep_all8_s000100,twibot20,10,,classification,test,eval_rep_all8_s000100_to_twibot20_pl_10shot_29_07_2026_04_01_56,0.6691440694444444,0.6415833333333333,0.7187602170927876
rep_all8_s000500,twibot20,10,,classification,test,eval_rep_all8_s000500_to_twibot20_pl_10shot_29_07_2026_04_02_02,0.7067231249999999,0.6578333333333334,0.7047317704587948
rep_all8_s001000,twibot20,10,,classification,test,eval_rep_all8_s001000_to_twibot20_pl_10shot_29_07_2026_04_02_17,0.6242070972222222,0.5929166666666666,0.6189844785898135
rep_all8_s002000,twibot20,10,,classification,test,eval_rep_all8_s002000_to_twibot20_pl_10shot_29_07_2026_04_02_23,0.5968217638888889,0.571,0.5888835649257307
rep_ukr_s000100,twibot20,10,,classification,test,eval_rep_ukr_s000100_to_twibot20_pl_10shot_29_07_2026_04_02_39,0.661589736111111,0.6313333333333333,0.7116788321167883
rep_ukr_s000500,twibot20,10,,classification,test,eval_rep_ukr_s000500_to_twibot20_pl_10shot_29_07_2026_04_02_46,0.6084961111111111,0.58275,0.6192105863563769
rep_ukr_s001000,twibot20,10,,classification,test,eval_rep_ukr_s001000_to_twibot20_pl_10shot_29_07_2026_04_03_00,0.6401006388888888,0.6029166666666667,0.6137634757234336
rep_ukr_s002000,twibot20,10,,classification,test,eval_rep_ukr_s002000_to_twibot20_pl_10shot_29_07_2026_04_03_06,0.65672525,0.6161666666666666,0.6151403743315508
rep_covid_s000100,twibot20,10,,classification,test,eval_rep_covid_s000100_to_twibot20_pl_10shot_29_07_2026_04_03_22,0.6684434722222223,0.6346666666666667,0.7106270627062706
rep_covid_s000500,twibot20,10,,classification,test,eval_rep_covid_s000500_to_twibot20_pl_10shot_29_07_2026_04_03_27,0.5910689166666667,0.5639166666666666,0.5877904686884601
rep_covid_s001000,twibot20,10,,classification,test,eval_rep_covid_s001000_to_twibot20_pl_10shot_29_07_2026_04_03_42,0.6061307638888889,0.5735,0.5719304115088658
rep_covid_s002000,twibot20,10,,classification,test,eval_rep_covid_s002000_to_twibot20_pl_10shot_29_07_2026_04_03_47,0.6293887638888889,0.5943333333333334,0.5854198603304377
