dataset,step,ablation,roc_auc
election2020,500,none,0.9867
election2020,500,permute,0.98523
election2020,500,zero,0.53712
election2020,40000,none,0.9842
election2020,40000,permute,0.981552
election2020,40000,zero,0.509478
covid_political,500,none,0.9007
covid_political,500,permute,0.8947167638888889
covid_political,500,zero,0.6184565833333333
covid_political,40000,none,0.9267
covid_political,40000,permute,0.9244714722222221
covid_political,40000,zero,0.5685069444444445
