n_hop,hop_sizes,node_limit,nm_walk_hops,checkpoint_step,order,rung,n_sources,added,sources,model_prefix,model_status,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter
2,"9,9",101,1,40000,A,1,1,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,0.9455077090836527,0.9711098078703703,0.8699922557950192,0.8448359347222225,0.8302339057471265,0.8232057425287356,0.9099036612867178,0.7063602985632186
2,"9,9",101,1,40000,A,2,2,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,0.9431266049648788,0.980046657774585,0.8841330986270752,0.8474316738186461,0.8268513448275864,0.8000634321839081,0.9161999911398467,0.7173846643678162
2,"9,9",101,1,40000,A,3,3,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,0.9389399155172413,0.9784782560504471,0.9127096802362706,0.8504164077266924,0.8256378528735632,0.7938895264367817,0.9171295515644957,0.7122497915229887
2,"9,9",101,1,40000,A,4,4,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,0.9360493834131545,0.976840920019157,0.9108899937579823,0.9083534875798212,0.8199114735632183,0.8166782873563216,0.9163527072477652,0.7153107176724138
2,"9,9",101,1,40000,A,5,5,election2020,ukr_rus covid midterm covid_political election2020,nm_ladder_h2m_ordA_r5,train,0.9336371248243933,0.9761545111590038,0.9067991943805875,0.9067995949712645,0.9253379241379309,0.809074135632184,0.9173226020114942,0.7124168926724138
2,"9,9",101,1,40000,A,6,6,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,nm_ladder_h2m_ordA_r6,train,0.9331358480204344,0.9754197576149425,0.9089622940613028,0.9065252294061301,0.9222346390804598,0.948558816091954,0.9182446615421457,0.7137720829022989
2,"9,9",101,1,40000,A,7,7,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,nm_ladder_h2m_ordA_r7,train,0.9328238347381866,0.9757576965197956,0.9057646379948916,0.9055715784482758,0.9201477379310343,0.9446788735632182,0.9340944227809704,0.716914198275862
2,"9,9",101,1,40000,A,8,8,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,nm_ladder_h2m_ordA_r8,train,0.9324729616698594,0.9749378347860793,0.9078855820561941,0.9031215206577268,0.9131006781609194,0.9429612045977012,0.9333026728448277,0.8710099974137931
