node_id,anchor_count,support_count,query_count,total_count
0,7,3,10,20
1,0,0,0,0
2,0,1,0,1
3,0,2,3,5
4,0,5,7,12
5,0,0,0,0
6,0,2,2,4
7,0,0,0,0
8,0,0,0,0
9,0,0,1,1
10,0,0,1,1
11,0,2,6,8
12,0,7,4,11
13,0,0,0,0
14,0,0,0,0
15,8,46,63,117
16,0,0,0,0
17,0,2,1,3
18,0,4,2,6
19,0,0,0,0
20,0,1,0,1
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,5,6,11
28,0,3,10,13
29,0,0,3,3
30,5,0,0,5
31,0,1,3,4
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,9,15,17,41
37,0,2,2,4
38,0,0,0,0
39,0,1,6,7
40,0,0,0,0
41,0,0,0,0
42,0,9,2,11
43,0,0,0,0
44,0,0,0,0
45,0,1,4,5
46,0,4,2,6
47,0,0,0,0
48,0,0,0,0
49,0,1,2,3
50,0,2,2,4
51,0,0,0,0
52,0,1,1,2
53,0,0,0,0
54,0,4,13,17
55,0,1,0,1
56,0,0,1,1
57,0,1,0,1
58,0,0,0,0
59,0,0,0,0
60,0,2,0,2
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,2,1,3
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,2,1,3
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,8,4,12
76,0,1,1,2
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,10,2,10,22
82,0,0,0,0
83,0,2,6,8
84,0,0,0,0
85,0,0,0,0
86,0,2,0,2
87,0,2,6,8
88,0,0,0,0
89,0,0,0,0
90,0,2,3,5
91,0,0,0,0
92,0,0,0,0
93,0,2,3,5
94,0,0,0,0
95,0,0,0,0
96,0,2,1,3
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,5,0,5
110,0,0,0,0
111,0,7,5,12
112,0,0,0,0
113,0,12,13,25
114,0,10,19,29
115,0,4,2,6
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,2,8,10
120,0,0,0,0
121,0,0,0,0
122,0,3,3,6
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,1,6,7
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,3,3,6
137,0,0,0,0
138,0,0,0,0
139,0,4,4,8
140,0,1,3,4
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,2,6,8
153,13,20,20,53
154,0,3,4,7
155,6,0,1,7
156,0,0,0,0
157,0,0,0,0
158,0,11,8,19
159,0,0,1,1
160,0,2,2,4
161,0,1,1,2
162,0,0,0,0
163,0,6,10,16
164,0,0,0,0
165,0,1,2,3
166,0,0,0,0
167,0,6,8,14
168,0,0,0,0
169,0,0,1,1
170,0,5,1,6
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,7,14,21
177,0,0,0,0
178,0,1,0,1
179,0,0,0,0
180,0,0,0,0
181,0,8,11,19
182,0,2,3,5
183,0,0,0,0
184,0,0,2,2
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,11,10,12,33
192,0,0,0,0
193,0,1,1,2
194,9,2,6,17
195,0,4,6,10
196,0,4,1,5
197,0,0,0,0
198,0,2,1,3
199,0,2,1,3
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,7,7,14
207,0,0,0,0
208,17,47,59,123
209,0,1,4,5
210,0,0,0,0
211,0,0,0,0
212,0,1,2,3
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,1,1,2
218,0,1,0,1
219,8,3,6,17
220,0,3,6,9
221,0,1,5,6
222,0,4,4,8
223,0,0,0,0
224,12,9,13,34
225,0,0,0,0
226,0,0,1,1
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,9,13,22,44
231,0,0,1,1
232,0,0,0,0
233,13,26,44,83
234,0,0,0,0
235,0,0,0,0
236,0,2,3,5
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,1,0,1
244,0,0,0,0
245,0,3,1,4
246,0,0,0,0
247,0,0,0,0
248,0,0,1,1
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,1,1
254,0,4,3,7
255,0,1,0,1
256,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,1,1
260,0,0,0,0
261,0,5,3,8
262,0,0,0,0
263,0,0,0,0
264,0,0,1,1
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
271,0,0,0,0
272,0,0,0,0
273,0,1,2,3
274,8,5,7,20
275,0,0,0,0
276,10,10,21,41
277,0,1,0,1
278,0,0,0,0
279,0,0,0,0
280,0,2,2,4
281,0,1,1,2
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,2,3,5
288,0,0,0,0
289,0,0,0,0
290,0,0,3,3
291,0,0,0,0
292,0,0,0,0
293,0,1,1,2
294,0,1,0,1
295,0,0,0,0
296,0,0,0,0
297,0,2,6,8
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,1,1
305,0,1,2,3
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,2,2
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,1,1
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,3,2,5
325,0,0,0,0
326,0,0,0,0
327,0,0,0,0
328,0,0,0,0
329,0,0,0,0
330,0,3,6,9
331,0,0,0,0
332,0,0,2,2
333,0,0,0,0
334,0,0,0,0
335,0,7,4,11
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,4,7,11
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,0,3,3,6
346,0,3,3,6
347,0,0,1,1
348,0,2,4,6
349,0,0,0,0
350,0,6,5,11
351,0,0,0,0
352,0,0,2,2
353,0,0,0,0
354,0,0,0,0
355,0,1,2,3
356,0,0,0,0
357,0,0,0,0
358,0,6,0,6
359,0,0,0,0
360,0,0,0,0
361,0,2,1,3
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,3,1,4
366,0,0,2,2
367,0,0,4,4
368,0,5,7,12
