dataset,n_sample,centroid_norm,centroid_cosine_p10,centroid_cosine_p50,centroid_cosine_p90,random_pair_cosine_mean,random_pair_cosine_sd,effective_dimension
ukraine,50000,0.7041,0.6496,0.7079,0.7544,0.4958,0.0603,132.3
covid,50000,0.7062,0.6515,0.7106,0.7557,0.4985,0.0601,134.1
midterm,50000,0.7274,0.6622,0.7305,0.7895,0.5289,0.0685,103.9
twibot20,50000,0.7102,0.6484,0.7151,0.7656,0.5044,0.0647,119.4
facebook-page-reference,50000,0.6877,0.6291,0.6913,0.7417,0.4732,0.0643,122.6
covid-political,50000,0.7351,0.6693,0.7374,0.7991,0.5403,0.0694,100.0
ukraine-suspended,43659,0.7124,0.6532,0.7148,0.7699,0.5076,0.0651,116.0
election2020-political,50000,0.7685,0.6790,0.7796,0.8414,0.5902,0.0819,82.6
hongkong,50000,0.7065,0.6585,0.7104,0.7503,0.4991,0.0589,118.9
