order,final_heldout_target,series,source,entry_rung,rung,auc,value_origin
A,cp_hk_twitter,mixture,covid19_twitter,1,1,0.7196,single_source_reconstruction
A,cp_hk_twitter,mixture,mixture,,2,0.726,observed_same_source_set
A,cp_hk_twitter,mixture,mixture,,3,0.72,observed_same_source_set
A,cp_hk_twitter,mixture,mixture,,4,0.7235,observed_same_source_set
A,cp_hk_twitter,mixture,mixture,,5,0.7261,observed_same_source_set
A,cp_hk_twitter,mixture,mixture,,6,0.7239,observed_same_source_set
A,cp_hk_twitter,mixture,mixture,,7,0.7267,observed_same_source_set
A,cp_hk_twitter,constituent,covid19_twitter,1,1,0.7196,single_source_matrix
A,cp_hk_twitter,constituent,covid19_twitter,1,2,0.7196,single_source_matrix
A,cp_hk_twitter,constituent,covid19_twitter,1,3,0.7196,single_source_matrix
A,cp_hk_twitter,constituent,covid19_twitter,1,4,0.7196,single_source_matrix
A,cp_hk_twitter,constituent,covid19_twitter,1,5,0.7196,single_source_matrix
A,cp_hk_twitter,constituent,covid19_twitter,1,6,0.7196,single_source_matrix
A,cp_hk_twitter,constituent,covid19_twitter,1,7,0.7196,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_twitter,2,2,0.714,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_twitter,2,3,0.714,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_twitter,2,4,0.714,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_twitter,2,5,0.714,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_twitter,2,6,0.714,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_twitter,2,7,0.714,single_source_matrix
A,cp_hk_twitter,constituent,midterm,3,3,0.6256,single_source_matrix
A,cp_hk_twitter,constituent,midterm,3,4,0.6256,single_source_matrix
A,cp_hk_twitter,constituent,midterm,3,5,0.6256,single_source_matrix
A,cp_hk_twitter,constituent,midterm,3,6,0.6256,single_source_matrix
A,cp_hk_twitter,constituent,midterm,3,7,0.6256,single_source_matrix
A,cp_hk_twitter,constituent,covid_political,4,4,0.5444,single_source_matrix
A,cp_hk_twitter,constituent,covid_political,4,5,0.5444,single_source_matrix
A,cp_hk_twitter,constituent,covid_political,4,6,0.5444,single_source_matrix
A,cp_hk_twitter,constituent,covid_political,4,7,0.5444,single_source_matrix
A,cp_hk_twitter,constituent,election2020,5,5,0.5475,single_source_matrix
A,cp_hk_twitter,constituent,election2020,5,6,0.5475,single_source_matrix
A,cp_hk_twitter,constituent,election2020,5,7,0.5475,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_suspended,6,6,0.6225,single_source_matrix
A,cp_hk_twitter,constituent,ukr_rus_suspended,6,7,0.6225,single_source_matrix
A,cp_hk_twitter,constituent,twibot20,7,7,0.6895,single_source_matrix
B,election2020,mixture,ukr_rus_twitter,1,1,0.8262,single_source_reconstruction
B,election2020,mixture,mixture,,2,0.828,observed_same_source_set
