order,rung,added,n_heldout,mean_mixture_auc,mean_best_constituent_auc,mixture_minus_best_auc
A,1,ukr_rus,7,0.8485714285714286,0.8492714285714287,-0.0007000000000000339
A,2,covid,6,0.8303333333333334,0.8338833333333334,-0.003550000000000053
A,3,midterm,5,0.8138,0.8238199999999999,-0.010019999999999918
A,4,covid_political,4,0.81335,0.8173249999999999,-0.00397499999999984
A,5,election2020,3,0.8069333333333333,0.8116,-0.004666666666666708
A,6,ukr_rus_suspended,2,0.82405,0.8227,0.0013499999999999623
A,7,twibot20,1,0.7267,0.7196,0.007099999999999995
B,1,covid,7,0.8466285714285714,0.8466285714285714,0.0
B,2,ukr_rus,6,0.8303333333333334,0.8338833333333334,-0.003550000000000053
B,3,twibot20,5,0.8102562226915708,0.8155000000000001,-0.005243777308429287
B,4,midterm,4,0.7901702760336847,0.798325,-0.008154723966315225
B,5,ukr_rus_suspended,3,0.8006366158205619,0.8013,-0.0006633841794381201
B,6,cp_hk,2,0.8366841553959131,0.84215,-0.005465844604086834
B,7,covid_political,1,0.8400826022988507,0.8345,0.0055826022988506585
C,1,election2020,7,0.6491857142857143,0.6491857142857143,0.0
C,2,covid_political,6,0.6754038777458494,0.644,0.03140387774584941
C,3,cp_hk,5,0.7712989663282247,0.70838,0.06291896632822469
C,4,ukr_rus_suspended,4,0.8482882587005108,0.78195,0.0663382587005108
C,5,midterm,3,0.8955641814229459,0.8457666666666667,0.04979751475627925
C,6,twibot20,2,0.9227190467113664,0.90805,0.014669046711366374
C,7,ukr_rus,1,0.968881610823755,0.973,-0.004118389176244963
